species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswi,SR,1.1499027134723683,2.1578856750131328,2.1578856750131328,resident,0.8298346189208778,0.0532559127129022,0.1247710279651004,365.0,82.98346189208779,0.47954667850461163,common,47.95466785046116,,peak_abundance_with_occupancy_days_modifiers,0.8298346189208778
scaibi,SR,1.1314367952696867,2.1001075215782334,2.1001075215782334,resident,0.1237844840539175,0.0068392545671532,0.0272295606946111,365.0,12.37844840539175,0.4718457924767028,common,47.18457924767028,,peak_abundance_with_occupancy_days_modifiers,0.1237844840539175
categr1,SR,1.0869205939647577,0.8934699988770431,1.9651291627054208,nonbreeding,0.2130173357170286,0.0009603165481567202,0.0015567473189595,140.0,21.30173357170286,0.45328109458938515,common,45.32810945893851,,peak_abundance_with_occupancy_days_modifiers,0.2130173357170286
scrpih1,SR,0.8005452801978054,1.2267548028109174,1.2267548028109174,resident,0.8251471638768594,0.0234805369219456,0.0375268429438459,365.0,82.51471638768594,0.33385331264428414,common,33.385331264428416,,peak_abundance_with_occupancy_days_modifiers,0.8251471638768594
semsan,SR,0.7982276570104527,0.7779,1.2216,postbreeding_migration,0.0111,0.0201,0.0533,126.0,1.11,0.33288678870404215,rare,33.28867887040421,rare,peak_abundance_with_occupancy_days_modifiers,0.0111
paipar1,SR,0.5593871903804211,0.7496,0.7496,resident,0.7627,0.1084,0.1246,365.0,76.27000000000001,0.23328257773643715,common,23.328257773643717,,peak_abundance_with_occupancy_days_modifiers,0.7627
whttou1,SR,0.5282694530685671,0.6959947690333262,0.6959947690333262,resident,0.7837333535686739,0.0208486763785514,0.0261225300268223,365.0,78.37333535686739,0.22030547332956313,common,22.030547332956314,,peak_abundance_with_occupancy_days_modifiers,0.7837333535686739
orwpar,SR,0.49804428940125756,0.6455,0.6455,resident,0.8208,0.0173,0.0296,365.0,82.08,0.20770060104419585,common,20.770060104419585,,peak_abundance_with_occupancy_days_modifiers,0.8208
blhpar1,SR,0.4664347684311826,0.5943,0.5943,resident,0.8547,0.0194,0.0204,365.0,85.47,0.19451840692227063,common,19.451840692227062,,peak_abundance_with_occupancy_days_modifiers,0.8547
gybmar,SR,0.43580030790423735,0.377575,0.5462,prebreeding_migration,0.7708,0.01,0.0223,112.0,77.08,0.18174284458872697,fairly_common,18.174284458872698,,peak_abundance_with_occupancy_days_modifiers,0.7708
