species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comwax,ST,1.7785956344298846,4.921534577222622,4.921534577222622,resident,0.7663043478260869,0.0004056223282146289,0.0041783874073522,365.0,76.63043478260869,0.7417319908030192,common,74.17319908030193,,peak_abundance_with_occupancy_days_modifiers,0.7663043478260869
litswi1,ST,1.520366232659367,2.1116,3.5739,nonbreeding,1.0,0.0001,0.0008,84.0,100.0,0.6340419658466079,common,63.40419658466079,,peak_abundance_with_occupancy_days_modifiers,1.0
blakit1,ST,1.2699851639543152,1.7218029454633423,2.560799733776113,prebreeding_migration,1.0,0.00017526263200657617,0.0003304332755318716,105.0,100.0,0.5296249499971816,common,52.96249499971816,,peak_abundance_with_occupancy_days_modifiers,1.0
afpswi1,ST,1.1013261988215481,2.0081527884239736,2.0081527884239736,resident,0.7554347826086957,0.0004167728587919584,0.0014930047891932,365.0,75.54347826086956,0.45928869843272513,common,45.928869843272516,,peak_abundance_with_occupancy_days_modifiers,0.7554347826086957
categr1,ST,0.6782377851357239,0.4194148322851282,0.970402398592104,postbreeding_migration,0.8695652173913043,0.0001209423830487156,5.307040166567995e-05,133.0,86.95652173913044,0.282847125489435,fairly_common,28.284712548943503,,peak_abundance_with_occupancy_days_modifiers,0.8695652173913043
werher,ST,0.48909254341317765,0.6308356357343576,0.6308356357343576,resident,0.592391304347826,0.0034476214574898,0.0024959239203904,365.0,59.2391304347826,0.20396743300736445,common,20.396743300736446,,peak_abundance_with_occupancy_days_modifiers,0.592391304347826
bubcor1,ST,0.33900847641542525,0.4035552422796096,0.4035552422796096,resident,0.8181818181818182,0.0003889873363011626,0.00012997513209403536,365.0,81.81818181818183,0.141377515632615,common,14.1377515632615,,peak_abundance_with_occupancy_days_modifiers,0.8181818181818182
broman1,ST,0.27603584631652195,0.317895104865665,0.317895104865665,resident,0.108695652173913,5.397804712823295e-05,0.0001403858450985685,365.0,10.8695652173913,0.1151158891081949,fairly_common,11.511588910819489,,peak_abundance_with_occupancy_days_modifiers,0.108695652173913
whimbr,ST,0.22654810353271376,0.19452305705677983,0.2542629428612797,prebreeding_migration,0.5163043478260869,0.0009513239257967338,0.00022134948547994745,91.0,51.63043478260869,0.09447789738887535,fairly_common,9.447789738887536,,peak_abundance_with_occupancy_days_modifiers,0.5163043478260869
comsan,ST,0.21376198476307418,0.16571823205542408,0.2383278788107892,prebreeding_migration,0.3369565217391304,0.00014583342681629923,0.00012562720084567365,112.0,33.69565217391304,0.08914567170133811,fairly_common,8.914567170133811,,peak_abundance_with_occupancy_days_modifiers,0.3369565217391304
yefcan,ST,0.1703333174818878,0.1857,0.1857,resident,0.1505,0.0,0.0001,365.0,15.049999999999999,0.07103451072869704,uncommon,7.103451072869705,,peak_abundance_with_occupancy_days_modifiers,0.1505
strher,ST,0.12223515172811737,0.1019349673347871,0.1300197966477793,nonbreeding,0.7445652173913043,0.00020516537527292983,0.0001260064620028223,154.0,74.45652173913044,0.05097601764128233,uncommon,5.097601764128233,,peak_abundance_with_occupancy_days_modifiers,0.7445652173913043
