species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
turvul,SV,2.8654887439300545,8.039077847839561,16.55763229413673,postbreeding_migration,0.9756831354029633,0.0013459646307402,0.0110600953273045,119.0,97.56831354029633,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9756831354029633
swahaw,SV,2.0310834373564126,2.5197682072172354,6.622340214836632,postbreeding_migration,0.8900307299692322,0.0062109718089255,0.049506966506046,112.0,89.00307299692322,0.8470275830629231,abundant,84.70275830629231,,peak_abundance_with_occupancy_days_modifiers,0.8900307299692322
blkvul,SV,1.7218388172661843,4.594806838769761,4.594806838769761,resident,0.9726314031176836,0.0017506180910735,0.0053285296301514,365.0,97.26314031176835,0.7180625596116127,common,71.80625596116127,,peak_abundance_with_occupancy_days_modifiers,0.9726314031176836
barswa,SV,1.7107954967603758,2.5563288886492694,4.533361498436814,nonbreeding,0.7592348713156023,0.0010257897179604,0.0008519330894985978,147.0,75.92348713156024,0.7134571372518109,common,71.3457137251811,,peak_abundance_with_occupancy_days_modifiers,0.7592348713156023
whwdov,SV,1.6560601020886132,3.625213369786999,4.238630462683425,breeding,0.9444427340428267,0.0176597696518028,0.0226841970403586,98.0,94.44427340428267,0.6906307047162958,common,69.06307047162959,,peak_abundance_with_occupancy_days_modifiers,0.9444427340428267
grtgra,SV,1.6465020149482483,3.4691923430427547,4.1887977085088055,nonbreeding,0.5150503532486236,0.0182167873075752,0.0179470626997608,126.0,51.505035324862355,0.6866446727787081,common,68.66446727787081,,peak_abundance_with_occupancy_days_modifiers,0.5150503532486236
brwhaw,SV,1.4045954832947642,1.109119044626981,3.073878456019983,postbreeding_migration,0.6430008953416818,0.0093571352887104,0.0180431795688139,84.0,64.30008953416818,0.5857618133821105,common,58.57618133821105,,peak_abundance_with_occupancy_days_modifiers,0.6430008953416818
sctfly,SV,1.384981479414035,1.7798823339056007,2.99475191898518,nonbreeding,0.6692808489518137,0.0801587727081552,0.2484995347857094,91.0,66.92808489518137,0.5775821384383255,common,57.75821384383255,,peak_abundance_with_occupancy_days_modifiers,0.6692808489518137
categr1,SV,1.252333849979443,1.6723903270367564,2.498498407397899,nonbreeding,0.5540003209080093,0.001232209505544,0.0015665673822592,140.0,55.400032090800934,0.5222637803184604,common,52.226378031846046,,peak_abundance_with_occupancy_days_modifiers,0.5540003209080093
grbani,SV,1.2433373979359053,2.355769987629201,2.467165488134321,postbreeding_migration,0.8927257666215591,0.0134476677191789,0.0239495287964604,133.0,89.27257666215591,0.5185119684084102,common,51.85119684084102,,peak_abundance_with_occupancy_days_modifiers,0.8927257666215591
bbwduc,SV,1.2410533775121937,1.3471513420923087,2.4592554481322173,nonbreeding,0.1478810516397559,0.0017455472205696,0.0043898463728463,119.0,14.78810516397559,0.517559457909048,common,51.7559457909048,,peak_abundance_with_occupancy_days_modifiers,0.1478810516397559
clcrob,SV,1.2080596874296161,2.3469841526633446,2.3469841526633446,resident,0.9332426695727756,0.0213585094474705,0.0602465441259464,365.0,93.32426695727756,0.5038000204320002,common,50.38000204320002,,peak_abundance_with_occupancy_days_modifiers,0.9332426695727756
neocor,SV,1.1440716849091075,2.139525534715605,2.139525534715605,resident,0.136201883589041,0.0012527552136156,0.0051046491633447,365.0,13.6201883589041,0.47711495071841187,common,47.711495071841185,,peak_abundance_with_occupancy_days_modifiers,0.136201883589041
buwtea,SV,1.1079402966058174,1.5084539627403009,2.028114948182464,nonbreeding,0.1373441318858917,0.0069575575445142,0.0179464876258458,119.0,13.734413188589171,0.4620469914488127,common,46.204699144881275,,peak_abundance_with_occupancy_days_modifiers,0.1373441318858917
incdov,SV,1.0439415174933582,1.8403904283440555,1.8403904283440555,resident,0.8309040900347399,0.0220354136322179,0.0380472178413039,365.0,83.09040900347398,0.4353574275473118,common,43.53574275473118,,peak_abundance_with_occupancy_days_modifiers,0.8309040900347399
grekis,SV,0.932790586024526,1.5415918212748876,1.5415918212748876,resident,0.9262847371823076,0.0020241180797813,0.0024644014452574,365.0,92.62847371823077,0.3890038887878322,common,38.90038887878322,,peak_abundance_with_occupancy_days_modifiers,0.9262847371823076
rugdov,SV,0.9311798131389483,1.5375011895067994,1.5375011895067994,resident,0.6969713326959477,0.0019632739284205,0.0027117929629456,365.0,69.69713326959477,0.3883321443193184,common,38.833214431931836,,peak_abundance_with_occupancy_days_modifiers,0.6969713326959477
laugul,SV,0.9299902569269143,0.6823660930189792,1.5344844838299976,nonbreeding,0.1334892437888214,0.0092417169107706,0.0100330072850312,161.0,13.34892437888214,0.38783606084748024,common,38.78360608474802,,peak_abundance_with_occupancy_days_modifiers,0.1334892437888214
wessan,SV,0.9268562921868406,0.7202691135247704,1.5265539323487465,nonbreeding,0.0868488952742429,0.0078469603369206,0.0076141750325686,154.0,8.684889527424291,0.38652909603728813,common,38.652909603728816,,peak_abundance_with_occupancy_days_modifiers,0.0868488952742429
melbla1,SV,0.8825858317686058,1.417141954692689,1.417141954692689,resident,0.911342629329103,0.0288255245883079,0.0410079213536642,365.0,91.1342629329103,0.36806688005961924,common,36.806688005961924,,peak_abundance_with_occupancy_days_modifiers,0.911342629329103
runwre1,SV,0.8670584699939299,1.3799,1.3799,resident,0.8912,0.1226,0.1672,365.0,89.12,0.3615914672462167,common,36.15914672462167,,peak_abundance_with_occupancy_days_modifiers,0.8912
bknsti,SV,0.8539763378073626,0.6839234350335129,1.3489685990846307,nonbreeding,0.157719652319633,0.0013802769306481,0.0045922060640547,119.0,15.7719652319633,0.35613579437552445,common,35.613579437552445,,peak_abundance_with_occupancy_days_modifiers,0.157719652319633
fragul,SV,0.85067038144782,0.4852101182697724,1.3412158336193225,prebreeding_migration,0.1682141753947988,0.0225412798770131,0.0034213906797769,105.0,16.82141753947988,0.35475710348896017,common,35.475710348896015,,peak_abundance_with_occupancy_days_modifiers,0.1682141753947988
royter1,SV,0.823554020094196,0.7130339090417968,1.278583595989995,nonbreeding,0.1218569929930304,0.0073045690102013,0.0275233342152876,126.0,12.18569929930304,0.3434487024669343,common,34.34487024669343,,peak_abundance_with_occupancy_days_modifiers,0.1218569929930304
tenwar,SV,0.8112349117987483,0.5954030632624007,1.2506856695153754,nonbreeding,0.7800485915142172,0.026566637443363,0.0821480181500555,105.0,78.00485915142173,0.33831123527426954,common,33.83112352742695,,peak_abundance_with_occupancy_days_modifiers,0.7800485915142172
gybmar,SV,0.795164572593321,0.6839954696163326,1.2148054630914331,prebreeding_migration,0.4411629181667895,0.0025294867163769,0.0105908452257341,119.0,44.116291816678945,0.3316093832844313,common,33.16093832844313,,peak_abundance_with_occupancy_days_modifiers,0.4411629181667895
weskin,SV,0.7868532001424693,0.6651623024477961,1.1964736766620514,nonbreeding,0.7922975931569229,0.0547376139130309,0.1504891128573362,105.0,79.22975931569229,0.328143271755235,common,32.8143271755235,,peak_abundance_with_occupancy_days_modifiers,0.7922975931569229
vauswi,SV,0.7690072672093301,0.8051625326450441,1.1576232468972023,nonbreeding,0.5903029361309661,0.0228328420126118,0.0592470646736669,140.0,59.03029361309661,0.32070093966693136,common,32.070093966693136,,peak_abundance_with_occupancy_days_modifiers,0.5903029361309661
rewbla,SV,0.7559429051217431,0.8436365565123285,1.1296186052529469,prebreeding_migration,0.3089637640035984,0.0013227750150216,0.0005007038808822173,147.0,30.896376400359838,0.3152526775031127,common,31.52526775031127,,peak_abundance_with_occupancy_days_modifiers,0.3089637640035984
trokin,SV,0.7399212300398275,0.9880445678775361,1.0957704242395254,postbreeding_migration,0.6265260466111073,0.0014829246905141,0.0027324370135056,126.0,62.652604661110736,0.30857112002907905,common,30.857112002907904,,peak_abundance_with_occupancy_days_modifiers,0.6265260466111073
brocow,SV,0.7315537565483229,0.5155694741637272,1.0783072838420642,breeding,0.7665529635553986,0.0153051907069379,0.020326788628663,154.0,76.65529635553986,0.305081612548738,common,30.5081612548738,,peak_abundance_with_occupancy_days_modifiers,0.7665529635553986
gofwoo,SV,0.7153541406211927,1.044910740001608,1.044910740001608,resident,0.9304700010094984,0.0183985082905451,0.0251864917189467,365.0,93.04700010094984,0.2983258479784926,common,29.83258479784926,,peak_abundance_with_occupancy_days_modifiers,0.9304700010094984
stbori,SV,0.6825087611575822,0.9788359368899848,0.9788359368899848,resident,0.9088229783542712,0.0434788857097131,0.0449630654816125,365.0,90.88229783542712,0.28462826083354625,common,28.462826083354624,,peak_abundance_with_occupancy_days_modifiers,0.9088229783542712
lesnig,SV,0.678285786085071,0.6216874477725775,0.970496982047862,nonbreeding,0.8401560973733528,0.0117248981136662,0.0586336171529047,133.0,84.01560973733528,0.2828671434401319,fairly_common,28.28671434401319,,peak_abundance_with_occupancy_days_modifiers,0.8401560973733528
brnpel,SV,0.6751833492336698,0.6328570516277465,0.964393112925302,nonbreeding,0.1153655590892273,0.0080449806898267,0.0072516586296565,161.0,11.536555908922729,0.28157332678074937,fairly_common,28.157332678074937,,peak_abundance_with_occupancy_days_modifiers,0.1153655590892273
socfly1,SV,0.6641143095678812,0.9427690671370268,0.9427690671370268,resident,0.6958011051665229,0.0039829185985339,0.0091634226913676,365.0,69.5801105166523,0.27695717869815567,common,27.695717869815567,,peak_abundance_with_occupancy_days_modifiers,0.6958011051665229
orcpar,SV,0.6085855115541864,0.8378299701118863,0.8378299701118863,resident,0.7400378102791297,0.0245405735725724,0.0266083708549735,365.0,74.00378102791298,0.25379987126959064,common,25.379987126959065,,peak_abundance_with_occupancy_days_modifiers,0.7400378102791297
sthspa1,SV,0.5948789683628325,0.8128115241353513,0.8128115241353513,resident,0.7766212319033559,0.0700096970677498,0.0555498016677882,365.0,77.66212319033559,0.24808379878434056,common,24.808379878434057,,peak_abundance_with_occupancy_days_modifiers,0.7766212319033559
wtmjay1,SV,0.5891457151274103,0.8024479534746005,0.8024479534746005,resident,0.8237316075610526,0.0687512897612764,0.0581637869758764,365.0,82.37316075610525,0.24569284647693165,common,24.569284647693166,,peak_abundance_with_occupancy_days_modifiers,0.8237316075610526
snoegr,SV,0.5715603828399556,0.5679206366499929,0.7710283788008987,nonbreeding,0.1903659062851471,0.0016234371411629,0.0038113183904957,147.0,19.03659062851471,0.2383591932991044,fairly_common,23.83591932991044,,peak_abundance_with_occupancy_days_modifiers,0.1903659062851471
yelwar,SV,0.5569837557470738,0.40192500000000003,0.7454,nonbreeding,0.9601,0.0129,0.0315,119.0,96.00999999999999,0.23228026764366053,fairly_common,23.228026764366053,,peak_abundance_with_occupancy_days_modifiers,0.9601
y00475,SV,0.5559895112950894,0.39684981982104844,0.7436655081308472,nonbreeding,0.0479900281287478,0.0028361125547007,0.002015024132422,126.0,4.79900281287478,0.23186563550218914,rare,23.186563550218914,rare,peak_abundance_with_occupancy_days_modifiers,0.0479900281287478
semplo,SV,0.5512781610759262,0.35613944759327776,0.7354698108169986,nonbreeding,0.101759505903906,0.0051827826341482,0.0154582643429954,161.0,10.1759505903906,0.22990084985345433,fairly_common,22.990084985345433,,peak_abundance_with_occupancy_days_modifiers,0.101759505903906
greegr,SV,0.5463463381274261,0.670977493800187,0.7269318521335032,breeding,0.2509581235871985,0.0005451055259007916,0.001414616810166,154.0,25.095812358719847,0.2278441199351604,fairly_common,22.78441199351604,,peak_abundance_with_occupancy_days_modifiers,0.2509581235871985
leasan,SV,0.545022492133883,0.5474279318803323,0.7246471729353072,nonbreeding,0.1332767004125961,0.0041756444563263,0.009007012973506,175.0,13.327670041259609,0.2272920332745957,fairly_common,22.729203327459572,,peak_abundance_with_occupancy_days_modifiers,0.1332767004125961
orfpar,SV,0.5150246010758992,0.6736796756117981,0.6736796756117981,resident,0.7573276181726543,0.0714293583451906,0.0612750613335405,365.0,75.73276181726543,0.2147819410290007,common,21.47819410290007,,peak_abundance_with_occupancy_days_modifiers,0.7573276181726543
dickci,SV,0.5120772092070262,0.36777176584923876,0.6687539483349281,postbreeding_migration,0.3027417648904914,0.0147947543080752,0.0032462260320332,105.0,30.274176489049143,0.21355278314946016,fairly_common,21.355278314946016,,peak_abundance_with_occupancy_days_modifiers,0.3027417648904914
whtdov,SV,0.49046494906871896,0.6330753403241809,0.6330753403241809,resident,0.7154484189117114,0.0016016291556191,0.0015370612830596,365.0,71.54484189117115,0.204539770619899,common,20.4539770619899,,peak_abundance_with_occupancy_days_modifiers,0.7154484189117114
amwpel,SV,0.47596655576064617,0.38750821377840916,0.609569184241207,nonbreeding,0.1912023182990517,0.0147718349947928,0.0073592733834273,91.0,19.120231829905173,0.19849347098682413,fairly_common,19.84934709868241,,peak_abundance_with_occupancy_days_modifiers,0.1912023182990517
woosto,SV,0.4596405080708209,0.37566707307712716,0.583504625527852,prebreeding_migration,0.2565940187997064,0.0017886548924445,0.0046916857388778,119.0,25.659401879970638,0.19168498027623004,fairly_common,19.168498027623006,,peak_abundance_with_occupancy_days_modifiers,0.2565940187997064
rthhum,SV,0.45463110989570676,0.24563880510253777,0.5755920554999191,nonbreeding,0.8238043052969443,0.0237626953492662,0.078080987571045,112.0,82.38043052969442,0.18959589897566592,fairly_common,18.95958989756659,,peak_abundance_with_occupancy_days_modifiers,0.8238043052969443
magfri,SV,0.4479457885654001,0.4854636686018038,0.5650938473709195,breeding,0.1662168296612002,0.0072072844563838,0.0046235481767774,140.0,16.62168296612002,0.18680790343384862,fairly_common,18.680790343384864,,peak_abundance_with_occupancy_days_modifiers,0.1662168296612002
willet1,SV,0.4349899812606226,0.3678284079304347,0.5449475804466407,nonbreeding,0.1308575318024004,0.0095003770384768,0.013874944998437,147.0,13.08575318024004,0.1814049121307055,fairly_common,18.14049121307055,,peak_abundance_with_occupancy_days_modifiers,0.1308575318024004
screup1,SV,0.4335230587563438,0.542682923517162,0.542682923517162,resident,0.7347723121429537,0.0313767328746187,0.0602253922715058,365.0,73.47723121429537,0.18079315793071207,common,18.079315793071206,,peak_abundance_with_occupancy_days_modifiers,0.7347723121429537
wilplo,SV,0.43120786509539105,0.2470765682138004,0.5391154450870083,prebreeding_migration,0.1068789569911298,0.0120712604471527,0.0828974550522405,119.0,10.68789569911298,0.17982764718167474,fairly_common,17.982764718167473,,peak_abundance_with_occupancy_days_modifiers,0.1068789569911298
tubmot1,SV,0.42893940372335854,0.5356279782401617,0.5356279782401617,resident,0.8417675158698645,0.0802060376345623,0.1252422884834985,365.0,84.17675158698646,0.17888162531084245,common,17.888162531084244,,peak_abundance_with_occupancy_days_modifiers,0.8417675158698645
norsho,SV,0.41097489253694375,0.3171933416505448,0.5082874868103001,nonbreeding,0.0881645948514143,0.0013351804384181,0.0005619143953575376,105.0,8.81645948514143,0.1713898422500043,fairly_common,17.13898422500043,,peak_abundance_with_occupancy_days_modifiers,0.0881645948514143
blhsal1,SV,0.41059700625191725,0.5077176333318456,0.5077176333318456,resident,0.5256710883794135,0.0229531993462499,0.0374886824610593,365.0,52.56710883794135,0.17123225142887327,common,17.12322514288733,,peak_abundance_with_occupancy_days_modifiers,0.5256710883794135
blkski,SV,0.40381906089941405,0.2826069794676929,0.4975329601759138,nonbreeding,0.0829999588850029,0.0024992508617275,0.0089756176766438,140.0,8.299995888500291,0.16840562866957598,fairly_common,16.840562866957598,,peak_abundance_with_occupancy_days_modifiers,0.0829999588850029
