species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
laugul,SX,2.372028951094049,5.006678982082512,9.719118803458612,breeding,1.0,0.00022150522868861708,0.00016538611041797108,161.0,100.0,0.9892129060022977,abundant,98.92129060022977,,peak_abundance_with_occupancy_days_modifiers,1.0
zendov,SX,1.5931525259563568,3.9192325174914666,3.9192325174914666,resident,0.7908179910941717,0.000595124100048443,0.0036633969524211,365.0,79.08179910941718,0.6643962078031581,common,66.4396207803158,,peak_abundance_with_occupancy_days_modifiers,0.7908179910941717
brnpel,SX,1.4943596759615743,2.6162545351257105,3.456482046459668,postbreeding_migration,0.9452344313094572,0.0002756492178970247,8.01096429888161e-05,161.0,94.52344313094572,0.6231963893142171,common,62.31963893142171,,peak_abundance_with_occupancy_days_modifiers,0.9452344313094572
cargra1,SX,1.3825430588590106,2.985022900333876,2.985022900333876,resident,0.5816359821883436,0.00011017001190870035,0.00023038617170189067,365.0,58.16359821883436,0.5765652380829657,common,57.65652380829657,,peak_abundance_with_occupancy_days_modifiers,0.5816359821883436
banana,SX,1.3520456913308712,2.8653247095507117,2.8653247095507117,resident,0.5816359821883436,1.1688013625973312e-05,0.00020997491609802413,365.0,58.16359821883436,0.5638468479705615,common,56.38468479705615,,peak_abundance_with_occupancy_days_modifiers,0.5816359821883436
leater1,SX,1.1457039029502039,1.3139445085395005,2.1446541092712064,breeding,0.7360524224036288,0.0003325165522167723,0.0003026959521387405,77.0,73.60524224036288,0.47779563851141604,common,47.7795638511416,,peak_abundance_with_occupancy_days_modifiers,0.7360524224036288
barswa,SX,1.1345848670920307,0.7899241102227089,2.1098822604305325,postbreeding_migration,1.0,3.902749992391787e-06,7.947687425593823e-07,140.0,100.0,0.4731586403971502,common,47.315864039715024,,peak_abundance_with_occupancy_days_modifiers,1.0
magfri,SX,1.1266071626534793,1.8803891811792304,2.0851712385908354,breeding,0.9452344313094572,0.00023227658222805853,8.407010853018652e-05,140.0,94.52344313094572,0.46983167923706526,common,46.983167923706525,,peak_abundance_with_occupancy_days_modifiers,0.9452344313094572
eucdov,SX,1.0090304912575618,1.742940420772702,1.742940420772702,resident,0.5816359821883436,3.7132594991489616e-06,4.403545672227146e-06,365.0,58.16359821883436,0.42079839878912306,common,42.07983987891231,,peak_abundance_with_occupancy_days_modifiers,0.5816359821883436
rocpig,SX,0.9105176715326082,1.485608929374731,1.485608929374731,resident,0.4722995234209194,4.076892383649214e-06,2.5187174062272568e-06,365.0,47.22995234209194,0.37971536199328,common,37.971536199328,,peak_abundance_with_occupancy_days_modifiers,0.4722995234209194
