species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comcra,SY,2.5336412568586097,4.8162,11.5993,nonbreeding,0.2174,0.0068,0.0196,119.0,21.740000000000002,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2174
eursta,SY,3.0146325330544714,8.913375,19.3816,nonbreeding,0.7771,0.0121,0.0286,140.0,77.71000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7771
rocpig,SY,2.301894854834486,8.9931,8.9931,resident,0.9941,0.0108,0.0336,365.0,99.41,0.959964716118794,abundant,95.9964716118794,,peak_abundance_with_occupancy_days_modifiers,0.9941
gnwtea,SY,2.038189767317454,2.487175,6.6767,nonbreeding,0.476,0.0105,0.0189,147.0,47.599999999999994,0.8499911528408259,abundant,84.99911528408259,,peak_abundance_with_occupancy_days_modifiers,0.476
barswa,SY,2.0353198382698476,4.353,6.6547,postbreeding_migration,1.0,0.0034,0.0102,154.0,100.0,0.8487942994668848,abundant,84.87942994668848,,peak_abundance_with_occupancy_days_modifiers,1.0
skylar,SY,1.9783911684430622,2.990075,6.2311,nonbreeding,0.8888,0.0309,0.0971,154.0,88.88000000000001,0.8250532001484191,abundant,82.50532001484191,,peak_abundance_with_occupancy_days_modifiers,0.8888
blakit1,SY,1.8918913393115933,2.744625,5.6319,nonbreeding,0.435,0.0054,0.0676,147.0,43.5,0.7889799695479339,abundant,78.8979969547934,,peak_abundance_with_occupancy_days_modifiers,0.435
eurcoo,SY,1.8680412673852138,2.290175,5.4756,nonbreeding,0.241,0.0066,0.0209,154.0,24.099999999999998,0.7790337170168355,abundant,77.90337170168355,,peak_abundance_with_occupancy_days_modifiers,0.241
crelar1,SY,1.71255391104708,4.00235,4.5431,breeding,0.9921,0.0132,0.0386,147.0,99.21,0.7141904529669096,common,71.41904529669097,,peak_abundance_with_occupancy_days_modifiers,0.9921
whiwag,SY,1.6844526162395461,1.9722499999999998,4.3895,nonbreeding,0.9944,0.0096,0.0366,112.0,99.44,0.7024713027912061,common,70.24713027912061,,peak_abundance_with_occupancy_days_modifiers,0.9944
houspa,SY,1.6126726749440299,4.0162,4.0162,resident,0.9506,0.0091,0.0133,365.0,95.06,0.672536742216445,common,67.2536742216445,,peak_abundance_with_occupancy_days_modifiers,0.9506
whisto1,SY,1.5701563974324242,1.4466666666666665,3.8074,prebreeding_migration,0.9303,0.0158,0.0307,28.0,93.03,0.654806077331323,rare,65.4806077331323,rare,peak_abundance_with_occupancy_days_modifiers,0.9303
spaspa1,SY,1.565778563093685,2.8924,3.7864,nonbreeding,0.9481,,,,94.81,0.6529803786077796,common,65.29803786077795,,peak_abundance_with_occupancy_days_modifiers,0.9481
eucdov,SY,1.5235749666539244,3.5886,3.5886,resident,0.9834,0.0118,0.0246,365.0,98.34,0.6353801118578024,common,63.53801118578024,,peak_abundance_with_occupancy_days_modifiers,0.9834
mallar3,SY,1.4898657772932555,1.803775,3.4365,nonbreeding,0.417,0.0078,0.0042,126.0,41.699999999999996,0.6213222880057498,common,62.132228800574985,,peak_abundance_with_occupancy_days_modifiers,0.417
corbun1,SY,1.3526083034650842,1.3749250000000002,2.8675,nonbreeding,0.8396,0.0352,0.0652,91.0,83.96000000000001,0.5640814754543366,common,56.408147545433664,,peak_abundance_with_occupancy_days_modifiers,0.8396
comcha,SY,1.260362589513217,0.967475,2.5267,nonbreeding,0.4285,0.0073,0.0131,112.0,42.85,0.5256120247663526,common,52.56120247663526,,peak_abundance_with_occupancy_days_modifiers,0.4285
norlap,SY,1.254732456351726,1.150325,2.5069,nonbreeding,0.256,0.0284,0.0342,133.0,25.6,0.523264076869979,common,52.3264076869979,,peak_abundance_with_occupancy_days_modifiers,0.256
comswi,SY,1.0850203351486427,0.67395,1.9595,prebreeding_migration,0.9999,0.0054,0.0166,196.0,99.99,0.4524886251109757,common,45.24886251109757,,peak_abundance_with_occupancy_days_modifiers,0.9999
banswa,SY,1.0691491485174682,1.097225,1.9129,prebreeding_migration,0.854,,,,85.39999999999999,0.44586982619543647,common,44.58698261954365,,peak_abundance_with_occupancy_days_modifiers,0.854
eaywag1,SY,0.9783261227936076,0.614125,1.66,postbreeding_migration,0.9152,0.0049,0.0166,126.0,91.52,0.40799368258142904,common,40.799368258142906,,peak_abundance_with_occupancy_days_modifiers,0.9152
eubeat1,SY,0.8668903815790281,1.2255666666666667,1.3795,prebreeding_migration,0.9988,0.015,0.0216,105.0,99.88,0.36152136893257947,common,36.152136893257946,,peak_abundance_with_occupancy_days_modifiers,0.9988
norsho,SY,0.826891050609541,0.6910000000000001,1.2862,nonbreeding,0.1694,0.0081,0.0113,147.0,16.939999999999998,0.34484035228300436,common,34.484035228300435,,peak_abundance_with_occupancy_days_modifiers,0.1694
hoocro1,SY,0.7948911644432294,0.9650249999999999,1.2142,postbreeding_migration,0.5238,0.0163,0.02,168.0,52.38,0.33149536322976375,common,33.149536322976374,,peak_abundance_with_occupancy_days_modifiers,0.5238
meapip1,SY,0.7501889209271423,0.6846333333333333,1.1174,nonbreeding,0.8611,0.0297,0.0536,98.0,86.11,0.312853079714221,common,31.2853079714221,,peak_abundance_with_occupancy_days_modifiers,0.8611
leswhi4,SY,0.7218318144198542,0.3229,1.0582,prebreeding_migration,0.9958,0.0075,0.0302,140.0,99.58,0.3010272477736146,common,30.102724777361463,,peak_abundance_with_occupancy_days_modifiers,0.9958
bkwsti,SY,0.6777289278315647,0.40115,0.9694,breeding,0.5916,0.0066,0.0084,105.0,59.160000000000004,0.28263491551098785,fairly_common,28.263491551098785,,peak_abundance_with_occupancy_days_modifiers,0.5916
stonec4,SY,0.6500308894863173,0.401675,0.9156,nonbreeding,0.9879,0.0444,0.0997,91.0,98.79,0.2710839363421088,fairly_common,27.10839363421088,,peak_abundance_with_occupancy_days_modifiers,0.9879
eurlin1,SY,0.6424326660154439,0.41397500000000004,0.9011,nonbreeding,0.6945,0.0227,0.0146,133.0,69.45,0.2679152310374747,fairly_common,26.791523103747473,,peak_abundance_with_occupancy_days_modifiers,0.6945
categr1,SY,0.6224146336952132,0.5412196102313925,0.8634220956965567,postbreeding_migration,0.1791460040020081,0.0040794725313947,0.0054687169795823,140.0,17.91460040020081,0.25956706314736105,fairly_common,25.956706314736106,,peak_abundance_with_occupancy_days_modifiers,0.1791460040020081
