species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
combul2,SZ,1.5272148766294613,3.605332524881845,3.605332524881845,resident,0.9998443817991666,0.0017795642695777,0.0027836781407223,365.0,99.98443817991665,0.6368980722194696,common,63.68980722194696,,peak_abundance_with_occupancy_days_modifiers,0.9998443817991666
barswa,SZ,1.3109510108161002,1.5865333333333334,2.7097,nonbreeding,0.9949,0.0005,0.0005,119.0,99.49,0.5467090350806713,common,54.67090350806713,,peak_abundance_with_occupancy_days_modifiers,0.9949
yefcan,SZ,0.8357745788097013,1.3066,1.3066,resident,0.9985,0.0024,0.0097,365.0,99.85000000000001,0.3485450712926019,common,34.85450712926019,,peak_abundance_with_occupancy_days_modifiers,0.9985
eubeat1,SZ,0.823341762217772,0.7383666666666667,1.2781,prebreeding_migration,1.0,0.0011,0.0015,91.0,100.0,0.34336018405713065,common,34.33601840571306,,peak_abundance_with_occupancy_days_modifiers,1.0
reedov1,SZ,0.6942465760032462,1.0022,1.0022,resident,1.0,0.0012,0.0017,365.0,100.0,0.2895233098287286,common,28.95233098287286,,peak_abundance_with_occupancy_days_modifiers,1.0
hadibi1,SZ,0.6770177986300616,0.968,0.968,resident,1.0,0.0019,0.0043,365.0,100.0,0.2823383515994734,common,28.23383515994734,,peak_abundance_with_occupancy_days_modifiers,1.0
vilwea1,SZ,0.6710944447380831,0.9563772962173755,0.9563772962173755,resident,0.7086816460536696,0.002815731499826,0.0018636838138962,365.0,70.86816460536696,0.27986812116064946,common,27.986812116064947,,peak_abundance_with_occupancy_days_modifiers,0.7086816460536696
lessts1,SZ,0.6249754004566113,0.44689999999999996,0.8682,breeding,1.0,0.0014,0.0025,287.0,100.0,0.26063498583374656,common,26.063498583374656,,peak_abundance_with_occupancy_days_modifiers,1.0
helgui,SZ,0.5753549603008593,0.7777614496701792,0.7777614496701792,resident,0.4690035575808354,0.0017161651740047,0.0012289607393276,365.0,46.90035575808354,0.23994165501206968,fairly_common,23.994165501206968,,peak_abundance_with_occupancy_days_modifiers,0.4690035575808354
bubcor1,SZ,0.5703578844673248,0.7689,0.7689,resident,0.7755,0.0029,0.0031,365.0,77.55,0.23785771252708243,common,23.785771252708244,,peak_abundance_with_occupancy_days_modifiers,0.7755
reccuc1,SZ,0.5638266495898477,0.40816171600407297,0.7573845446316605,breeding,0.9918214882452484,0.007237702372374,0.0100962318211629,91.0,99.18214882452484,0.23513397602717476,fairly_common,23.513397602717475,,peak_abundance_with_occupancy_days_modifiers,0.9918214882452484
