species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
y00475,TC,2.3394988444801013,3.965883676785753,9.376035252166668,nonbreeding,0.2670157068062827,0.0013297525617291,0.002140836069043,91.0,26.701570680628272,0.9756467978477975,abundant,97.56467978477976,,peak_abundance_with_occupancy_days_modifiers,0.2670157068062827
laugul,TC,2.235443613768029,3.46266601198478,8.350629000026826,breeding,0.8411552346570397,0.0053980168659067,0.0041168537104287,161.0,84.11552346570397,0.9322523961437402,abundant,93.22523961437402,,peak_abundance_with_occupancy_days_modifiers,0.8411552346570397
grefla2,TC,2.1614298873425017,7.683545277080758,7.683545277080758,resident,0.5667870036101083,0.0274379587556798,0.0182561115111989,365.0,56.678700361010826,0.9013862748142826,abundant,90.13862748142826,,peak_abundance_with_occupancy_days_modifiers,0.5667870036101083
shbdow,TC,2.1083239647229037,2.5501461403853214,7.234428519833604,nonbreeding,0.8736462093862816,0.0107279014096994,0.0370719658282395,140.0,87.36462093862815,0.8792393849054407,abundant,87.92393849054407,,peak_abundance_with_occupancy_days_modifiers,0.8736462093862816
leasan,TC,1.828947136367676,2.315320451554498,5.227326679961346,nonbreeding,0.4115523465703971,0.0015758044896605,0.0079403893613045,168.0,41.155234657039706,0.762730198067939,abundant,76.2730198067939,,peak_abundance_with_occupancy_days_modifiers,0.4115523465703971
semplo,TC,1.6231904867067672,1.3380859553934208,4.069237879642188,nonbreeding,0.5342960288808665,0.0049422293461564,0.0155332345821612,133.0,53.42960288808665,0.6769230104084094,common,67.69230104084095,,peak_abundance_with_occupancy_days_modifiers,0.5342960288808665
sander,TC,1.3338371559855078,1.2375301936250918,2.7955797120713584,nonbreeding,0.5595667870036101,0.0022152667609941,0.0042536369287047,126.0,55.95667870036101,0.5562532989311517,common,55.62532989311517,,peak_abundance_with_occupancy_days_modifiers,0.5595667870036101
bkbplo,TC,1.09926594146731,0.7259532578242437,2.001961599430237,nonbreeding,0.6028880866425993,0.0018849183954491,0.0033933083713617,140.0,60.28880866425993,0.45842950438133784,common,45.842950438133784,,peak_abundance_with_occupancy_days_modifiers,0.6028880866425993
moudov,TC,1.0298754118482478,0.8855690638572415,1.800716876822258,postbreeding_migration,0.2490974729241877,0.00010995685502450466,0.00018808900808335797,112.0,24.90974729241877,0.4294914058721054,common,42.949140587210536,,peak_abundance_with_occupancy_days_modifiers,0.2490974729241877
rudtur,TC,1.0140944293605776,0.7633014641078079,1.7568657299779382,nonbreeding,0.5415162454873647,0.0021519259737465,0.0053933998319509,154.0,54.151624548736464,0.42291022500624803,common,42.291022500624806,,peak_abundance_with_occupancy_days_modifiers,0.5415162454873647
wessan,TC,1.008511164112706,0.5944639118411904,1.741516307177903,nonbreeding,0.8194945848375451,0.0100066122988759,0.0011739296608288,91.0,81.94945848375451,0.42058182254797233,common,42.05818225479723,,peak_abundance_with_occupancy_days_modifiers,0.8194945848375451
semsan,TC,1.0083494186690602,0.8713280457765689,1.741072915265814,nonbreeding,0.779783393501805,0.0123704255197296,0.0008643751527696897,119.0,77.9783393501805,0.4205143694588068,common,42.05143694588068,,peak_abundance_with_occupancy_days_modifiers,0.779783393501805
grykin,TC,0.8007189883936942,0.8773696336170852,1.2271416419679937,breeding,0.4801444043321299,0.0047581568402976,0.0050297598916199,91.0,48.01444043321299,0.3339257545886256,common,33.39257545886256,,peak_abundance_with_occupancy_days_modifiers,0.4801444043321299
bknsti,TC,0.7343279276976181,0.8783722111425376,1.0840808687017376,nonbreeding,0.2593984962406015,0.00034723275719665173,0.0004331028543158103,119.0,25.93984962406015,0.30623853177734867,common,30.623853177734865,,peak_abundance_with_occupancy_days_modifiers,0.2593984962406015
