species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,TD,1.1068780330851424,1.3145250000000002,2.0249,postbreeding_migration,0.9999,0.0327,0.0252,154.0,99.99,0.4616039931524629,common,46.160399315246295,,peak_abundance_with_occupancy_days_modifiers,0.9999
wfwduc1,TD,0.7499999921527281,1.117,1.117,resident,0.1452,0.0247,0.0766,365.0,14.52,0.31277429029561815,common,31.277429029561816,,peak_abundance_with_occupancy_days_modifiers,0.1452
ruff,TD,0.5890636270166224,0.57935,0.8023,prebreeding_migration,0.3545,0.0275,0.053,112.0,35.449999999999996,0.2456586130757823,fairly_common,24.56586130757823,,peak_abundance_with_occupancy_days_modifiers,0.3545
banswa,TD,0.4064646084412479,0.23879999999999998,0.5015,prebreeding_migration,0.2699,,,,26.99,0.16950890768757354,fairly_common,16.950890768757354,,peak_abundance_with_occupancy_days_modifiers,0.2699
eaywag1,TD,0.38335582252006334,0.38916666666666666,0.4672,prebreeding_migration,0.7562,0.0601,0.0479,63.0,75.62,0.15987179543195096,fairly_common,15.987179543195095,,peak_abundance_with_occupancy_days_modifiers,0.7562
blakit1,TD,0.3498114439173297,0.26413333333333333,0.4188,postbreeding_migration,0.601,0.0186,0.0184,126.0,60.099999999999994,0.14588270300441264,fairly_common,14.588270300441264,,peak_abundance_with_occupancy_days_modifiers,0.601
litsti,TD,0.2717051179286401,0.15526666666666666,0.3122,postbreeding_migration,0.4371,0.0325,0.0261,84.0,43.71,0.11330983509198765,fairly_common,11.330983509198765,,peak_abundance_with_occupancy_days_modifiers,0.4371
eubeat1,TD,0.2698744538018162,0.1764,0.3098,postbreeding_migration,0.6454,0.0263,0.015,49.0,64.53999999999999,0.11254638885328369,fairly_common,11.254638885328369,,peak_abundance_with_occupancy_days_modifiers,0.6454
squher1,TD,0.22194283073769086,0.138125,0.2485,nonbreeding,0.4649,0.1216,0.1428,91.0,46.489999999999995,0.09255734946200592,fairly_common,9.255734946200592,,peak_abundance_with_occupancy_days_modifiers,0.4649
spwlap1,TD,0.21664246497184983,0.13975,0.2419,nonbreeding,0.3835,0.1171,0.0997,35.0,38.35,0.09034692525125404,fairly_common,9.034692525125404,,peak_abundance_with_occupancy_days_modifiers,0.3835
bkwsti,TD,0.17613579770686846,0.10135,0.1926,nonbreeding,0.3669,0.0493,0.0204,35.0,36.69,0.07345433293311267,uncommon,7.345433293311267,,peak_abundance_with_occupancy_days_modifiers,0.3669
afghor1,TD,0.17117634568895634,0.1867,0.1867,resident,0.2352,0.0346,0.0756,365.0,23.52,0.07138608079792898,uncommon,7.138608079792898,,peak_abundance_with_occupancy_days_modifiers,0.2352
litegr,TD,0.16948957797857636,0.1847,0.1847,nonbreeding,0.4551,0.0458,0.0196,56.0,45.51,0.070682644025892,uncommon,7.0682644025892,,peak_abundance_with_occupancy_days_modifiers,0.4551
wookin1,TD,0.14643527822954572,0.15510000000000002,0.1577,nonbreeding,0.6429,0.0708,0.1036,119.0,64.29,0.061068254268942294,uncommon,6.106825426894229,,peak_abundance_with_occupancy_days_modifiers,0.6429
rorpar,TD,0.14332081944422206,0.1541,0.1541,resident,0.2725,0.0636,0.0223,365.0,27.250000000000004,0.059769424073706515,uncommon,5.976942407370651,,peak_abundance_with_occupancy_days_modifiers,0.2725
litswi1,TD,0.13488048219381815,0.08105,0.1444,breeding,0.1167,0.008,0.0115,56.0,11.67,0.05624953004574348,uncommon,5.624953004574348,,peak_abundance_with_occupancy_days_modifiers,0.1167
comsan,TD,0.13032626167557426,0.062,0.1392,nonbreeding,0.5948,0.0448,0.0548,98.0,59.48,0.054350272571946835,uncommon,5.435027257194683,,peak_abundance_with_occupancy_days_modifiers,0.5948
norwhe,TD,0.1278653709978958,0.09875,0.1364,postbreeding_migration,0.851,,,,85.1,0.05332400144760099,uncommon,5.332400144760099,,peak_abundance_with_occupancy_days_modifiers,0.851
blhher1,TD,0.11982539306834857,0.1273,0.1273,resident,0.2643,,,,26.43,0.0499710702246437,uncommon,4.99710702246437,,peak_abundance_with_occupancy_days_modifiers,0.2643
graher1,TD,0.1188491338383811,0.06445000000000001,0.1262,postbreeding_migration,0.4717,0.0195,0.0099,56.0,47.17,0.04956393850332041,uncommon,4.956393850332041,,peak_abundance_with_occupancy_days_modifiers,0.4717
woosan,TD,0.1003881740312684,0.09463333333333335,0.1056,prebreeding_migration,0.6339,0.0446,0.0204,140.0,63.39,0.04186512028697325,uncommon,4.186512028697325,,peak_abundance_with_occupancy_days_modifiers,0.6339
wlwwar,TD,0.09903052346295425,0.04613333333333333,0.1041,postbreeding_migration,1.0,0.0301,0.0187,98.0,100.0,0.041298936023750774,uncommon,4.129893602375077,,peak_abundance_with_occupancy_days_modifiers,1.0
grewhi1,TD,0.07871875471139067,0.07769999999999999,0.0819,nonbreeding,0.4786,0.0882,0.1581,63.0,47.86,0.03282827052722994,uncommon,3.282827052722994,,peak_abundance_with_occupancy_days_modifiers,0.4786
hoopoe,TD,0.07455073126429633,0.055999999999999994,0.0774,postbreeding_migration,0.7268,0.0227,0.0146,49.0,72.68,0.031090069741575785,uncommon,3.1090069741575785,,peak_abundance_with_occupancy_days_modifiers,0.7268
piecro1,TD,0.07306457085700514,0.0758,0.0758,resident,0.254,0.0455,0.0263,365.0,25.4,0.030470292712883183,uncommon,3.0470292712883182,,peak_abundance_with_occupancy_days_modifiers,0.254
spofly1,TD,0.05458287777029171,0.02523333333333333,0.0561,postbreeding_migration,0.982,0.0262,0.0119,84.0,98.2,0.0227628280473621,uncommon,2.27628280473621,,peak_abundance_with_occupancy_days_modifiers,0.982
monhar1,TD,0.053161548114232356,0.0546,0.0546,postbreeding_migration,0.7585,0.0532,0.0851,35.0,75.85,0.02217008754189344,uncommon,2.217008754189344,,peak_abundance_with_occupancy_days_modifiers,0.7585
greegr,TD,0.050312813873589095,0.03805,0.0516,nonbreeding,0.3926,0.0192,0.0054,133.0,39.26,0.020982073088985892,uncommon,2.0982073088985893,,peak_abundance_with_occupancy_days_modifiers,0.3926
comswi,TD,0.04821857227047433,0.04173333333333334,0.0494,postbreeding_migration,0.5774,0.0238,0.0052,77.0,57.74,0.020108706505018715,rare,2.0108706505018716,,peak_abundance_with_occupancy_days_modifiers,0.5774
bkskit1,TD,0.03401487858727765,0.0346,0.0346,resident,0.3107,0.0332,0.0308,365.0,31.069999999999997,0.014185306161257773,rare,1.4185306161257774,,peak_abundance_with_occupancy_days_modifiers,0.3107
palswi3,TD,0.031886188862321745,0.0324,0.0324,postbreeding_migration,0.0215,,,,2.15,0.0132975735946592,rare,1.32975735946592,rare,peak_abundance_with_occupancy_days_modifiers,0.0215
spwgoo1,TD,0.030141156911986842,0.0306,0.0306,resident,0.0207,,,,2.07,0.012569838747299309,rare,1.256983874729931,rare,peak_abundance_with_occupancy_days_modifiers,0.0207
gargan,TD,0.025277807184268544,0.0256,0.0256,postbreeding_migration,0.0238,0.0018,0.0035,28.0,2.3800000000000003,0.010541664380016531,rare,1.054166438001653,rare,peak_abundance_with_occupancy_days_modifiers,0.0238
shikra1,TD,0.024790168807218786,0.015925,0.0251,postbreeding_migration,0.6117,,,,61.17,0.010338303381485165,rare,1.0338303381485165,,peak_abundance_with_occupancy_days_modifiers,0.6117
trepip,TD,0.024302292522964862,0.014,0.0246,postbreeding_migration,0.4546,0.0024,0.0047,7.0,45.46,0.010134843167943598,very_rare,1.0134843167943597,very_rare,peak_abundance_with_occupancy_days_modifiers,0.4546
marsan,TD,0.024107075343233128,0.010233333333333334,0.0244,postbreeding_migration,0.3544,0.0277,0.0113,91.0,35.44,0.010053431280632984,rare,1.0053431280632983,,peak_abundance_with_occupancy_days_modifiers,0.3544
orabis1,TD,0.019802627296179712,0.02,0.02,resident,0.085,0.0314,0.0154,365.0,8.5,0.008258337017808889,rare,0.8258337017808889,,peak_abundance_with_occupancy_days_modifiers,0.085
reedov1,TD,0.019018005835761846,0.0192,0.0192,resident,0.042,0.0039,0.0025,365.0,4.2,0.007931124453808077,rare,0.7931124453808077,rare,peak_abundance_with_occupancy_days_modifiers,0.042
woowar,TD,0.018330956684723457,0.0096,0.0185,postbreeding_migration,0.5106,0.0476,0.04,98.0,51.06,0.007644602703324481,rare,0.764460270332448,,peak_abundance_with_occupancy_days_modifiers,0.5106
eurkes,TD,0.01715205881756557,0.00975,0.0173,nonbreeding,0.2549,0.0103,0.005,56.0,25.490000000000002,0.007152964106538737,rare,0.7152964106538737,,peak_abundance_with_occupancy_days_modifiers,0.2549
isawhe1,TD,0.017053754565827518,0.009733333333333335,0.0172,postbreeding_migration,0.1079,,,,10.79,0.007111968049349252,rare,0.7111968049349252,,peak_abundance_with_occupancy_days_modifiers,0.1079
hadibi1,TD,0.01646372603066508,0.0166,0.0166,resident,0.0698,0.0099,0.0055,365.0,6.98,0.006865907038321851,rare,0.6865907038321851,,peak_abundance_with_occupancy_days_modifiers,0.0698
whinch1,TD,0.01646372603066508,0.0111,0.0166,postbreeding_migration,0.8511,0.0362,0.009,70.0,85.11,0.006865907038321851,rare,0.6865907038321851,,peak_abundance_with_occupancy_days_modifiers,0.8511
spepig1,TD,0.016168581161583706,0.0163,0.0163,resident,0.0304,0.0077,0.0045,365.0,3.04,0.006742822067752263,rare,0.6742822067752263,rare,peak_abundance_with_occupancy_days_modifiers,0.0304
osprey,TD,0.015282623531156904,0.005633333333333334,0.0154,prebreeding_migration,0.4837,0.0386,0.035,49.0,48.370000000000005,0.0063733490384348555,rare,0.6373349038434856,,peak_abundance_with_occupancy_days_modifiers,0.4837
