species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whimbr,TF,1.0788459465041467,1.438627925786105,1.941283193501559,postbreeding_migration,0.4090909090909091,9.513239257967338e-05,0.0002167242991739378,70.0,40.909090909090914,0.44991370504897876,common,44.99137050489787,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
cursan,TF,0.8928537427095931,1.0079840475862676,1.4420888098803433,postbreeding_migration,0.4090909090909091,6.857926620185164e-05,0.0001824424700841084,56.0,40.909090909090914,0.3723489315142703,common,37.23489315142703,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
litsti,TF,0.8648111753040466,0.7190635600550608,1.3745576685125178,nonbreeding,0.1363636363636363,1.6287087054480305e-05,7.083911945345812e-05,7.0,13.63636363636363,0.3606542725674596,very_rare,36.065427256745956,very_rare,peak_abundance_with_occupancy_days_modifiers,0.1363636363636363
comter,TF,0.5344183719425488,0.7064554312012412,0.7064554312012412,postbreeding_migration,0.4090909090909091,2.0747198840001062e-06,1.065500752453026e-06,35.0,40.909090909090914,0.2228697716722535,fairly_common,22.28697716722535,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
grcter1,TF,0.46985772065502035,0.3754814565181732,0.5997665632854808,breeding,0.4090909090909091,9.683041766186818e-05,3.063089200680976e-05,140.0,40.909090909090914,0.19594588887390857,fairly_common,19.594588887390856,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
rudtur,TF,0.4605721599783222,0.5849805880676616,0.5849805880676616,postbreeding_migration,0.4090909090909091,5.403620425685209e-05,0.00010243282769216456,77.0,40.909090909090914,0.1920735092991902,fairly_common,19.20735092991902,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
bkbplo,TF,0.38172682314570916,0.34103255854411557,0.4648118777708573,postbreeding_migration,0.4090909090909091,0.00010158242849725728,4.92648469426315e-05,70.0,40.909090909090914,0.15919244992723547,fairly_common,15.919244992723547,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
sander,TF,0.2999856747156447,0.3498394706032492,0.3498394706032492,postbreeding_migration,0.2727272727272727,3.973615195104506e-05,4.221959583298541e-05,42.0,27.27272727272727,0.12510374331968138,fairly_common,12.510374331968139,,peak_abundance_with_occupancy_days_modifiers,0.2727272727272727
litegr,TF,0.2848881976484462,0.24354718399770334,0.32961336591027,nonbreeding,0.2727272727272727,1.0670916062574253e-05,4.597572981200866e-06,56.0,27.27272727272727,0.11880760635387484,fairly_common,11.880760635387484,,peak_abundance_with_occupancy_days_modifiers,0.2727272727272727
tersan,TF,0.2212514086177209,0.1851035566492514,0.2476370578462427,postbreeding_migration,0.4090909090909091,0.00018407166523499817,8.562916839653859e-05,28.0,40.909090909090914,0.09226900404183128,rare,9.226900404183128,rare,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
corplo,TF,0.20006759984703248,0.19884977286512195,0.2214853275905955,postbreeding_migration,0.4090909090909091,5.3123985479443966e-05,4.311197352724586e-05,35.0,40.909090909090914,0.08343466961071712,fairly_common,8.343466961071712,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
graher1,TF,0.19781375563860104,0.2187353900887749,0.2187353900887749,postbreeding_migration,0.4090909090909091,1.1563099835803982e-05,5.776639126716938e-06,49.0,40.909090909090914,0.0824947435705773,fairly_common,8.24947435705773,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
comgre,TF,0.10695180391935219,0.1128806167028167,0.1128806167028167,postbreeding_migration,0.4090909090909091,1.4734870562348148e-05,1.3023271799125675e-05,63.0,40.909090909090914,0.044602366555624516,uncommon,4.4602366555624515,,peak_abundance_with_occupancy_days_modifiers,0.4090909090909091
caster1,TF,0.02762617665868171,0.0219745486974716,0.0280113179575313,postbreeding_migration,0.2727272727272727,8.756439631645772e-05,7.047602354937504e-06,21.0,27.27272727272727,0.011521010517878686,rare,1.1521010517878687,,peak_abundance_with_occupancy_days_modifiers,0.2727272727272727
comsan,TF,0.019761264074398155,0.019957810386338,0.019957810386338,postbreeding_migration,0.1363636363636363,2.343209963328764e-06,1.1600215486854838e-06,7.0,13.63636363636363,0.008241087214512322,very_rare,0.8241087214512323,very_rare,peak_abundance_with_occupancy_days_modifiers,0.1363636363636363
strher,TF,0.0017657801237980601,0.0015368217771703,0.0017673400315371,nonbreeding,0.0454545454545454,1.4975574837440135e-06,2.047897933026792e-07,0.0,4.54545454545454,0.0007363875077568655,very_rare,0.07363875077568656,,peak_abundance_with_occupancy_days_modifiers,0.0454545454545454
perfal,TF,0.0009091748114912039,0.0009095882361924106,0.0009095882361924106,postbreeding_migration,0.2727272727272727,2.673142800624981e-06,4.716855773637269e-07,7.0,27.27272727272727,0.0003791553458588903,very_rare,0.03791553458588903,,peak_abundance_with_occupancy_days_modifiers,0.2727272727272727
