species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
combul2,TG,1.3343112990512267,2.797379786584922,2.797379786584922,resident,0.9991330665279672,0.0059176184806878,0.007187328385673,365.0,99.91330665279672,0.5564510319477257,common,55.645103194772574,,peak_abundance_with_occupancy_days_modifiers,0.9991330665279672
litswi1,TG,0.8689055802122244,0.8791500000000001,1.3843,breeding,0.9988,0.0047,0.0049,84.0,99.88,0.3623617720377762,common,36.23617720377762,,peak_abundance_with_occupancy_days_modifiers,0.9988
categr1,TG,0.8643896944037534,0.7082812970013436,1.3735570486944788,prebreeding_migration,0.5969753335227111,0.0030986688815035,0.0023791821674618,140.0,59.697533352271115,0.36047850137967063,common,36.04785013796706,,peak_abundance_with_occupancy_days_modifiers,0.5969753335227111
vilwea1,TG,0.8286707883077188,1.290272459205212,1.290272459205212,resident,0.8048828220284756,0.0106417995883994,0.0083669421469664,365.0,80.48828220284756,0.3455825605513833,common,34.55825605513833,,peak_abundance_with_occupancy_days_modifiers,0.8048828220284756
broman1,TG,0.7241159380181909,1.0629065563220157,1.0629065563220157,resident,0.9759116890226748,0.0166645586817614,0.0161403470181293,365.0,97.59116890226748,0.30197980130013746,common,30.197980130013747,,peak_abundance_with_occupancy_days_modifiers,0.9759116890226748
reedov1,TG,0.7014080816864208,1.0165902330439145,1.0165902330439145,resident,0.6523848358021928,0.0051358839315685,0.0083229205084217,365.0,65.23848358021928,0.2925098896699812,common,29.250988966998122,,peak_abundance_with_occupancy_days_modifiers,0.6523848358021928
wfwduc1,TG,0.5897992563424999,0.803626312511407,0.803626312511407,resident,0.1457167582820087,0.0009809838713144897,0.0026651378763892,365.0,14.57167582820087,0.24596539433275477,fairly_common,24.596539433275478,,peak_abundance_with_occupancy_days_modifiers,0.1457167582820087
afghor1,TG,0.503317508275669,0.6542,0.6542,resident,0.9178,0.0061,0.0119,365.0,91.78,0.2098997041218951,common,20.98997041218951,,peak_abundance_with_occupancy_days_modifiers,0.9178
orabis1,TG,0.47057934344979335,0.6009214079348606,0.6009214079348606,resident,0.9297971418807937,0.0179621550306157,0.0239066582838752,365.0,92.97971418807937,0.19624682895371906,common,19.624682895371905,,peak_abundance_with_occupancy_days_modifiers,0.9297971418807937
fotdro5,TG,0.44722702907212836,0.5639693254890614,0.5639693254890614,resident,0.8835062973376339,0.0066376880289266,0.0046677129870153,365.0,88.35062973376338,0.1865081574435106,common,18.65081574435106,,peak_abundance_with_occupancy_days_modifiers,0.8835062973376339
piecro1,TG,0.39850762754066554,0.4896,0.4896,resident,0.7192,0.0058,0.0076,365.0,71.92,0.1661905889140866,common,16.61905889140866,,peak_abundance_with_occupancy_days_modifiers,0.7192
grbcam1,TG,0.39576946049989803,0.4855268054645041,0.4855268054645041,resident,0.9944192571206394,0.0067937072478767,0.0073087924721547,365.0,99.44192571206393,0.16504868456495622,common,16.504868456495622,,peak_abundance_with_occupancy_days_modifiers,0.9944192571206394
afpswi1,TG,0.3370093551228972,0.4007521678859188,0.4007521678859188,resident,0.75410902378532,0.0143058903176228,0.0102451572873085,365.0,75.410902378532,0.14054381729924487,common,14.054381729924486,,peak_abundance_with_occupancy_days_modifiers,0.75410902378532
orcwax,TG,0.3289089803510812,0.3894513824549071,0.3894513824549071,resident,0.7100114430832679,0.0210883757533972,0.0195033911065167,365.0,71.00114430832679,0.13716569863672182,common,13.716569863672182,,peak_abundance_with_occupancy_days_modifiers,0.7100114430832679
blakit1,TG,0.32411823964800834,0.21438127126372225,0.3828108005159034,prebreeding_migration,0.4995979752919893,0.002547460809811,0.0019591868752853,105.0,49.95979752919893,0.1351678045846259,fairly_common,13.516780458462591,,peak_abundance_with_occupancy_days_modifiers,0.4995979752919893
pitwhy,TG,0.3228378136948939,0.3810413467476899,0.3810413467476899,resident,0.994994404279922,0.0089138952493482,0.0128417288755585,365.0,99.4994404279922,0.1346338254873569,common,13.463382548735689,,peak_abundance_with_occupancy_days_modifiers,0.994994404279922
spepig1,TG,0.2973389032874859,0.3462714779732641,0.3462714779732641,resident,0.3878175511921838,0.0059333184689347,0.0045369493464169,365.0,38.78175511921838,0.12399995390144293,fairly_common,12.399995390144293,,peak_abundance_with_occupancy_days_modifiers,0.3878175511921838
bkrwax,TG,0.23492756134038825,0.2648171437557889,0.2648171437557889,resident,0.5511515740404487,0.016891453235236,0.019408125864403,365.0,55.115157404044865,0.09797240271724843,common,9.797240271724842,,peak_abundance_with_occupancy_days_modifiers,0.5511515740404487
