species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,TH,2.3597614786953707,5.202737696001433,9.58842558612452,nonbreeding,0.6676157657744294,0.0219858226978723,0.0439204093904184,154.0,66.76157657744294,0.9840969726511462,abundant,98.40969726511462,,peak_abundance_with_occupancy_days_modifiers,0.6676157657744294
nutman,TH,1.62210101726448,4.063718107234289,4.063718107234289,resident,0.5748888783365975,0.0647503902757251,0.2260945291791899,365.0,57.48888783365975,0.6764686663615088,common,67.64686663615088,,peak_abundance_with_occupancy_days_modifiers,0.5748888783365975
rocpig,TH,1.601571354692628,3.9608215132458793,3.9608215132458793,resident,0.4655202512730746,0.0247030922773898,0.0412820462734852,365.0,46.55202512730746,0.6679071320840364,common,66.79071320840364,,peak_abundance_with_occupancy_days_modifiers,0.4655202512730746
categr2,TH,1.5806799011284418,2.9357936209175035,3.858257823565782,nonbreeding,0.5700112774947526,0.0699765136649805,0.0627102303048482,126.0,57.00112774947526,0.6591947192438352,common,65.91947192438352,,peak_abundance_with_occupancy_days_modifiers,0.5700112774947526
lewduc1,TH,1.509507073809051,2.037775,3.5245,nonbreeding,0.3691,0.1018,0.1383,112.0,36.91,0.6295133448624047,common,62.95133448624048,,peak_abundance_with_occupancy_days_modifiers,0.3691
bkwsti,TH,1.2691254162794328,1.4468327617855652,2.557739660118375,nonbreeding,0.1794271896194439,0.0248794676140126,0.1122829762646798,105.0,17.94271896194439,0.5292664073683039,common,52.926640736830386,,peak_abundance_with_occupancy_days_modifiers,0.1794271896194439
zebdov,TH,1.2048246564534628,2.3361740501886565,2.3361740501886565,resident,0.5782508807281157,0.2741481697332593,0.4211044598931859,365.0,57.82508807281157,0.5024509077276835,common,50.24509077276835,,peak_abundance_with_occupancy_days_modifiers,0.5782508807281157
asiope1,TH,1.1592369104845446,2.1875,2.1875,resident,0.3893,0.1096,0.1979,365.0,38.93,0.48343934100662456,common,48.34393410066246,,peak_abundance_with_occupancy_days_modifiers,0.3893
spodov,TH,1.1342892454447002,2.108963047789972,2.108963047789972,resident,0.7587835309048405,0.0672133423128368,0.0721438836695427,365.0,75.87835309048405,0.47303535659460716,common,47.303535659460714,,peak_abundance_with_occupancy_days_modifiers,0.7587835309048405
bladro1,TH,1.133224519099849,1.0977698586012026,2.105654614528396,nonbreeding,0.5674424439829441,0.0750849445138507,0.0987572390152855,126.0,56.744244398294406,0.47259133122080144,common,47.259133122080144,,peak_abundance_with_occupancy_days_modifiers,0.5674424439829441
litegr,TH,1.1137786880297842,1.5944614642997137,2.045845978508248,nonbreeding,0.44384811422992,0.046397170940085,0.0762396229150122,119.0,44.384811422992,0.46448178978642046,common,46.44817897864205,,peak_abundance_with_occupancy_days_modifiers,0.44384811422992
recdov1,TH,1.1111195917027177,1.8301451697196052,2.037757539389336,postbreeding_migration,0.4790703230093878,0.0911743402099367,0.3154304512904546,140.0,47.90703230093878,0.4633728604861165,common,46.337286048611645,,peak_abundance_with_occupancy_days_modifiers,0.4790703230093878
commyn,TH,1.1030635838312886,2.013383650680644,2.013383650680644,resident,0.60465345239036,0.0587960016563549,0.0557701309557936,365.0,60.465345239036,0.4600132442581618,common,46.00132442581618,,peak_abundance_with_occupancy_days_modifiers,0.60465345239036
houspa,TH,0.9907016785660439,1.693123516568121,1.693123516568121,resident,0.3846576836334932,0.0122131379818328,0.0095816560822401,365.0,38.46576836334932,0.41315469020041223,common,41.31546902004122,,peak_abundance_with_occupancy_days_modifiers,0.3846576836334932
eutspa,TH,0.9848158726200661,1.677318871324813,1.677318871324813,resident,0.4153128938605578,0.0226490057200105,0.0149504713755295,365.0,41.53128938605578,0.41070011847130206,common,41.0700118471302,,peak_abundance_with_occupancy_days_modifiers,0.4153128938605578
gargan,TH,0.9763394523535889,0.8624922938073714,1.6547207024781023,nonbreeding,0.1018356343273941,0.0541434474992092,0.1972462045130833,77.0,10.18356343273941,0.4071651766568562,common,40.71651766568562,,peak_abundance_with_occupancy_days_modifiers,0.1018356343273941
rewlap1,TH,0.9005436366509906,1.187721989634733,1.4609406050774825,breeding,0.6100572612765826,0.0786423058053501,0.0624568750437196,203.0,61.00572612765826,0.37555586637445004,common,37.555586637445,,peak_abundance_with_occupancy_days_modifiers,0.6100572612765826
btbeat1,TH,0.8886571660329108,0.5926625326642813,1.4318618710140714,postbreeding_migration,0.3286527903653098,0.0622676303816616,0.1406060958285739,140.0,32.86527903653098,0.3705988231069982,common,37.05988231069982,,peak_abundance_with_occupancy_days_modifiers,0.3286527903653098
yebbun,TH,0.8303472238629659,1.0917008453643111,1.2941151735185032,prebreeding_migration,0.1962967701649454,0.4072727268994182,0.6045000060832216,119.0,19.62967701649454,0.34628168848005664,common,34.628168848005664,,peak_abundance_with_occupancy_days_modifiers,0.1962967701649454
grfhaw1,TH,0.7817918550858823,0.404928136469227,1.1853846518397213,postbreeding_migration,0.4623591786632677,0.148521794048418,0.2937181642853416,70.0,46.23591786632677,0.3260325269224634,common,32.603252692246336,,peak_abundance_with_occupancy_days_modifiers,0.4623591786632677
litcor1,TH,0.7137916784303343,1.0417181390952832,1.0417181390952832,resident,0.3092684202528055,0.0628428097969841,0.0445306954683436,365.0,30.92684202528055,0.2976742506345289,common,29.76742506345289,,peak_abundance_with_occupancy_days_modifiers,0.3092684202528055
oripra,TH,0.7019584217673066,0.5750630783151487,1.0177003489184928,postbreeding_migration,0.2748490272496671,0.2155486445209851,0.3018902224348555,98.0,27.48490272496671,0.29273939931000953,common,29.273939931000953,,peak_abundance_with_occupancy_days_modifiers,0.2748490272496671
comtai1,TH,0.6858180418292203,0.9853953078218428,0.9853953078218428,resident,0.9288108483286758,0.0932364088299093,0.1051514944853637,365.0,92.88108483286757,0.28600833806593357,common,28.600833806593357,,peak_abundance_with_occupancy_days_modifiers,0.9288108483286758
rerswa1,TH,0.6692642400966132,0.6886749999999999,0.9528,nonbreeding,0.8632,0.0644,0.1076,91.0,86.32,0.27910486654222155,fairly_common,27.910486654222154,,peak_abundance_with_occupancy_days_modifiers,0.8632
grecou1,TH,0.666184354610167,0.9467948519531404,0.9467948519531404,resident,0.8848537787654464,0.0779852108491966,0.1012550586600704,365.0,88.48537787654463,0.27782045453249604,common,27.782045453249605,,peak_abundance_with_occupancy_days_modifiers,0.8848537787654464
chpher1,TH,0.6633462128709472,0.6340777815719676,0.9412774055771486,postbreeding_migration,0.6020799134018394,0.249051258831962,0.3552991690101604,147.0,60.207991340183945,0.2766368574957883,fairly_common,27.663685749578832,,peak_abundance_with_occupancy_days_modifiers,0.6020799134018394
plapri1,TH,0.6412472057874211,0.8988476568558855,0.8988476568558855,resident,0.5463242244682344,0.0601680607776806,0.0929108830222231,365.0,54.63242244682343,0.26742085572364405,common,26.742085572364406,,peak_abundance_with_occupancy_days_modifiers,0.5463242244682344
asikoe2,TH,0.6114108107767992,0.525435682639556,0.8430297316800515,prebreeding_migration,0.6815587991801787,0.1320181254531709,0.219000549360949,105.0,68.15587991801787,0.2549781125608859,fairly_common,25.49781125608859,,peak_abundance_with_occupancy_days_modifiers,0.6815587991801787
olbsun4,TH,0.5578771871833113,0.7469600920426712,0.7469600920426712,resident,0.7661970768293536,0.3275369143369202,0.3988518390749717,365.0,76.61970768293536,0.2326528574920882,common,23.265285749208818,,peak_abundance_with_occupancy_days_modifiers,0.7661970768293536
ashwoo2,TH,0.5557798687670324,0.7433,0.7433,resident,0.6266,0.2294,0.4322,365.0,62.660000000000004,0.23177820777736935,common,23.177820777736933,,peak_abundance_with_occupancy_days_modifiers,0.6266
aspswi1,TH,0.5538851132264376,0.74,0.74,resident,0.5965,0.1247,0.153,365.0,59.650000000000006,0.23098803334311072,common,23.09880333431107,,peak_abundance_with_occupancy_days_modifiers,0.5965
pacswa1,TH,0.5502320161309935,0.7336552071820338,0.7336552071820338,resident,0.3772942463920237,0.0294501065231864,0.0338052798869541,365.0,37.72942463920237,0.22946457352529273,fairly_common,22.946457352529272,,peak_abundance_with_occupancy_days_modifiers,0.3772942463920237
brnshr,TH,0.5323432978323324,0.4747921798979003,0.7029180811168058,postbreeding_migration,0.6433657709999896,0.1013685577195414,0.1833557579080905,126.0,64.33657709999896,0.2220043985536873,fairly_common,22.20043985536873,,peak_abundance_with_occupancy_days_modifiers,0.6433657709999896
magrob,TH,0.5203087613538923,0.6825470750183975,0.6825470750183975,resident,0.7008950939968556,0.0771266709123606,0.0797560468837844,365.0,70.08950939968555,0.21698560702640116,common,21.698560702640115,,peak_abundance_with_occupancy_days_modifiers,0.7008950939968556
taifly1,TH,0.5124593884402211,0.4870667210826179,0.6693918333247278,nonbreeding,0.9253396428646288,0.1492539702843664,0.2560074299938303,126.0,92.53396428646288,0.2137121642690322,fairly_common,21.37121642690322,,peak_abundance_with_occupancy_days_modifiers,0.9253396428646288
whiwag,TH,0.49434926865213075,0.39147341832423016,0.6394310626869822,postbreeding_migration,0.2744097477902588,0.013077868105271,0.0086575744546891,77.0,27.44097477902588,0.2061596577048253,fairly_common,20.615965770482532,,peak_abundance_with_occupancy_days_modifiers,0.2744097477902588
labcro1,TH,0.4906025080769565,0.6333,0.6333,resident,0.8227,0.0559,0.0483,365.0,82.27,0.2045971371820663,common,20.45971371820663,,peak_abundance_with_occupancy_days_modifiers,0.8227
blcbul2,TH,0.4736220747684466,0.6058,0.6058,resident,0.3746,0.1387,0.2123,365.0,37.46,0.1975157464719984,fairly_common,19.751574647199842,,peak_abundance_with_occupancy_days_modifiers,0.3746
yebwar3,TH,0.47175209977985244,0.3349,0.6028,nonbreeding,0.9633,0.1048,0.1449,91.0,96.33,0.1967359063306015,fairly_common,19.67359063306015,,peak_abundance_with_occupancy_days_modifiers,0.9633
sttbab1,TH,0.4670803750628836,0.595329622982871,0.595329622982871,resident,0.4414716800106542,0.1483427642265,0.1972290338546893,365.0,44.14716800106542,0.19478764579980828,fairly_common,19.47876457998083,,peak_abundance_with_occupancy_days_modifiers,0.4414716800106542
woosan,TH,0.4470955713242088,0.35089581568168265,0.5637637431167113,postbreeding_migration,0.2503690485043862,0.0160323122856645,0.0406209595309846,154.0,25.036904850438617,0.1864533353045245,fairly_common,18.645333530452447,,peak_abundance_with_occupancy_days_modifiers,0.2503690485043862
comter,TH,0.4470009326017275,0.24923266170982272,0.5636157575164947,nonbreeding,0.1156351331948808,0.0013318882822612,0.001208984266753,147.0,11.563513319488079,0.1864138678917668,fairly_common,18.641386789176682,,peak_abundance_with_occupancy_days_modifiers,0.1156351331948808
chtsta2,TH,0.44582705080924134,0.2942667793764149,0.5617813343569277,nonbreeding,0.3201313252177388,0.1163339084784748,0.1287477562592057,140.0,32.013132521773876,0.1859243211605969,fairly_common,18.59243211605969,,peak_abundance_with_occupancy_days_modifiers,0.3201313252177388
orihob2,TH,0.44217214494348267,0.19056492500920283,0.5560835893005666,postbreeding_migration,0.679845063073458,0.055577435948437,0.0976609540874043,133.0,67.98450630734581,0.18440010702696905,fairly_common,18.440010702696906,,peak_abundance_with_occupancy_days_modifiers,0.679845063073458
whtkin2,TH,0.39847593517216084,0.4895527917959492,0.4895527917959492,resident,0.6790983268519428,0.072810490953685,0.0453208282365222,365.0,67.90983268519429,0.1661773721698592,common,16.61773721698592,,peak_abundance_with_occupancy_days_modifiers,0.6790983268519428
greegr,TH,0.39801272750935096,0.40471485886757674,0.4888629793041794,nonbreeding,0.2092409528130513,0.0135666161888119,0.0198106370398138,154.0,20.92409528130513,0.16598419957051153,fairly_common,16.598419957051153,,peak_abundance_with_occupancy_days_modifiers,0.2092409528130513
baywea1,TH,0.3979032559008745,0.4887,0.4887,resident,0.2934,0.0565,0.0429,365.0,29.34,0.1659385463638356,fairly_common,16.593854636383558,,peak_abundance_with_occupancy_days_modifiers,0.2934
integr1,TH,0.39737274229264496,0.36187348143682246,0.4879104338477412,nonbreeding,0.2382365547610518,0.0610330203847959,0.0955052908535374,105.0,23.82365547610518,0.16571730500511245,fairly_common,16.571730500511244,,peak_abundance_with_occupancy_days_modifiers,0.2382365547610518
whiter,TH,0.38636292397450755,0.27032393396657656,0.4716186596031179,nonbreeding,0.0815440375831214,0.0196675831572846,0.0348352433524056,126.0,8.15440375831214,0.16112585414275313,fairly_common,16.112585414275312,,peak_abundance_with_occupancy_days_modifiers,0.0815440375831214
whiter2,TH,0.38636292397450755,0.27032393396657656,0.4716186596031179,nonbreeding,0.0815440375831214,0.0196675831572846,0.0348352433524056,126.0,8.15440375831214,0.16112585414275313,fairly_common,16.112585414275312,,peak_abundance_with_occupancy_days_modifiers,0.0815440375831214
comred1,TH,0.37984153102187734,0.1850869892088868,0.4620528810493928,nonbreeding,0.065995520798112,0.0080073611035629,0.0319274400427019,168.0,6.5995520798111995,0.1584062220443006,fairly_common,15.84062220443006,,peak_abundance_with_occupancy_days_modifiers,0.065995520798112
comred,TH,0.37984153102187734,0.1850869892088868,0.4620528810493928,nonbreeding,0.065995520798112,0.0080073611035629,0.0319274400427019,168.0,6.5995520798111995,0.1584062220443006,fairly_common,15.84062220443006,,peak_abundance_with_occupancy_days_modifiers,0.065995520798112
scbflo1,TH,0.37475150948969027,0.4546299079764317,0.4546299079764317,resident,0.729923047851955,0.3077507808567961,0.4064726354697344,365.0,72.9923047851955,0.1562835181923317,common,15.628351819233169,,peak_abundance_with_occupancy_days_modifiers,0.729923047851955
dantai1,TH,0.36132287819231285,0.4352267895065306,0.4352267895065306,resident,0.6678537681961922,0.2436014561099529,0.2750315349749804,365.0,66.78537681961923,0.15068334396883185,common,15.068334396883184,,peak_abundance_with_occupancy_days_modifiers,0.6678537681961922
bnhgul1,TH,0.34948048358811595,0.29863905132382124,0.4183305111802841,nonbreeding,0.0431994741383851,0.0425546140882863,0.0868461489759819,91.0,4.319947413838509,0.14574468182685402,rare,14.574468182685402,rare,peak_abundance_with_occupancy_days_modifiers,0.0431994741383851
rensti,TH,0.3460009200843033,0.20735676982512707,0.4134039162678364,nonbreeding,0.059417849466372,0.1557510211935306,0.1550242735531843,147.0,5.9417849466372,0.14429359113774654,fairly_common,14.429359113774654,,peak_abundance_with_occupancy_days_modifiers,0.059417849466372
gyfbuz1,TH,0.33740936107433916,0.14483799438269138,0.40131258916802,postbreeding_migration,0.8126386026427032,0.2582482003076606,0.180364048177073,91.0,81.26386026427032,0.1407106327377587,fairly_common,14.071063273775868,,peak_abundance_with_occupancy_days_modifiers,0.8126386026427032
