species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
yebcho1,TJ,0.7961549306341744,1.217,1.217,resident,0.6429,0.0783,0.0712,365.0,64.29,0.3320223946665747,common,33.20223946665747,,peak_abundance_with_occupancy_days_modifiers,0.6429
rebcho1,TJ,0.7806084563299399,1.1828,1.1828,resident,0.715,0.0203,0.0228,365.0,71.5,0.32553901130926416,common,32.55390113092641,,peak_abundance_with_occupancy_days_modifiers,0.715
comcha,TJ,0.7753721208156147,0.8679,1.1714,postbreeding_migration,0.9641,0.0119,0.004,77.0,96.41,0.32335528978742545,common,32.335528978742545,,peak_abundance_with_occupancy_days_modifiers,0.9641
mallar3,TJ,0.5862855387758519,0.501275,0.7973,nonbreeding,0.212,0.003,0.0008,126.0,21.2,0.24450006029314617,fairly_common,24.450006029314615,,peak_abundance_with_occupancy_days_modifiers,0.212
eubeat1,TJ,0.548352595656712,0.3916,0.7304,postbreeding_migration,0.4464,0.0064,0.004,70.0,44.64,0.22868079431041136,fairly_common,22.868079431041135,,peak_abundance_with_occupancy_days_modifiers,0.4464
comswi,TJ,0.5434283323100031,0.35836666666666667,0.7219,breeding,0.9601,0.008,0.0043,84.0,96.00999999999999,0.2266272169909306,fairly_common,22.662721699093062,,peak_abundance_with_occupancy_days_modifiers,0.9601
chukar,TJ,0.5192698705486536,0.6808,0.6808,resident,0.822,0.0279,0.0273,365.0,82.19999999999999,0.21655235590946384,common,21.655235590946383,,peak_abundance_with_occupancy_days_modifiers,0.822
horlar,TJ,0.49913758397079955,0.35646666666666665,0.6473,postbreeding_migration,0.6464,,,,64.64,0.2081565402930631,fairly_common,20.81565402930631,,peak_abundance_with_occupancy_days_modifiers,0.6464
carcro1,TJ,0.4073300347176768,0.359225,0.5028,postbreeding_migration,0.5258,0.0236,0.0081,105.0,52.580000000000005,0.16986981847723404,fairly_common,16.986981847723403,,peak_abundance_with_occupancy_days_modifiers,0.5258
comhom1,TJ,0.4056249670039194,0.26880603022057425,0.5002398075108038,prebreeding_migration,0.6474119011406407,0.0096120770297936,0.0132225988392321,42.0,64.74119011406407,0.16915875001102548,fairly_common,16.91587500110255,,peak_abundance_with_occupancy_days_modifiers,0.6474119011406407
brambl,TJ,0.40479821912046066,0.2588333333333333,0.499,postbreeding_migration,0.887,0.0041,0.0005,56.0,88.7,0.16881396936408177,fairly_common,16.881396936408176,,peak_abundance_with_occupancy_days_modifiers,0.887
whiwag,TJ,0.40031855395528526,0.2787,0.4923,postbreeding_migration,0.9995,0.0036,0.0021,112.0,99.95,0.16694580388746877,fairly_common,16.69458038874688,,peak_abundance_with_occupancy_days_modifiers,0.9995
rook1,TJ,0.396760667478018,0.30915,0.487,nonbreeding,0.164,0.0025,0.0023,210.0,16.400000000000002,0.16546204998143807,fairly_common,16.546204998143807,,peak_abundance_with_occupancy_days_modifiers,0.164
eurmag1,TJ,0.38879357382019236,0.4752,0.4752,resident,0.7835,0.0066,0.0051,365.0,78.35,0.16213951386061407,common,16.213951386061407,,peak_abundance_with_occupancy_days_modifiers,0.7835
barswa,TJ,0.38797979376714486,0.26095,0.474,breeding,0.3054,0.0008,0.001,154.0,30.54,0.1618001412189983,fairly_common,16.18001412189983,,peak_abundance_with_occupancy_days_modifiers,0.3054
comros,TJ,0.386214328516027,0.278975,0.4714,breeding,0.8291,0.006,0.0123,126.0,82.91,0.16106388502334823,fairly_common,16.106388502334823,,peak_abundance_with_occupancy_days_modifiers,0.8291
blared1,TJ,0.3762422494312611,0.3021333333333333,0.4568,postbreeding_migration,0.8891,0.0135,0.0209,119.0,88.91,0.15690520503515656,fairly_common,15.690520503515657,,peak_abundance_with_occupancy_days_modifiers,0.8891
eursta,TJ,0.35879269990973367,0.39544999999999997,0.4316,nonbreeding,0.1705,0.0023,0.0005,140.0,17.05,0.1496281776689182,fairly_common,14.96281776689182,,peak_abundance_with_occupancy_days_modifiers,0.1705
eurcoo,TJ,0.3531186277359552,0.2699,0.4235,nonbreeding,0.0497,0.001,0.0013,154.0,4.97,0.14726190578117357,rare,14.726190578117357,rare,peak_abundance_with_occupancy_days_modifiers,0.0497
rocpig,TJ,0.33668649937959433,0.4003,0.4003,resident,0.1349,0.0011,0.0011,365.0,13.489999999999998,0.14040917599653027,fairly_common,14.040917599653028,,peak_abundance_with_occupancy_days_modifiers,0.1349
