species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grcter1,TL,1.279154485561987,0.946,2.5936,postbreeding_migration,0.0716,0.0041,0.0094,147.0,7.16,0.533448854114967,common,53.3448854114967,,peak_abundance_with_occupancy_days_modifiers,0.0716
roster,TL,1.2140221401789375,1.18575,2.367,postbreeding_migration,0.0666,,,,6.660000000000001,0.5062865563608039,common,50.62865563608039,,peak_abundance_with_occupancy_days_modifiers,0.0666
nutman,TL,0.8194273464702752,1.2692,1.2692,resident,0.6026,0.0024,0.0039,365.0,60.260000000000005,0.34172774589692323,common,34.172774589692324,,peak_abundance_with_occupancy_days_modifiers,0.6026
zebfin2,TL,0.738770217644381,1.0933595542400083,1.0933595542400083,resident,0.8496841372445658,0.0027428423236346,0.00024273885014433063,365.0,84.96841372445658,0.3080911105772471,common,30.80911105772471,,peak_abundance_with_occupancy_days_modifiers,0.8496841372445658
piebus1,TL,0.6424326660154439,0.81945,0.9011,nonbreeding,0.9304,0.0045,0.0108,126.0,93.04,0.2679152310374747,fairly_common,26.791523103747473,,peak_abundance_with_occupancy_days_modifiers,0.9304
rabeat1,TL,0.5750390920796163,0.5809,0.7772,nonbreeding,0.8982,0.0048,0.0058,154.0,89.82,0.2398099277323898,fairly_common,23.98099277323898,,peak_abundance_with_occupancy_days_modifiers,0.8982
brohon1,TL,0.5618418797819551,0.7539,0.7539,resident,0.9284,0.0029,0.0038,365.0,92.84,0.23430626272776264,common,23.430626272776266,,peak_abundance_with_occupancy_days_modifiers,0.9284
warwhe1,TL,0.490296332513498,0.6328,0.6328,breeding,0.699,0.0216,0.0188,217.0,69.89999999999999,0.2044694520546415,common,20.44694520546415,,peak_abundance_with_occupancy_days_modifiers,0.699
redava,TL,0.4147853342622507,0.5140456920694211,0.5140456920694211,resident,0.8625827600598559,0.0081048216173717,0.0085348070682691,365.0,86.25827600598559,0.1729789198750918,common,17.297891987509182,,peak_abundance_with_occupancy_days_modifiers,0.8625827600598559
oripip1,TL,0.39096042190528263,0.4784,0.4784,resident,0.7374,0.0039,0.0054,365.0,73.74000000000001,0.1630431596993923,common,16.30431596993923,,peak_abundance_with_occupancy_days_modifiers,0.7374
rcfdov1,TL,0.3813329455953281,0.45880039834549574,0.4642350348668644,nonbreeding,0.9373001186584894,0.0984025902393894,0.233091950983947,126.0,93.73001186584894,0.1590281902304717,fairly_common,15.90281902304717,,peak_abundance_with_occupancy_days_modifiers,0.9373001186584894
spodov,TL,0.3484008074864867,0.4168,0.4168,resident,0.6438,0.0017,0.0008,365.0,64.38000000000001,0.14529442192022804,common,14.529442192022804,,peak_abundance_with_occupancy_days_modifiers,0.6438
lotshr1,TL,0.2547197347489539,0.1925,0.2901,nonbreeding,0.9148,0.0025,0.0024,119.0,91.47999999999999,0.10622638012530593,fairly_common,10.622638012530592,,peak_abundance_with_occupancy_days_modifiers,0.9148
categr2,TL,0.2522142056280298,0.13023157017845274,0.2868716629162547,breeding,0.102783640079008,0.00029973618815426196,0.0001884826978370461,126.0,10.2783640079008,0.10518149332422386,fairly_common,10.518149332422386,,peak_abundance_with_occupancy_days_modifiers,0.102783640079008
colkin1,TL,0.23547171820505527,0.2655055899814942,0.2655055899814942,resident,0.9393901147032064,0.0187889727036208,0.0064874298505902,365.0,93.93901147032065,0.09819933375583043,common,9.819933375583043,,peak_abundance_with_occupancy_days_modifiers,0.9393901147032064
lescou1,TL,0.2283300780015098,0.2565,0.2565,resident,0.8271,0.0081,0.0202,365.0,82.71,0.09522103846305431,common,9.52210384630543,,peak_abundance_with_occupancy_days_modifiers,0.8271
eutspa,TL,0.22434283188969184,0.2515,0.2515,resident,0.1468,0.0002,0.0001,365.0,14.680000000000001,0.09355822768184588,fairly_common,9.355822768184588,,peak_abundance_with_occupancy_days_modifiers,0.1468
