species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,TM,1.6018442898085967,3.1264434612056013,3.96217568043238,breeding,0.9723394172809342,0.0201760749615038,0.0265129670567024,112.0,97.23394172809343,0.6680209548681525,common,66.80209548681525,,peak_abundance_with_occupancy_days_modifiers,0.9723394172809342
crelar1,TM,1.5560108401130344,3.4032935990186344,3.739875360523415,breeding,0.9977565909453732,0.045308545512451,0.0753347452417422,161.0,99.77565909453732,0.6489069217343892,common,64.89069217343892,,peak_abundance_with_occupancy_days_modifiers,0.9977565909453732
mallar3,TM,1.4165317726377082,1.738303190628586,3.122796819084603,nonbreeding,0.110042074870976,0.0218172398673193,0.0218296286943447,133.0,11.0042074870976,0.5907396326715303,common,59.073963267153026,,peak_abundance_with_occupancy_days_modifiers,0.110042074870976
eursta,TM,1.401161317915175,1.6616772697112634,3.059912078816227,postbreeding_migration,0.4026261260876196,0.0182928384995143,0.0060251475705474,126.0,40.26261260876196,0.584329655181314,common,58.4329655181314,,peak_abundance_with_occupancy_days_modifiers,0.4026261260876196
callar1,TM,1.271134758580366,0.8828829846571088,2.564895563835542,postbreeding_migration,0.4375842689127078,0.0914533772051491,0.0861037587415053,56.0,43.75842689127078,0.530104368193252,common,53.0104368193252,,peak_abundance_with_occupancy_days_modifiers,0.4375842689127078
norlap,TM,1.1415345506135839,1.3083261886630013,2.1315702329117143,nonbreeding,0.2578245652063007,0.0593032325005001,0.0360809945034584,112.0,25.78245652063007,0.47605688353578524,common,47.60568835357852,,peak_abundance_with_occupancy_days_modifiers,0.2578245652063007
bkwsti,TM,1.0830716681558352,0.9555938473966104,1.9537385354458583,breeding,0.8024551945294915,0.0493074584412674,0.0647022446973073,105.0,80.24551945294915,0.4516759678548756,common,45.16759678548756,,peak_abundance_with_occupancy_days_modifiers,0.8024551945294915
comshe,TM,1.0800748606696515,0.5963,1.9449,nonbreeding,0.6073,,,,60.73,0.45042620206227435,common,45.04262020622743,,peak_abundance_with_occupancy_days_modifiers,0.6073
grefla3,TM,1.0719444923945376,1.576920528113094,1.92105394841486,nonbreeding,0.0769424981843557,0.0460790505993223,0.0360849527860559,112.0,7.694249818435569,0.44703557513734377,common,44.703557513734374,,peak_abundance_with_occupancy_days_modifiers,0.0769424981843557
gnwtea,TM,1.0536742408644348,1.5069977196426427,1.8681701294342408,postbreeding_migration,0.1729748600708621,0.0146205283659469,0.0305568254828048,119.0,17.29748600708621,0.43941628844982256,common,43.941628844982255,,peak_abundance_with_occupancy_days_modifiers,0.1729748600708621
grecor,TM,1.0145562820160061,0.6266740552263175,1.7581392898118455,nonbreeding,0.0689908729855092,0.0173231897839288,0.0397800564611113,133.0,6.89908729855092,0.42310283252362707,common,42.31028325236271,,peak_abundance_with_occupancy_days_modifiers,0.0689908729855092
banswa,TM,0.9312249338801282,0.9492385985786495,1.5376156860242791,prebreeding_migration,0.7400408032937416,0.0307030445730405,0.0473879529723322,77.0,74.00408032937416,0.38835096112991546,common,38.83509611299154,,peak_abundance_with_occupancy_days_modifiers,0.7400408032937416
whiter2,TM,0.922939743008879,0.7428291980244692,1.516677912205531,breeding,0.1173518554766278,0.0282495216900518,0.1132311462011876,105.0,11.73518554766278,0.3848957681674722,common,38.48957681674722,,peak_abundance_with_occupancy_days_modifiers,0.1173518554766278
whiter,TM,0.922939743008879,0.7428291980244692,1.516677912205531,breeding,0.1173518554766278,0.0282495216900518,0.1132311462011876,105.0,11.73518554766278,0.3848957681674722,common,38.48957681674722,,peak_abundance_with_occupancy_days_modifiers,0.1173518554766278
spaspa1,TM,0.904096685773449,1.20395,1.4697,nonbreeding,0.9597,,,,95.97,0.3770376029468368,common,37.70376029468368,,peak_abundance_with_occupancy_days_modifiers,0.9597
comcra,TM,0.9014896185205924,1.4632697117447029,1.4632697117447029,prebreeding_migration,0.904966797081578,0.0580033416574689,0.0229072785520901,35.0,90.4966797081578,0.3759503714557741,common,37.59503714557741,,peak_abundance_with_occupancy_days_modifiers,0.904966797081578
