species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
grefla3,TN,2.4656059427849675,5.803060359959332,10.77061230913193,postbreeding_migration,0.0613418320898825,0.0100325810825869,0.0283284262555375,133.0,6.13418320898825,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0613418320898825
spaspa1,TN,1.6635093442218276,4.1918500000000005,4.2778,breeding,0.9747,,,,97.47,0.6937372799774085,common,69.37372799774086,,peak_abundance_with_occupancy_days_modifiers,0.9747
bkhgul,TN,1.5485955710270856,1.7811993247073596,3.7048579016875767,nonbreeding,0.0841916832177891,0.0028611636641534,0.0040982161282691,91.0,8.41916832177891,0.6458145143344217,common,64.58145143344217,,peak_abundance_with_occupancy_days_modifiers,0.0841916832177891
barswa,TN,1.4741246349700243,1.9383928485344442,3.3672111952643533,postbreeding_migration,0.6727869008630518,0.0018376897055562,0.0018285152241139,112.0,67.27869008630518,0.6147577217789433,common,61.47577217789433,,peak_abundance_with_occupancy_days_modifiers,0.6727869008630518
whisto1,TN,1.3942723027829629,1.3384629203399916,3.032039400952539,breeding,0.6624907488668101,0.0240557265506209,0.0245430524171255,84.0,66.24907488668102,0.5814567127261698,common,58.14567127261698,,peak_abundance_with_occupancy_days_modifiers,0.6624907488668101
eursta,TN,1.3067748668330428,1.5855388658239062,2.6942400625969998,prebreeding_migration,0.0658465634250258,0.0001672718476333607,0.0003390068331888127,14.0,6.58465634250258,0.5449674477684848,rare,54.49674477684848,rare,peak_abundance_with_occupancy_days_modifiers,0.0658465634250258
norsho,TN,1.2686805321939196,1.3648837111927623,2.5561572303881914,nonbreeding,0.0474447150269929,0.0014031149151115,0.0055183336828782,56.0,4.74447150269929,0.5290808762942159,rare,52.90808762942159,rare,peak_abundance_with_occupancy_days_modifiers,0.0474447150269929
categr1,TN,1.2676352725805995,1.6666917406367632,2.552442064851152,postbreeding_migration,0.4880128101104524,0.0030865813624463,0.0063478484802372,140.0,48.80128101104524,0.5286449691780137,common,52.864496917801375,,peak_abundance_with_occupancy_days_modifiers,0.4880128101104524
eubeat1,TN,1.2559339389631388,1.9313387011904026,2.511116011595102,prebreeding_migration,0.7394459016438343,0.0069175293253344,0.0141719252415971,63.0,73.94459016438343,0.5237651340366711,common,52.37651340366711,,peak_abundance_with_occupancy_days_modifiers,0.7394459016438343
yelgul1,TN,1.2295240197293968,2.0798979331276755,2.4196014860198365,nonbreeding,0.1106833005721809,0.0162576533712896,0.0235115193774991,133.0,11.06833005721809,0.5127513422613026,common,51.27513422613026,,peak_abundance_with_occupancy_days_modifiers,0.1106833005721809
eurcoo,TN,1.061744370364875,1.0805419217506882,1.891410283203364,nonbreeding,0.095065753170896,0.0020705053874533,0.0037231561321215,126.0,9.506575317089599,0.4427817938544945,common,44.27817938544945,,peak_abundance_with_occupancy_days_modifiers,0.095065753170896
