species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rocpig,TO,1.03110330881118,1.8041579807975463,1.8041579807975463,resident,0.7142857142857143,4.514150960430759e-05,2.239452627626524e-05,365.0,71.42857142857143,0.4300034786789796,common,43.00034786789796,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
pacswa1,TO,0.6796677557283116,0.9732220315933228,0.9732220315933228,resident,0.54,0.0003041550965692432,0.00032359299690170587,365.0,54.0,0.2834434695453283,common,28.344346954532828,,peak_abundance_with_occupancy_days_modifiers,0.54
commyn,TO,0.6705752866671617,0.9553618907550538,0.9553618907550538,resident,0.3405797101449275,7.775573779441714e-05,6.213201786307072e-05,365.0,34.05797101449275,0.2796516154288059,fairly_common,27.96516154288059,,peak_abundance_with_occupancy_days_modifiers,0.3405797101449275
pagplo,TO,0.6619116207212726,0.397801671798964,0.9384944609233312,prebreeding_migration,0.2857142857142857,0.00041251289102784463,0.00029727606726276406,56.0,28.57142857142857,0.27603858610089105,fairly_common,27.603858610089105,,peak_abundance_with_occupancy_days_modifiers,0.2857142857142857
revbul,TO,0.5840319972237522,0.7932542700908103,0.7932542700908103,resident,0.3154761904761904,0.00011912575184083,7.346222866162885e-05,365.0,31.54761904761904,0.24356026047050014,fairly_common,24.356026047050015,,peak_abundance_with_occupancy_days_modifiers,0.3154761904761904
pabduc1,TO,0.5232998991881664,0.6875873395374843,0.6875873395374843,resident,0.7142857142857143,0.0006422277596526832,0.00028656507673313424,365.0,71.42857142857143,0.21823300839050805,common,21.823300839050805,,peak_abundance_with_occupancy_days_modifiers,0.7142857142857143
wantat1,TO,0.46307126475275245,0.37542697799019054,0.5889465742660642,postbreeding_migration,0.2654028436018957,0.0127060439560439,0.0921706405346415,189.0,26.54028436018957,0.19311571693969068,fairly_common,19.311571693969068,,peak_abundance_with_occupancy_days_modifiers,0.2654028436018957
pacreh1,TO,0.25024858028643043,0.2843446397682443,0.2843446397682443,resident,0.4107883817427386,0.001916636013397,0.0028413851131013,365.0,41.078838174273855,0.1043617638873726,fairly_common,10.43617638873726,,peak_abundance_with_occupancy_days_modifiers,0.4107883817427386
bubrai1,TO,0.1974113819646317,0.2182451016984539,0.2182451016984539,resident,0.4190871369294606,0.0014596641327282,0.0102700770878627,365.0,41.90871369294606,0.0823269407150757,fairly_common,8.23269407150757,,peak_abundance_with_occupancy_days_modifiers,0.4190871369294606
sooshe,TO,0.023935662655879743,0.0242244198918342,0.0242244198918342,nonbreeding,0.2571428571428571,6.791232970983325e-06,3.6751813774610016e-08,7.0,25.71428571428571,0.009981946637705562,very_rare,0.9981946637705562,very_rare,peak_abundance_with_occupancy_days_modifiers,0.2571428571428571
grcter1,TO,0.014596371720385972,0.0147034189536828,0.0147034189536828,breeding,0.1647727272727272,0.0003120091235771308,6.007388416373136e-06,14.0,16.47727272727272,0.006087159804669788,rare,0.6087159804669788,,peak_abundance_with_occupancy_days_modifiers,0.1647727272727272
