species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,TR,4.115237215225743,22.12085066048288,60.26674594408544,nonbreeding,0.3529152798628944,0.0412234458011824,0.1769074530698763,126.0,35.29152798628944,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3529152798628944
comcha,TR,2.2818523626094867,4.39827988127209,8.79480715022966,nonbreeding,0.948668984343725,0.1111961820438369,0.1779416645658472,112.0,94.8668984343725,0.9516063476561006,abundant,95.16063476561007,,peak_abundance_with_occupancy_days_modifiers,0.948668984343725
eurcoo,TR,1.9482044222433783,2.370501904468844,6.016078349326721,nonbreeding,0.0489543562201018,0.0160265463523451,0.1331906673791676,154.0,4.89543562201018,0.8124643491914482,rare,81.24643491914482,rare,peak_abundance_with_occupancy_days_modifiers,0.0489543562201018
barswa,TR,1.8356106354949298,2.9801880124721407,5.268961027021367,postbreeding_migration,0.7164591811880704,0.0184889131136746,0.0304423560800681,147.0,71.64591811880705,0.7655090930442311,abundant,76.55090930442312,,peak_abundance_with_occupancy_days_modifiers,0.7164591811880704
yelgul1,TR,1.8030626339785436,2.887706636766987,5.068203721302718,nonbreeding,0.1529608201417147,0.1285924884601876,0.1826495079016417,133.0,15.29608201417147,0.7519355221357725,abundant,75.19355221357725,,peak_abundance_with_occupancy_days_modifiers,0.1529608201417147
bkhgul,TR,1.4844135157741742,1.237208476088739,3.4123768643520243,nonbreeding,0.04509952644229,0.033323169153104,0.0820693698436991,161.0,4.509952644229,0.6190485183457771,rare,61.90485183457771,rare,peak_abundance_with_occupancy_days_modifiers,0.04509952644229
eubeat1,TR,1.4529001616091648,1.8173602843523848,3.275496181960075,postbreeding_migration,0.9438379904546712,0.0574800290787915,0.0878934118541816,77.0,94.38379904546711,0.6059064288965439,common,60.59064288965439,,peak_abundance_with_occupancy_days_modifiers,0.9438379904546712
houspa,TR,1.3739693741689094,2.951002618485248,2.951002618485248,resident,0.5176657092965193,0.028305311012977,0.0287598895048045,365.0,51.766570929651934,0.5729897338533353,common,57.29897338533353,,peak_abundance_with_occupancy_days_modifiers,0.5176657092965193
whisto1,TR,1.2208691889542667,1.2408829639891563,2.390133119648492,postbreeding_migration,0.2792798990912914,0.0965121943771865,0.2022118129700107,133.0,27.927989909129142,0.5091419974857778,common,50.91419974857778,,peak_abundance_with_occupancy_days_modifiers,0.2792798990912914
corbun1,TR,1.206685422180061,1.4112139210102752,2.342387667769669,nonbreeding,0.6410750124470047,0.1376083953728334,0.1858641835845607,140.0,64.10750124470047,0.5032269073085269,common,50.32269073085269,,peak_abundance_with_occupancy_days_modifiers,0.6410750124470047
gnwtea,TR,1.1245662359985942,0.8376260622795338,2.078881051463816,nonbreeding,0.0387954579801375,0.013239867458092,0.0512847610787902,154.0,3.8795457980137495,0.46898054671345707,rare,46.898054671345704,rare,peak_abundance_with_occupancy_days_modifiers,0.0387954579801375
rocpig,TR,1.117895147645407,2.0584099222160464,2.0584099222160464,resident,0.3068447178728506,0.0244335617973884,0.0321931295959745,365.0,30.684471787285062,0.466198486784125,common,46.6198486784125,,peak_abundance_with_occupancy_days_modifiers,0.3068447178728506
cowpig1,TR,1.0988700835081686,0.8819472102921875,2.0007734842160128,nonbreeding,0.4348204998356795,0.1227539473651144,0.0542287159411884,112.0,43.48204998356795,0.45826441878997276,common,45.82644187899728,,peak_abundance_with_occupancy_days_modifiers,0.4348204998356795
eurmag1,TR,1.0973310728162524,1.9961588136642865,1.9961588136642865,resident,0.6369099165439495,0.045256671864505,0.0984068222872459,365.0,63.69099165439495,0.4576226014806955,common,45.76226014806955,,peak_abundance_with_occupancy_days_modifiers,0.6369099165439495
comswi,TR,1.0896694679071623,1.1069926175933302,1.973291141983188,prebreeding_migration,0.5289318599027356,0.0453488622552559,0.1371175670862002,98.0,52.89318599027356,0.4544274640633099,common,45.44274640633099,,peak_abundance_with_occupancy_days_modifiers,0.5289318599027356
