species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
blkvul,TT,2.4191065880928058,10.2358166170642,10.2358166170642,resident,0.899135446685879,0.0004657522794991372,0.0034162478230261,365.0,89.9135446685879,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.899135446685879
dickci,TT,3.2836997104277423,19.690134009448354,25.67427747046054,nonbreeding,0.8559077809798271,0.0174480084596404,0.2159403012505682,70.0,85.5907780979827,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8559077809798271
laugul,TT,1.8091293570019595,3.5627423062958368,5.105129729205206,prebreeding_migration,0.2546074044876138,0.0051620391581905,0.0080139048575461,161.0,25.46074044876138,0.7544655421463362,abundant,75.44655421463362,,peak_abundance_with_occupancy_days_modifiers,0.2546074044876138
fotfly,TT,1.5824394551400691,2.28639636626392,3.866813715678461,prebreeding_migration,0.7144719687092569,0.0030827616755857,0.0045547476366349,112.0,71.4471968709257,0.6599285102611443,common,65.99285102611444,,peak_abundance_with_occupancy_days_modifiers,0.7144719687092569
scaibi,TT,1.5647320759914571,3.78139371409759,3.78139371409759,resident,0.1100717319057297,0.0016524373450839,0.0133216385394816,365.0,11.00717319057297,0.6525439595889428,common,65.25439595889428,,peak_abundance_with_occupancy_days_modifiers,0.1100717319057297
orwpar,TT,1.559658003749076,3.757194024380758,3.757194024380758,resident,0.7614080834419817,0.0010932992363754,0.0064923054778067,365.0,76.14080834419818,0.6504279071074432,common,65.04279071074433,,peak_abundance_with_occupancy_days_modifiers,0.7614080834419817
categr1,TT,1.513381074121717,2.622922212627346,3.542061909872916,postbreeding_migration,0.5943912430781482,0.0003967590091263714,0.0007704699278084886,140.0,59.439124307814815,0.6311289284771742,common,63.11289284771742,,peak_abundance_with_occupancy_days_modifiers,0.5943912430781482
magfri,TT,1.498174220500465,2.698325598093666,3.473513959555945,nonbreeding,0.365590119264266,0.0072540739397393,0.0112340495297862,140.0,36.5590119264266,0.6247871779454649,common,62.47871779454649,,peak_abundance_with_occupancy_days_modifiers,0.365590119264266
rugdov,TT,1.3818246181846012,2.982160925996312,2.982160925996312,resident,0.7809647979139505,0.0006997132227108923,0.0016729955396463,365.0,78.09647979139504,0.5762656250504202,common,57.626562505042024,,peak_abundance_with_occupancy_days_modifiers,0.7809647979139505
paltan1,TT,1.2238838770908362,2.400368734587086,2.400368734587086,resident,0.8748370273794003,0.0014829548593844,0.006737743816199,365.0,87.48370273794002,0.5103992200887697,common,51.03992200887697,,peak_abundance_with_occupancy_days_modifiers,0.8748370273794003
gybmar,TT,1.1508809377109148,1.6602250000311636,2.160976306741966,prebreeding_migration,0.8876080691642652,0.0014646754055795,0.0055936408545661,119.0,88.76080691642652,0.4799546296981618,common,47.99546296981618,,peak_abundance_with_occupancy_days_modifiers,0.8876080691642652
banana,TT,1.1481435798027373,2.152335415253078,2.152335415253078,resident,0.7666232073011734,0.001235836743444,0.0126529916352873,365.0,76.66232073011734,0.47881306278353053,common,47.88130627835305,,peak_abundance_with_occupancy_days_modifiers,0.7666232073011734
