species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
barswa,TW,2.9587555444052693,6.78202664908113,18.27397122348025,postbreeding_migration,0.3301845342706502,0.00052274647524322,0.0032772689371226,154.0,33.01845342706502,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3301845342706502
eutspa,TW,2.3405218638549194,9.386655568731998,9.386655568731998,resident,0.3659929701230228,0.0015457599692703,0.0064795630529089,365.0,36.59929701230228,0.9760734300641513,abundant,97.60734300641512,,peak_abundance_with_occupancy_days_modifiers,0.3659929701230228
livbul1,TW,1.7809904205272071,4.359332656496824,4.935732379467317,nonbreeding,0.4518892794376098,0.0133343705230677,0.0286864981334942,112.0,45.18892794376098,0.7427306941761352,common,74.27306941761353,,peak_abundance_with_occupancy_days_modifiers,0.4518892794376098
categr2,TW,1.649197058840983,2.6557502879925656,4.202800606820988,postbreeding_migration,0.3477592267135325,0.0029808717577128,0.0056652726122249,126.0,34.77592267135325,0.6877685933782886,common,68.77685933782885,,peak_abundance_with_occupancy_days_modifiers,0.3477592267135325
whvmyn,TW,1.6426851430139104,4.169030480649111,4.169030480649111,resident,0.341842397336293,0.0776875346819351,0.3400582456904776,365.0,34.184239733629305,0.6850529135481711,common,68.5052913548171,,peak_abundance_with_occupancy_days_modifiers,0.341842397336293
gyfbuz1,TW,1.5885280103830703,1.1018038529509884,3.896535970821765,postbreeding_migration,0.6605887521968365,0.0162892741061755,0.1313577329989018,70.0,66.05887521968366,0.6624676350144517,common,66.24676350144517,,peak_abundance_with_occupancy_days_modifiers,0.6605887521968365
swiwhe1,TW,1.5322822878483087,2.615494485268523,3.62872886796513,nonbreeding,0.5823813708260105,0.0165486846748233,0.0708601516899881,105.0,58.23813708260105,0.6390113468383954,common,63.901134683839544,,peak_abundance_with_occupancy_days_modifiers,0.5823813708260105
blabul1,TW,1.5284030016118968,2.523991370532177,3.610807487332856,nonbreeding,0.567744854105406,0.0114588849728821,0.0436455676191874,70.0,56.7744854105406,0.6373935588222055,common,63.73935588222055,,peak_abundance_with_occupancy_days_modifiers,0.567744854105406
recdov1,TW,1.5007204884540548,3.0209818548257497,3.4849192390778154,postbreeding_migration,0.3066783831282952,0.0042714270090289,0.0453665838240168,140.0,30.66783831282952,0.6258490541593574,common,62.584905415935744,,peak_abundance_with_occupancy_days_modifiers,0.3066783831282952
houswi1,TW,1.1794832678357874,2.2526929974685204,2.2526929974685204,resident,0.6076544315129812,0.0135955292491662,0.0839769437280621,365.0,60.765443151298115,0.4918827278304432,common,49.18827278304432,,peak_abundance_with_occupancy_days_modifiers,0.6076544315129812
gycful1,TW,1.1134708741008004,2.0449085689717816,2.0449085689717816,resident,0.5791938173492802,1.0,1.0,365.0,57.919381734928024,0.46435342140750263,common,46.435342140750265,,peak_abundance_with_occupancy_days_modifiers,0.5791938173492802
dunlin,TW,1.1006462126378118,1.0703130623432109,2.0061079813883342,nonbreeding,0.0669433726579502,0.0032043730267188,0.0062275374625768,168.0,6.69433726579502,0.4590051221683862,common,45.90051221683862,,peak_abundance_with_occupancy_days_modifiers,0.0669433726579502
pacswa1,TW,1.0983983776553596,1.9993583355937383,1.9993583355937383,resident,0.4940058810223931,0.0123013839056893,0.029389915329451,365.0,49.40058810223931,0.4580677021701271,common,45.80677021701271,,peak_abundance_with_occupancy_days_modifiers,0.4940058810223931
nutman,TW,1.0141290506011638,1.7569611777418903,1.7569611777418903,resident,0.3229632945389436,0.0027651465067748,0.0074307926282171,365.0,32.296329453894366,0.4229246631850038,common,42.29246631850038,,peak_abundance_with_occupancy_days_modifiers,0.3229632945389436
norlap,TW,1.010786627545754,0.9049624230748967,1.747761630093234,nonbreeding,0.0856197828615,0.0017468593343194,0.0026241629155283,56.0,8.56197828615,0.42153076450505483,common,42.15307645050548,,peak_abundance_with_occupancy_days_modifiers,0.0856197828615
taiyuh1,TW,1.0053716280684015,1.7329227149204849,1.7329227149204849,resident,0.4455391800601504,1.0,1.0,365.0,44.55391800601504,0.4192725343234534,common,41.92725343234534,,peak_abundance_with_occupancy_days_modifiers,0.4455391800601504
btbeat1,TW,0.9870436212976474,0.8823338327467019,1.6832899134209816,breeding,0.7021276595744681,0.00012210664489098165,0.00029124917192284737,140.0,70.2127659574468,0.4116291618298061,common,41.16291618298061,,peak_abundance_with_occupancy_days_modifiers,0.7021276595744681
grfhaw1,TW,0.9814758449202609,0.8756574721947993,1.668391469317719,postbreeding_migration,0.5681019332161688,0.0144747447608812,0.0327901505200739,56.0,56.81019332161688,0.4093072187322291,common,40.93072187322291,,peak_abundance_with_occupancy_days_modifiers,0.5681019332161688
spodov,TW,0.9705436326781579,1.6393789220404908,1.6393789220404908,resident,0.4094903339191564,0.0028091623300976,0.0043431565089315,365.0,40.94903339191564,0.40474813211734745,common,40.47481321173475,,peak_abundance_with_occupancy_days_modifiers,0.4094903339191564
litegr,TW,0.9508156386930761,1.2196148349042173,1.5878195244899127,postbreeding_migration,0.3607205623901581,0.0028526915607281,0.0041685437605454,119.0,36.07205623901581,0.3965209196077456,common,39.65209196077456,,peak_abundance_with_occupancy_days_modifiers,0.3607205623901581
kenplo1,TW,0.9070822880848441,0.7803156869510214,1.4770845602231013,nonbreeding,0.0769836437321452,0.0029408724901579,0.0185743384153427,98.0,7.6983643732145195,0.3782826958185997,common,37.82826958185997,,peak_abundance_with_occupancy_days_modifiers,0.0769836437321452
grytre1,TW,0.8449778207985711,1.327926182453945,1.327926182453945,resident,0.5806378647364849,0.01752613216629,0.0707533678852274,365.0,58.06378647364849,0.3523831213080763,common,35.23831213080763,,peak_abundance_with_occupancy_days_modifiers,0.5806378647364849
stybul1,TW,0.8448739690946642,1.3276844359064404,1.3276844359064404,resident,0.2082499224650143,1.0,1.0,365.0,20.82499224650143,0.35233981178364254,common,35.23398117836425,,peak_abundance_with_occupancy_days_modifiers,0.2082499224650143
bkwsti,TW,0.8243479182106922,0.931739589229066,1.2803932774714406,nonbreeding,0.0993654698651331,0.0009636349478274412,0.0039286319119018,105.0,9.93654698651331,0.34377978369700396,common,34.377978369700394,,peak_abundance_with_occupancy_days_modifiers,0.0993654698651331
taibar2,TW,0.8120938883900478,1.2526197863814963,1.2526197863814963,resident,0.611852522053834,1.0,1.0,365.0,61.1852522053834,0.33866945633631657,common,33.86694563363166,,peak_abundance_with_occupancy_days_modifiers,0.611852522053834
taiscb1,TW,0.7454027144313888,1.107289900178592,1.107289900178592,resident,0.5573806881243063,1.0,1.0,365.0,55.73806881243063,0.3108570765734465,common,31.085707657344653,,peak_abundance_with_occupancy_days_modifiers,0.5573806881243063
rocpig,TW,0.7350475237865488,1.0855811048611697,1.0855811048611697,resident,0.2414323374340949,0.0009922103811026808,0.0008762616503189591,365.0,24.14323374340949,0.30653862665517506,common,30.653862665517508,,peak_abundance_with_occupancy_days_modifiers,0.2414323374340949
whiter,TW,0.6937736494156085,0.6945868855985423,1.0012533302565216,postbreeding_migration,0.0840289039166144,0.0015315654114906,0.0063694155151389,126.0,8.40289039166144,0.28932608412291794,common,28.932608412291792,,peak_abundance_with_occupancy_days_modifiers,0.0840289039166144
whiter2,TW,0.6937736494156085,0.6945868855985423,1.0012533302565216,postbreeding_migration,0.0840289039166144,0.0015315654114906,0.0063694155151389,126.0,8.40289039166144,0.28932608412291794,common,28.932608412291792,,peak_abundance_with_occupancy_days_modifiers,0.0840289039166144
whesib1,TW,0.6890483391897191,0.9918190948294324,0.9918190948294324,resident,0.5376628286077543,1.0,1.0,365.0,53.766282860775426,0.28735547669919376,common,28.735547669919377,,peak_abundance_with_occupancy_days_modifiers,0.5376628286077543
commyn,TW,0.6821585676353172,0.9781430826868684,0.9781430826868684,resident,0.269700332963374,0.0020100685408556,0.0020766611679724,365.0,26.970033296337398,0.2844822187914948,fairly_common,28.448221879149482,,peak_abundance_with_occupancy_days_modifiers,0.269700332963374
