species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,UA,3.829734277338076,19.899425,45.0503,postbreeding_migration,0.9266,0.0368,0.1048,140.0,92.66,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9266
gwfgoo,UA,2.6352214104468685,10.473933333333333,12.9464,prebreeding_migration,0.4488,0.0586,0.0528,42.0,44.879999999999995,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4488
mallar3,UA,2.16733794358602,5.196275,7.735,nonbreeding,0.1879,0.0198,0.0336,126.0,18.790000000000003,0.9038501256381861,abundant,90.3850125638186,,peak_abundance_with_occupancy_days_modifiers,0.1879
barswa,UA,2.0549182897471385,4.0023333333333335,6.8062,postbreeding_migration,0.9736,0.0106,0.0281,119.0,97.36,0.8569674885546714,abundant,85.69674885546715,,peak_abundance_with_occupancy_days_modifiers,0.9736
fieldf,UA,1.6177234920208732,2.5345,4.0416,postbreeding_migration,0.9706,0.0255,0.0105,91.0,97.06,0.6746430965406474,common,67.46430965406473,,peak_abundance_with_occupancy_days_modifiers,0.9706
comcha,UA,1.589969629238702,1.865325,3.9036,postbreeding_migration,0.9931,0.05,0.0401,112.0,99.31,0.6630688367733382,common,66.30688367733381,,peak_abundance_with_occupancy_days_modifiers,0.9931
norlap,UA,1.4434541638477636,2.2303333333333333,3.2353,postbreeding_migration,0.5328,0.0534,0.0575,133.0,53.28000000000001,0.6019671418607188,common,60.19671418607187,,peak_abundance_with_occupancy_days_modifiers,0.5328
yellow2,UA,1.4056066721522633,1.4491,3.078,nonbreeding,0.9353,0.1022,0.1847,112.0,93.53,0.5861835118895349,common,58.61835118895349,,peak_abundance_with_occupancy_days_modifiers,0.9353
cowpig1,UA,1.3844426477564162,1.533825,2.9926,postbreeding_migration,0.9884,0.0552,0.0456,112.0,98.83999999999999,0.5773574281835737,common,57.73574281835737,,peak_abundance_with_occupancy_days_modifiers,0.9884
rook1,UA,1.3603096641478971,2.09545,2.8974,nonbreeding,0.6757,0.0439,0.0578,217.0,67.57,0.5672931923171107,common,56.729319231711074,,peak_abundance_with_occupancy_days_modifiers,0.6757
eurlin1,UA,1.3391241341434115,1.483975,2.8157,nonbreeding,0.8112,0.0814,0.1401,133.0,81.12,0.5584581400757501,common,55.845814007575015,,peak_abundance_with_occupancy_days_modifiers,0.8112
