species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
lesfla1,UG,3.6064540330335486,25.02306471527048,35.83520454159416,prebreeding_migration,0.1222631005321971,0.0925665395069202,0.1463834357967844,161.0,12.226310053219711,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1222631005321971
whwter,UG,4.53340350846614,41.734213091397024,92.0748034916449,prebreeding_migration,0.1686266343060513,0.0208382809471177,0.5326887582330583,140.0,16.862663430605128,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1686266343060513
barswa,UG,2.030828062746167,3.9769407519688054,6.620393911203951,nonbreeding,0.914741681274016,0.0121343779160588,0.0122153472875531,154.0,91.4741681274016,0.8469210835785033,abundant,84.69210835785033,,peak_abundance_with_occupancy_days_modifiers,0.914741681274016
grefla3,UG,1.7112209682660964,2.713830909976341,4.535716286997445,postbreeding_migration,0.1603830354824895,0.0171016436225541,0.0108171147760505,133.0,16.03830354824895,0.7136345726513245,common,71.36345726513244,,peak_abundance_with_occupancy_days_modifiers,0.1603830354824895
vilwea1,UG,1.4038687730776183,3.0709190023854216,3.0709190023854216,resident,0.8460241781994099,0.0417326649727015,0.0742958622714298,365.0,84.602417819941,0.5854587516823817,common,58.54587516823817,,peak_abundance_with_occupancy_days_modifiers,0.8460241781994099
combul2,UG,1.4022588895434198,3.064370569435928,3.064370569435928,resident,0.9491861640831292,0.0210572857125975,0.0294906740692657,365.0,94.91861640831291,0.5847873781022004,common,58.47873781022004,,peak_abundance_with_occupancy_days_modifiers,0.9491861640831292
spemou2,UG,1.2374815465879572,2.4469216128477824,2.4469216128477824,resident,0.8663357288257258,0.1013810544806254,0.2321369488152417,365.0,86.63357288257258,0.5160698887169506,common,51.60698887169506,,peak_abundance_with_occupancy_days_modifiers,0.8663357288257258
broman1,UG,1.0972175531824002,1.9958187101173763,1.9958187101173763,resident,0.7501832497225243,0.0479819640611429,0.1135183925199726,365.0,75.01832497225243,0.45757526011631644,common,45.75752601163165,,peak_abundance_with_occupancy_days_modifiers,0.7501832497225243
categr1,UG,0.9931256119917273,1.188872248223526,1.6996593867364085,nonbreeding,0.5919887314336113,0.0127713938753662,0.0103367073420184,140.0,59.19887314336113,0.4141655489535782,common,41.41655489535782,,peak_abundance_with_occupancy_days_modifiers,0.5919887314336113
reedov1,UG,0.7934095954348968,1.210921938838287,1.210921938838287,resident,0.9375268200434764,0.0276453698395255,0.0371341359037326,365.0,93.75268200434765,0.33087750096315877,common,33.08775009631588,,peak_abundance_with_occupancy_days_modifiers,0.9375268200434764
lessts1,UG,0.7901160318200353,0.8476855253362059,1.2036521051866935,postbreeding_migration,0.9135028811645411,0.0312244406812218,0.0622658136191832,168.0,91.35028811645411,0.32950397825254524,common,32.95039782525453,,peak_abundance_with_occupancy_days_modifiers,0.9135028811645411
banswa,UG,0.7819430021742141,0.6731730374558452,1.185714991331029,prebreeding_migration,0.6200329050872827,0.0301671098701097,0.0648480309429619,105.0,62.00329050872827,0.3260955601541671,common,32.60955601541671,,peak_abundance_with_occupancy_days_modifiers,0.6200329050872827
litswi1,UG,0.7604319273655417,0.7115,1.1392,breeding,0.9481,0.011,0.0152,84.0,94.81,0.31712474518460054,common,31.712474518460056,,peak_abundance_with_occupancy_days_modifiers,0.9481
