species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
shtshe,US-AK,4.164927597419523,22.879489752133846,63.38802041586311,prebreeding_migration,0.0400702253864513,0.0139184329771501,0.1023681389975217,98.0,4.00702253864513,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.0400702253864513
brant,US-AK,1.7966972582576788,1.3251249999999999,5.0297,postbreeding_migration,0.0332,,,,3.32,0.7492809542765864,rare,74.92809542765863,rare,peak_abundance_with_occupancy_days_modifiers,0.0332
redpol1,US-AK,1.6645347521662452,3.333475686565767,4.283214673699318,postbreeding_migration,0.8635144996269988,0.2021216211969407,0.4107205336859124,112.0,86.35144996269987,0.6941649083046545,common,69.41649083046545,,peak_abundance_with_occupancy_days_modifiers,0.8635144996269988
bklkit,US-AK,1.4018342349736235,1.7689642285824305,3.0626449823154305,breeding,0.0638392080490146,0.0082944328339746,0.0169137770706486,119.0,6.383920804901461,0.584610283391429,common,58.46102833914289,,peak_abundance_with_occupancy_days_modifiers,0.0638392080490146
sancra,US-AK,1.3975804331368582,1.3355333333333332,3.0454,postbreeding_migration,0.4022,0.1015,0.2218,84.0,40.22,0.5828363102387979,common,58.28363102387979,,peak_abundance_with_occupancy_days_modifiers,0.4022
glwgul,US-AK,1.1559058785565497,1.50755,2.1769,postbreeding_migration,0.162,0.649,0.8362,154.0,16.2,0.4820501927957823,common,48.20501927957823,,peak_abundance_with_occupancy_days_modifiers,0.162
norful,US-AK,0.9766297206932177,1.1415829062648941,1.6554913956970982,breeding,0.037131394328145,0.0049485534589594,0.0030239957564018,63.0,3.7131394328145,0.40728622795668634,rare,40.728622795668635,rare,peak_abundance_with_occupancy_days_modifiers,0.037131394328145
glagul,US-AK,0.8556486099045935,0.631775,1.3529,postbreeding_migration,0.3638,0.066,0.0548,98.0,36.38,0.35683318600734465,common,35.68331860073447,,peak_abundance_with_occupancy_days_modifiers,0.3638
thbmur,US-AK,0.8354803855481419,0.636655053640261,1.3059215136308395,breeding,0.0301537538570056,0.0067887448660803,0.0089393920467733,70.0,3.01537538570056,0.34842238317319296,rare,34.8422383173193,rare,peak_abundance_with_occupancy_days_modifiers,0.0301537538570056
norpin,US-AK,0.827240915040644,0.485575,1.287,prebreeding_migration,0.3941,0.0321,0.0767,147.0,39.410000000000004,0.34498625708338154,common,34.49862570833815,,peak_abundance_with_occupancy_days_modifiers,0.3941
comrav,US-AK,0.7719583609842351,1.164,1.164,resident,0.9391,0.0376,0.0557,365.0,93.91000000000001,0.32193164136119706,common,32.193164136119705,,peak_abundance_with_occupancy_days_modifiers,0.9391
whwcro,US-AK,0.7712187159801008,0.684175,1.1624,nonbreeding,0.8024,,,,80.24,0.321623185436318,common,32.1623185436318,,peak_abundance_with_occupancy_days_modifiers,0.8024
