species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-AL,2.6222671603077843,5.13715,12.7669,nonbreeding,0.8618,0.0282,0.0173,126.0,86.18,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8618
comgra,US-AL,2.225866022580641,3.2056750000000003,8.2615,nonbreeding,0.5909,0.0454,0.0395,112.0,59.089999999999996,0.9282582303867799,abundant,92.825823038678,,peak_abundance_with_occupancy_days_modifiers,0.5909
amerob,US-AL,1.9969291201053716,2.59475,6.3664,nonbreeding,0.9926,0.0215,0.042,98.0,99.26,0.8327841264622591,abundant,83.2784126462259,,peak_abundance_with_occupancy_days_modifiers,0.9926
amecro,US-AL,1.464134645238227,2.3224,3.3238,nonbreeding,0.9847,0.0282,0.0351,147.0,98.47,0.6105915724707882,common,61.05915724707882,,peak_abundance_with_occupancy_days_modifiers,0.9847
norcar,US-AL,1.3234078080647,2.7562,2.7562,resident,0.9939,0.0316,0.0468,365.0,99.39,0.5519039230267418,common,55.190392302674184,,peak_abundance_with_occupancy_days_modifiers,0.9939
yerwar,US-AL,1.176652993670973,1.1760666666666666,2.2435,nonbreeding,0.998,0.0278,0.0504,91.0,99.8,0.4907024118271045,common,49.07024118271045,,peak_abundance_with_occupancy_days_modifiers,0.998
eursta,US-AL,1.1606476795875624,1.16975,2.192,nonbreeding,0.3055,0.0034,0.0023,140.0,30.55,0.4840276774194035,common,48.40276774194035,,peak_abundance_with_occupancy_days_modifiers,0.3055
blujay,US-AL,1.1401700124731875,1.47435,2.1273,postbreeding_migration,0.9928,0.0239,0.0334,112.0,99.28,0.4754878269319061,common,47.54878269319061,,peak_abundance_with_occupancy_days_modifiers,0.9928
chispa,US-AL,1.128688756250579,0.9211,2.0916,nonbreeding,0.9758,0.045,0.0644,147.0,97.58,0.4706997711928371,common,47.06997711928371,,peak_abundance_with_occupancy_days_modifiers,0.9758
carwre,US-AL,1.0301549880232022,1.8015,1.8015,resident,0.9934,0.0508,0.0797,365.0,99.33999999999999,0.4296079981929318,common,42.96079981929318,,peak_abundance_with_occupancy_days_modifiers,0.9934
turvul,US-AL,1.0239605789723298,1.3158750000000001,1.7842,nonbreeding,0.991,0.0067,0.0173,126.0,99.1,0.42702472897298654,common,42.702472897298655,,peak_abundance_with_occupancy_days_modifiers,0.991
moudov,US-AL,1.0104365977643843,1.3372,1.7468,breeding,0.9995,0.0216,0.0195,119.0,99.95,0.4213847907482604,common,42.13847907482604,,peak_abundance_with_occupancy_days_modifiers,0.9995
amegfi,US-AL,0.9193659983910831,0.7016500000000001,1.5077,nonbreeding,0.9916,0.0226,0.0291,112.0,99.16,0.38340540090317315,common,38.34054009031732,,peak_abundance_with_occupancy_days_modifiers,0.9916
tuftit,US-AL,0.87983419486354,1.4105,1.4105,resident,0.9799,0.055,0.0677,365.0,97.99,0.3669193583407684,common,36.69193583407684,,peak_abundance_with_occupancy_days_modifiers,0.9799
