species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comgra,US-AR,2.8665514036667266,6.4352,16.5763,nonbreeding,0.5256,0.0412,0.0807,112.0,52.559999999999995,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5256
snogoo,US-AR,5.563991531860534,92.00872500000001,259.862,nonbreeding,0.269,0.0602,0.2698,126.0,26.900000000000002,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.269
gwfgoo,US-AR,2.984630880482817,11.890333333333333,18.7792,nonbreeding,0.26,0.0193,0.0246,42.0,26.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.26
rewbla,US-AR,3.716095708907176,19.055275,40.1036,nonbreeding,0.6047,0.0201,0.0554,126.0,60.47,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6047
mallar3,US-AR,1.8481870605266983,3.086475,5.3483,nonbreeding,0.3363,0.0046,0.0046,126.0,33.629999999999995,0.7707538696507973,abundant,77.07538696507973,,peak_abundance_with_occupancy_days_modifiers,0.3363
norpin,US-AR,1.7575647711408868,2.057525,4.7983,nonbreeding,0.2341,0.0084,0.0369,147.0,23.41,0.7329614395918922,common,73.29614395918922,,peak_abundance_with_occupancy_days_modifiers,0.2341
eursta,US-AR,1.713581688164031,2.789125,4.5488,nonbreeding,0.4543,0.0052,0.0049,140.0,45.43,0.7146190693158428,common,71.46190693158428,,peak_abundance_with_occupancy_days_modifiers,0.4543
amecro,US-AR,1.644090515333523,2.80945,4.1763,nonbreeding,0.9977,0.0291,0.045,147.0,99.77000000000001,0.6856389993274605,common,68.56389993274605,,peak_abundance_with_occupancy_days_modifiers,0.9977
daejun,US-AR,1.5615493417071267,1.9503666666666668,3.7662,nonbreeding,0.7678,0.0167,0.0287,84.0,76.78,0.6512166562990805,common,65.12166562990805,,peak_abundance_with_occupancy_days_modifiers,0.7678
norsho,US-AR,1.4617960045196678,1.7711249999999998,3.3137,nonbreeding,0.2577,0.009,0.0216,147.0,25.77,0.6096162835392455,common,60.961628353924546,,peak_abundance_with_occupancy_days_modifiers,0.2577
bnhcow,US-AR,1.432151657204685,2.3385749999999996,3.1877,nonbreeding,0.3023,0.0177,0.0464,147.0,30.23,0.5972536304862672,common,59.725363048626726,,peak_abundance_with_occupancy_days_modifiers,0.3023
amerob,US-AR,1.4170417770685495,1.8455000000000001,3.1249,nonbreeding,0.9254,0.0204,0.021,98.0,92.54,0.5909523210389609,common,59.09523210389609,,peak_abundance_with_occupancy_days_modifiers,0.9254
whtspa,US-AR,1.399037817267253,1.7254666666666667,3.0513,nonbreeding,0.9445,0.0497,0.1059,98.0,94.45,0.5834440866279201,common,58.34440866279201,,peak_abundance_with_occupancy_days_modifiers,0.9445
indbun,US-AR,1.248955730152414,1.4453666666666667,2.4867,breeding,0.997,0.0335,0.0912,105.0,99.7,0.5208549949284769,common,52.08549949284769,,peak_abundance_with_occupancy_days_modifiers,0.997
gadwal,US-AR,1.2175502127396234,1.2158499999999999,2.3789,nonbreeding,0.2907,0.0094,0.0293,140.0,29.07,0.507757876897905,common,50.7757876897905,,peak_abundance_with_occupancy_days_modifiers,0.2907
norcar,US-AR,1.2098554674840916,2.353,2.353,resident,1.0,0.0324,0.0407,365.0,100.0,0.5045489188825901,common,50.45489188825901,,peak_abundance_with_occupancy_days_modifiers,1.0
turvul,US-AR,1.1721724917761382,1.690225,2.229,postbreeding_migration,0.9507,0.0063,0.0166,126.0,95.07,0.4888338974071206,common,48.883389740712055,,peak_abundance_with_occupancy_days_modifiers,0.9507
blujay,US-AR,1.1105737970673533,1.4055,2.0361,postbreeding_migration,1.0,0.024,0.0341,112.0,100.0,0.46314524644410393,common,46.31452464441039,,peak_abundance_with_occupancy_days_modifiers,1.0
killde,US-AR,1.0800748606696515,1.2929000000000002,1.9449,nonbreeding,0.4012,0.0252,0.0995,161.0,40.12,0.45042620206227435,common,45.04262020622743,,peak_abundance_with_occupancy_days_modifiers,0.4012
moudov,US-AR,0.9874572393019472,1.3029,1.6844,breeding,1.0,0.0213,0.0197,119.0,100.0,0.4118016539352753,common,41.18016539352753,,peak_abundance_with_occupancy_days_modifiers,1.0
gnwtea,US-AR,0.9821908256508585,1.3545333333333334,1.6703,nonbreeding,0.2425,0.004,0.0052,112.0,24.25,0.40960538885613246,common,40.960538885613246,,peak_abundance_with_occupancy_days_modifiers,0.2425
amgplo,US-AR,0.9697177482570075,0.8207,1.6372,prebreeding_migration,0.208,0.0096,0.1231,119.0,20.8,0.40440371156215504,common,40.440371156215505,,peak_abundance_with_occupancy_days_modifiers,0.208
greegr,US-AR,0.9556268229865282,0.754875,1.6003,breeding,0.4039,0.0018,0.0152,133.0,40.39,0.39852733929922673,common,39.85273392992267,,peak_abundance_with_occupancy_days_modifiers,0.4039
amegfi,US-AR,0.9140081287166029,0.8903,1.4943,nonbreeding,0.8706,0.0203,0.0294,112.0,87.06,0.3811709956998852,common,38.117099569988525,,peak_abundance_with_occupancy_days_modifiers,0.8706
categr1,US-AR,0.9124799919448636,1.037198731199574,1.4904912793144949,postbreeding_migration,0.3333713546096513,0.0052175435519841,0.0080315846595283,140.0,33.33713546096513,0.3805337131675434,common,38.053371316754344,,peak_abundance_with_occupancy_days_modifiers,0.3333713546096513
ribgul,US-AR,0.8428164050786505,0.5141249999999999,1.3229,nonbreeding,0.0868,0.0259,0.0307,98.0,8.68,0.35148174094153584,common,35.14817409415358,,peak_abundance_with_occupancy_days_modifiers,0.0868
carchi,US-AR,0.83330035074335,1.3009,1.3009,resident,0.8849,0.0601,0.0678,365.0,88.49000000000001,0.34751323804516243,common,34.75132380451625,,peak_abundance_with_occupancy_days_modifiers,0.8849
pecsan,US-AR,0.8310813666492594,0.6631333333333334,1.2958,prebreeding_migration,0.2357,0.0076,0.0825,140.0,23.57,0.34658784980187146,common,34.65878498018714,,peak_abundance_with_occupancy_days_modifiers,0.2357
savspa,US-AR,0.829817391934811,0.6953666666666667,1.2929,nonbreeding,0.4297,0.0209,0.058,105.0,42.970000000000006,0.34606073140400534,common,34.60607314040053,,peak_abundance_with_occupancy_days_modifiers,0.4297
tuftit,US-AR,0.8168239252535431,1.2633,1.2633,resident,0.8703,0.0498,0.0618,365.0,87.03,0.3406420349210249,common,34.06420349210249,,peak_abundance_with_occupancy_days_modifiers,0.8703
purmar,US-AR,0.7842211274593168,0.4884,1.1907,postbreeding_migration,0.7497,0.0396,0.029,98.0,74.97,0.32704561218977757,common,32.70456121897776,,peak_abundance_with_occupancy_days_modifiers,0.7497
leasan,US-AR,0.752924384595806,0.3667,1.1232,postbreeding_migration,0.2283,0.0223,0.0434,168.0,22.830000000000002,0.3139938566696179,common,31.399385666961788,,peak_abundance_with_occupancy_days_modifiers,0.2283
cliswa,US-AR,0.748723788448686,0.5856333333333333,1.1143,breeding,0.4834,0.012,0.0145,105.0,48.339999999999996,0.312242072012977,common,31.2242072012977,,peak_abundance_with_occupancy_days_modifiers,0.4834
cedwax,US-AR,0.7479194164069248,0.455525,1.1126,nonbreeding,0.7452,0.027,0.029,119.0,74.52,0.31190662281680653,common,31.190662281680652,,peak_abundance_with_occupancy_days_modifiers,0.7452
carwre,US-AR,0.7437452333230367,1.1038,1.1038,resident,0.9974,0.052,0.0498,365.0,99.74,0.31016585326308993,common,31.01658532630899,,peak_abundance_with_occupancy_days_modifiers,0.9974
sonspa,US-AR,0.7388373064770609,0.41127499999999995,1.0935,nonbreeding,0.9972,0.0259,0.0364,98.0,99.72,0.30811908879357747,common,30.81190887935775,,peak_abundance_with_occupancy_days_modifiers,0.9972
y00475,US-AR,0.7034934726140896,0.38675,1.0208,prebreeding_migration,0.2312,0.0154,0.0207,112.0,23.119999999999997,0.2933795652356013,common,29.337956523560134,,peak_abundance_with_occupancy_days_modifiers,0.2312
doccor,US-AR,0.6916460544336782,0.46495,0.997,nonbreeding,0.0663,0.0219,0.038,147.0,6.63,0.28843880809962125,fairly_common,28.843880809962126,,peak_abundance_with_occupancy_days_modifiers,0.0663
buwtea,US-AR,0.6818839882812346,0.4454,0.9776,postbreeding_migration,0.2687,0.0101,0.0274,161.0,26.87,0.284367710306826,fairly_common,28.4367710306826,,peak_abundance_with_occupancy_days_modifiers,0.2687
lesyel,US-AR,0.6760010217249748,0.29112499999999997,0.966,prebreeding_migration,0.2463,0.0067,0.0491,154.0,24.63,0.2819143226952001,fairly_common,28.19143226952001,,peak_abundance_with_occupancy_days_modifiers,0.2463
reevir1,US-AR,0.6417486174739451,0.5169,0.8998,breeding,0.7449,0.0152,0.0471,70.0,74.49,0.26762996063836314,fairly_common,26.762996063836315,,peak_abundance_with_occupancy_days_modifiers,0.7449
dickci,US-AR,0.6356769534053952,0.5045999999999999,0.8883,breeding,0.4253,0.025,0.061,98.0,42.53,0.26509788005193113,fairly_common,26.509788005193112,,peak_abundance_with_occupancy_days_modifiers,0.4253
barswa,US-AR,0.6062267085292437,0.5348666666666667,0.8335,breeding,0.8318,0.0022,0.0017,126.0,83.17999999999999,0.25281617400319994,fairly_common,25.281617400319995,,peak_abundance_with_occupancy_days_modifiers,0.8318
easblu,US-AR,0.6015251910126322,0.46205,0.8249,nonbreeding,0.9196,0.0349,0.0395,105.0,91.96,0.2508554889099246,fairly_common,25.08554889099246,,peak_abundance_with_occupancy_days_modifiers,0.9196
rebwoo,US-AR,0.5786337937711845,0.7836,0.7836,resident,0.9256,0.04,0.044,365.0,92.56,0.2413090347752812,common,24.130903477528122,,peak_abundance_with_occupancy_days_modifiers,0.9256
yerwar,US-AR,0.572221712631065,0.5418,0.7722,nonbreeding,0.8413,0.0239,0.0177,91.0,84.13000000000001,0.23863498924341087,fairly_common,23.863498924341087,,peak_abundance_with_occupancy_days_modifiers,0.8413
rosgoo,US-AR,0.5616137905980957,0.36949999999999994,0.7535,nonbreeding,0.2372,0.0662,0.0678,84.0,23.72,0.2342111421499597,fairly_common,23.42111421499597,,peak_abundance_with_occupancy_days_modifiers,0.2372
whevir,US-AR,0.5439508741978185,0.4890999999999999,0.7228,breeding,0.8487,0.0535,0.0687,91.0,84.87,0.22684513388402555,fairly_common,22.684513388402554,,peak_abundance_with_occupancy_days_modifiers,0.8487
