species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
whcspa,US-AZ,1.4326530000979076,1.4421249999999999,3.1898,nonbreeding,0.8419,0.0607,0.1128,112.0,84.19,0.5974627067119513,common,59.746270671195134,,peak_abundance_with_occupancy_days_modifiers,0.8419
moudov,US-AZ,1.3863693583075314,2.0328500000000003,3.0003,breeding,0.9873,0.0312,0.0485,119.0,98.72999999999999,0.5781609288922875,common,57.816092889228756,,peak_abundance_with_occupancy_days_modifiers,0.9873
horlar,US-AZ,1.2855620078657481,1.371325,2.6167,nonbreeding,0.3976,,,,39.76,0.5361209984644086,common,53.61209984644086,,peak_abundance_with_occupancy_days_modifiers,0.3976
whwdov,US-AZ,1.2267709406019143,0.749325,2.4102,breeding,0.4879,0.0531,0.1197,119.0,48.79,0.5116032190889883,common,51.16032190889883,,peak_abundance_with_occupancy_days_modifiers,0.4879
daejun,US-AZ,1.1604596919941899,1.059675,2.1914,nonbreeding,0.6609,0.0309,0.0359,105.0,66.09,0.4839492805037813,common,48.39492805037813,,peak_abundance_with_occupancy_days_modifiers,0.6609
rewbla,US-AZ,1.1012089145153756,1.3278999999999999,2.0078,postbreeding_migration,0.3542,0.0148,0.0086,126.0,35.42,0.4592397870780455,common,45.92397870780455,,peak_abundance_with_occupancy_days_modifiers,0.3542
yehbla,US-AZ,1.030583238270638,0.9176000000000001,1.8027,nonbreeding,0.0274,0.0474,0.1606,175.0,2.74,0.42978659241774797,rare,42.9786592417748,rare,peak_abundance_with_occupancy_days_modifiers,0.0274
houfin,US-AZ,0.9996755408080862,1.7174,1.7174,resident,0.8736,0.0849,0.1144,365.0,87.36,0.4168970814315229,common,41.68970814315229,,peak_abundance_with_occupancy_days_modifiers,0.8736
sancra,US-AZ,0.9900243482512106,0.9327,1.6913,nonbreeding,0.019,0.0064,0.0402,84.0,1.9,0.4128722215194331,rare,41.28722215194331,rare,peak_abundance_with_occupancy_days_modifiers,0.019
comrav,US-AZ,0.8225513177712058,1.2763,1.2763,resident,0.9884,0.0071,0.011,365.0,98.83999999999999,0.3430305431192911,common,34.30305431192911,,peak_abundance_with_occupancy_days_modifiers,0.9884
