species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-CO,2.5326407009107683,6.461849999999999,11.5867,nonbreeding,0.4139,0.0269,0.0313,126.0,41.39,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4139
snogoo,US-CO,2.0282666613336975,3.204975,6.6009,nonbreeding,0.046,0.0202,0.0134,133.0,4.6,0.8458528962220638,rare,84.58528962220639,rare,peak_abundance_with_occupancy_days_modifiers,0.046
horlar,US-CO,1.9825175603981098,2.9852250000000002,6.261,nonbreeding,0.4591,,,,45.910000000000004,0.8267740392533863,abundant,82.67740392533864,,peak_abundance_with_occupancy_days_modifiers,0.4591
eursta,US-CO,1.8916802161355166,3.43225,5.6305,nonbreeding,0.4635,0.0104,0.012,140.0,46.35,0.7888919243449295,abundant,78.88919243449295,,peak_abundance_with_occupancy_days_modifiers,0.4635
laplon,US-CO,1.5316925638092473,1.7993,3.626,nonbreeding,0.3202,,,,32.019999999999996,0.6387654128121053,common,63.87654128121053,,peak_abundance_with_occupancy_days_modifiers,0.3202
cangoo,US-CO,1.2739372037267744,1.7195,2.5749,nonbreeding,0.0585,0.0089,0.0186,119.0,5.8500000000000005,0.531273078594494,common,53.1273078594494,,peak_abundance_with_occupancy_days_modifiers,0.0585
daejun,US-CO,1.2042027778799909,1.475925,2.3341,nonbreeding,0.8416,0.0359,0.0348,105.0,84.16,0.5021915642190131,common,50.21915642190131,,peak_abundance_with_occupancy_days_modifiers,0.8416
moudov,US-CO,1.199964782928397,0.9623499999999998,2.32,breeding,0.7574,0.0216,0.0327,119.0,75.74,0.500424183049506,common,50.0424183049506,,peak_abundance_with_occupancy_days_modifiers,0.7574
cacgoo1,US-CO,1.1641503101387642,1.161325,2.2032,nonbreeding,0.0237,0.0378,0.1554,126.0,2.37,0.4854883878144469,rare,48.548838781444694,rare,peak_abundance_with_occupancy_days_modifiers,0.0237
amerob,US-CO,1.1527847675565026,1.53155,2.167,postbreeding_migration,0.9782,0.0231,0.0235,98.0,97.82,0.48074858841153223,common,48.07485884115322,,peak_abundance_with_occupancy_days_modifiers,0.9782
cliswa,US-CO,1.005546255548563,0.8226,1.7334,breeding,0.6251,0.0304,0.044,91.0,62.51,0.41934535963911357,common,41.93453596391136,,peak_abundance_with_occupancy_days_modifiers,0.6251
sancra,US-CO,0.9525840875714239,0.8048,1.5924,prebreeding_migration,0.1947,0.0191,0.0232,119.0,19.470000000000002,0.39725842007259454,common,39.72584200725945,,peak_abundance_with_occupancy_days_modifiers,0.1947
wesmea,US-CO,0.88153364191615,1.0424,1.4146,breeding,0.6241,0.0457,0.0785,112.0,62.41,0.3676280828092172,common,36.762808280921725,,peak_abundance_with_occupancy_days_modifiers,0.6241
mallar3,US-CO,0.7929925155296614,0.9337499999999999,1.21,nonbreeding,0.0524,0.0055,0.0035,126.0,5.24,0.3307035651328635,common,33.07035651328635,,peak_abundance_with_occupancy_days_modifiers,0.0524
whcspa,US-CO,0.7170590006062582,0.666575,1.0484,postbreeding_migration,0.9859,0.0273,0.0357,112.0,98.59,0.29903682981510793,common,29.903682981510794,,peak_abundance_with_occupancy_days_modifiers,0.9859
comgra,US-CO,0.7170590006062582,0.58295,1.0484,postbreeding_migration,0.3304,0.0209,0.0292,112.0,33.040000000000006,0.29903682981510793,common,29.903682981510794,,peak_abundance_with_occupancy_days_modifiers,0.3304
amtspa,US-CO,0.6565350620632132,0.46613333333333334,0.9281,nonbreeding,0.4965,0.0433,0.0584,70.0,49.65,0.27379638698608777,fairly_common,27.379638698608776,,peak_abundance_with_occupancy_days_modifiers,0.4965
larbun,US-CO,0.6354651002188605,0.5025499999999999,0.8879,postbreeding_migration,0.4048,0.1251,0.2685,119.0,40.48,0.2650095304109198,fairly_common,26.50095304109198,,peak_abundance_with_occupancy_days_modifiers,0.4048
weskin,US-CO,0.6299411046561527,0.5078333333333332,0.8775,breeding,0.5526,0.0425,0.1015,91.0,55.26,0.2627058453311868,fairly_common,26.27058453311868,,peak_abundance_with_occupancy_days_modifiers,0.5526
y00475,US-CO,0.620038708739307,0.371475,0.859,postbreeding_migration,0.0466,0.0207,0.0213,112.0,4.66,0.2585762254811549,rare,25.85762254811549,rare,peak_abundance_with_occupancy_days_modifiers,0.0466
barswa,US-CO,0.586118607801422,0.45940000000000003,0.797,postbreeding_migration,0.5486,0.0027,0.0017,112.0,54.86,0.24443044466967695,fairly_common,24.443044466967695,,peak_abundance_with_occupancy_days_modifiers,0.5486
vigswa,US-CO,0.5760514086836981,0.4855333333333334,0.779,breeding,0.5912,0.0609,0.1328,91.0,59.12,0.2402320965466684,fairly_common,24.02320965466684,,peak_abundance_with_occupancy_days_modifiers,0.5912
chispa,US-CO,0.5723909794241455,0.3406,0.7725,postbreeding_migration,0.9936,0.0209,0.0386,140.0,99.36,0.23870557897891795,fairly_common,23.870557897891796,,peak_abundance_with_occupancy_days_modifiers,0.9936
mouchi,US-CO,0.5489303297995364,0.646,0.7314,nonbreeding,0.4824,0.1008,0.1397,210.0,48.24,0.22892172816160086,fairly_common,22.892172816160087,,peak_abundance_with_occupancy_days_modifiers,0.4824
pinsis,US-CO,0.5083224935478722,0.498175,0.6625,postbreeding_migration,0.9555,0.033,0.0255,119.0,95.55,0.21198694509900515,fairly_common,21.198694509900516,,peak_abundance_with_occupancy_days_modifiers,0.9555
comrav,US-CO,0.5028942534397104,0.6535,0.6535,resident,0.7156,0.0047,0.0051,365.0,71.56,0.20972319314547344,common,20.972319314547345,,peak_abundance_with_occupancy_days_modifiers,0.7156
brebla,US-CO,0.4869836492804198,0.27690000000000003,0.6274,postbreeding_migration,0.55,0.0495,0.0359,112.0,55.00000000000001,0.20308795584391992,fairly_common,20.30879558439199,,peak_abundance_with_occupancy_days_modifiers,0.55
bnhcow,US-CO,0.4862460047916001,0.346125,0.6262,breeding,0.8025,0.0224,0.017,147.0,80.25,0.2027803341987265,fairly_common,20.27803341987265,,peak_abundance_with_occupancy_days_modifiers,0.8025
bcrfin,US-CO,0.47679302902178283,0.3164,0.6109,nonbreeding,0.2092,0.9926,0.9988,91.0,20.919999999999998,0.19883813710736417,fairly_common,19.883813710736415,,peak_abundance_with_occupancy_days_modifiers,0.2092
rosgoo,US-CO,0.46234941030887594,0.26466666666666666,0.5878,nonbreeding,0.0384,0.0209,0.1034,98.0,3.84,0.19281468025470067,rare,19.281468025470065,rare,peak_abundance_with_occupancy_days_modifiers,0.0384
