species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
treswa,US-CT,3.201949377398481,6.268275,23.5804,postbreeding_migration,0.9784,0.0016,0.033,161.0,97.84,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9784
comgra,US-CT,2.6435827885474747,4.773899999999999,13.0635,postbreeding_migration,0.8514,0.0032,0.0062,112.0,85.14,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8514
cangoo,US-CT,2.163771201077,4.854150000000001,7.7039,nonbreeding,0.6039,0.0036,0.0028,119.0,60.39,0.9023626784800549,abundant,90.2362678480055,,peak_abundance_with_occupancy_days_modifiers,0.6039
amerob,US-CT,1.8827877675756188,3.66725,5.5718,postbreeding_migration,0.9948,0.0021,0.003,98.0,99.48,0.7851834852563783,abundant,78.51834852563783,,peak_abundance_with_occupancy_days_modifiers,0.9948
eursta,US-CT,1.8242427934722518,3.0699499999999995,5.1981,nonbreeding,0.8723,0.001,0.0006,140.0,87.22999999999999,0.7607683347001806,abundant,76.07683347001806,,peak_abundance_with_occupancy_days_modifiers,0.8723
daejun,US-CT,1.6807534178506953,2.2589,4.3696,nonbreeding,0.9655,0.002,0.0032,105.0,96.55,0.7009286172407511,common,70.0928617240751,,peak_abundance_with_occupancy_days_modifiers,0.9655
comter,US-CT,1.652957066347596,1.998866666666667,4.2224,breeding,0.0521,0.0001,0.0031,98.0,5.21,0.6893366383005446,common,68.93366383005446,,peak_abundance_with_occupancy_days_modifiers,0.0521
blujay,US-CT,1.6138680847134157,2.4764749999999998,4.0222,postbreeding_migration,0.9784,0.0023,0.0049,112.0,97.84,0.6730352668113039,common,67.30352668113039,,peak_abundance_with_occupancy_days_modifiers,0.9784
amecro,US-CT,1.5552984663334521,2.256775,3.7365,nonbreeding,0.983,0.0028,0.0039,147.0,98.3,0.6486098387935022,common,64.86098387935021,,peak_abundance_with_occupancy_days_modifiers,0.983
rewbla,US-CT,1.4722885542867514,2.5169750000000004,3.3592,postbreeding_migration,0.9206,0.0018,0.0012,126.0,92.06,0.6139920166607502,common,61.39920166607502,,peak_abundance_with_occupancy_days_modifiers,0.9206
