species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-DC,3.1376484157129068,10.348775,22.0496,nonbreeding,0.9483,0.0001,0.0001,119.0,94.83,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9483
eursta,US-DC,2.852658352627821,12.2692,16.3338,nonbreeding,1.0,0.0,0.0,140.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
comgra,US-DC,2.8118755389774033,9.184524999999999,15.6411,postbreeding_migration,1.0,0.0001,0.0001,112.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
ribgul,US-DC,2.740033246955261,7.206424999999999,14.4875,nonbreeding,0.8555,0.0003,0.0004,105.0,85.55,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8555
amerob,US-DC,2.4699537435607852,8.382175,10.8219,postbreeding_migration,1.0,0.0,0.0001,98.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
bnhcow,US-DC,1.9522045831894335,2.5343,6.0442,postbreeding_migration,1.0,0.0001,0.0001,147.0,100.0,0.8141325458768635,abundant,81.41325458768634,,peak_abundance_with_occupancy_days_modifiers,1.0
chiswi,US-DC,1.8573599263120038,4.065099999999999,5.4068,postbreeding_migration,1.0,0.0001,0.0008,126.0,100.0,0.7745792518054568,abundant,77.45792518054569,,peak_abundance_with_occupancy_days_modifiers,1.0
fiscro,US-DC,1.6972839410051697,3.16805,4.4591,nonbreeding,1.0,0.0002,0.0011,147.0,100.0,0.7078223808433552,common,70.78223808433552,,peak_abundance_with_occupancy_days_modifiers,1.0
whtspa,US-DC,1.673538837840624,2.368025,4.331,nonbreeding,1.0,0.0001,0.0002,98.0,100.0,0.6979199036860294,common,69.79199036860294,,peak_abundance_with_occupancy_days_modifiers,1.0
houspa,US-DC,1.6160758326142837,4.0333,4.0333,resident,1.0,0.0,0.0,365.0,100.0,0.6739559691980647,common,67.39559691980647,,peak_abundance_with_occupancy_days_modifiers,1.0
amecro,US-DC,1.499645367606346,2.0939750000000004,3.4801,nonbreeding,1.0,0.0,0.0,147.0,100.0,0.6254006939411674,common,62.540069394116735,,peak_abundance_with_occupancy_days_modifiers,1.0
mallar3,US-DC,1.472196790120594,2.340225,3.3588,nonbreeding,0.9002,0.0,0.0,126.0,90.02,0.6139537480310905,common,61.39537480310905,,peak_abundance_with_occupancy_days_modifiers,0.9002
amhgul1,US-DC,1.3204502871827921,1.1186598079685033,2.745107371489141,nonbreeding,0.4239943222971173,0.00019758892869931104,0.00019265049702080035,133.0,42.39943222971173,0.5506705410206726,common,55.06705410206726,,peak_abundance_with_occupancy_days_modifiers,0.4239943222971173
norcar,US-DC,1.313589250649259,2.7195,2.7195,resident,1.0,0.0,0.0001,365.0,100.0,0.5478092665474442,common,54.78092665474442,,peak_abundance_with_occupancy_days_modifiers,1.0
rocpig,US-DC,1.3122171577235748,2.7144,2.7144,resident,0.9404,0.0,0.0,365.0,94.04,0.5472370593533898,common,54.723705935338984,,peak_abundance_with_occupancy_days_modifiers,0.9404
lessca,US-DC,1.309089290210919,1.6082999999999998,2.7028,nonbreeding,0.1085,0.0001,0.0004,133.0,10.85,0.5459326372845287,common,54.59326372845287,,peak_abundance_with_occupancy_days_modifiers,0.1085
cedwax,US-DC,1.2512761494418025,1.7026499999999998,2.4948,prebreeding_migration,1.0,0.0,0.0001,126.0,100.0,0.5218226849338374,common,52.182268493383745,,peak_abundance_with_occupancy_days_modifiers,1.0
moudov,US-DC,1.2387509716618115,2.1012999999999997,2.4513,nonbreeding,1.0,0.0,0.0,119.0,100.0,0.516599280091234,common,51.659928009123405,,peak_abundance_with_occupancy_days_modifiers,1.0
blujay,US-DC,1.2177573592965527,1.726775,2.3796,postbreeding_migration,1.0,0.0,0.0001,112.0,100.0,0.5078442637219165,common,50.784426372191646,,peak_abundance_with_occupancy_days_modifiers,1.0
daejun,US-DC,1.1486397822677579,1.1563750000000002,2.1539,nonbreeding,1.0,0.0,0.0,98.0,100.0,0.4790199952841486,common,47.90199952841486,,peak_abundance_with_occupancy_days_modifiers,1.0
rewbla,US-DC,1.1406495444591673,1.754425,2.1288,prebreeding_migration,0.8965,0.0,0.0,126.0,89.64999999999999,0.4756878073027837,common,47.56878073027837,,peak_abundance_with_occupancy_days_modifiers,0.8965
sonspa,US-DC,1.1303047354005995,1.6898,2.0966,nonbreeding,1.0,0.0,0.0001,119.0,100.0,0.47137368684226194,common,47.137368684226196,,peak_abundance_with_occupancy_days_modifiers,1.0
laugul,US-DC,1.0838031730144015,0.516575,1.9559,postbreeding_migration,0.2534,0.0001,0.0001,161.0,25.34,0.45198102907538196,common,45.19810290753819,,peak_abundance_with_occupancy_days_modifiers,0.2534
doccor,US-DC,0.9996019383350099,0.9297500000000001,1.7172,prebreeding_migration,0.9973,0.0001,0.0001,147.0,99.72999999999999,0.4168663868161611,common,41.68663868161611,,peak_abundance_with_occupancy_days_modifiers,0.9973
amegfi,US-DC,0.9544339416521946,1.2792999999999999,1.5972,prebreeding_migration,1.0,0.0,0.0001,112.0,100.0,0.39802986914368427,common,39.802986914368425,,peak_abundance_with_occupancy_days_modifiers,1.0
carwre,US-DC,0.8668483550602886,1.3794,1.3794,resident,0.8965,0.0001,0.0001,365.0,89.64999999999999,0.3615038425129663,common,36.15038425129663,,peak_abundance_with_occupancy_days_modifiers,0.8965
grycat,US-DC,0.8628055634005025,0.7899249999999999,1.3698,breeding,1.0,0.0001,0.0001,126.0,100.0,0.35981786743905564,common,35.981786743905566,,peak_abundance_with_occupancy_days_modifiers,1.0
y00475,US-DC,0.8358179317241078,0.6823000000000001,1.3067,nonbreeding,0.1085,0.0,0.0,112.0,10.85,0.3485631508621721,common,34.85631508621721,,peak_abundance_with_occupancy_days_modifiers,0.1085
