species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
treswa,US-EAST,3.230666732824064,6.692297555124728,24.29651736811203,postbreeding_migration,0.2728390683477638,0.6067135846109694,0.9952498572521964,154.0,27.283906834776378,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2728390683477638
rewbla,US-EAST,3.1162546876948007,11.718955584983128,21.56172051522843,nonbreeding,0.3326864885811005,0.9133808464310926,0.988348225260078,147.0,33.26864885811005,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3326864885811005
snogoo,US-EAST,3.1865261492241763,10.695446349964863,23.2041994530149,nonbreeding,0.0660202409019837,0.949892236231565,0.9882608007301772,140.0,6.602024090198371,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0660202409019837
shtshe,US-EAST,3.7511657323375767,11.436233577634697,41.57067910323592,prebreeding_migration,0.029276724892398,0.0155065677003746,0.102369214014816,98.0,2.9276724892398,1.0,rare,100.0,rare,peak_abundance_with_occupancy_days_modifiers,0.029276724892398
comgra,US-EAST,2.176389197991474,4.183709508722725,7.81442159755553,nonbreeding,0.2482138850926081,0.9808402009611384,0.9997806412548326,147.0,24.82138850926081,0.9076247919082817,abundant,90.76247919082817,,peak_abundance_with_occupancy_days_modifiers,0.2482138850926081
eursta,US-EAST,2.0089964371476157,3.8284497007171487,6.455831196313695,nonbreeding,0.2626731087420306,0.374277509994183,0.2311664704701327,126.0,26.26731087420306,0.8378165885464606,abundant,83.78165885464605,,peak_abundance_with_occupancy_days_modifiers,0.2626731087420306
amerob,US-EAST,1.7878960211280974,3.1520814359344373,4.976864032482853,nonbreeding,0.4614896516185242,0.8872571855545937,0.9898431193738,119.0,46.148965161852416,0.7456105533089452,common,74.56105533089452,,peak_abundance_with_occupancy_days_modifiers,0.4614896516185242
warwhe1,US-EAST,1.713150403078895,4.471645466323221,4.546407401302751,nonbreeding,0.7545570156846121,0.052544574329909,0.1256919486772447,161.0,75.45570156846121,0.7144392094654031,common,71.4439209465403,,peak_abundance_with_occupancy_days_modifiers,0.7545570156846121
purmar,US-EAST,1.7095645079471629,1.640125400438203,4.526554183056929,postbreeding_migration,0.2731672113177568,0.9270840473355229,0.9682719066155306,133.0,27.31672113177568,0.7129437750432203,common,71.29437750432203,,peak_abundance_with_occupancy_days_modifiers,0.2731672113177568
cangoo,US-EAST,1.4793553218693904,2.3433007686901792,3.390114557589014,nonbreeding,0.0867164132854543,0.8397857940713703,0.9065210893233496,147.0,8.67164132854543,0.6169390876453774,common,61.69390876453774,,peak_abundance_with_occupancy_days_modifiers,0.0867164132854543
zebdov,US-EAST,1.4317572380653718,3.1860486166603037,3.1860486166603037,resident,0.4523103009749894,0.0086065044847389,0.0230493305928065,365.0,45.231030097498945,0.5970891449293759,common,59.708914492937595,,peak_abundance_with_occupancy_days_modifiers,0.4523103009749894
