species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-GA,3.1579616611385517,8.94095,22.5226,nonbreeding,0.8949,0.0333,0.0347,126.0,89.49000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8949
comgra,US-GA,1.951210363782754,2.664175,6.0372,nonbreeding,0.7802,0.0683,0.0328,112.0,78.02,0.8137179241800956,abundant,81.37179241800956,,peak_abundance_with_occupancy_days_modifiers,0.7802
amerob,US-GA,1.6286128918201415,1.944725,4.0968,nonbreeding,0.9873,0.0244,0.0308,98.0,98.72999999999999,0.6791843289801108,common,67.91843289801108,,peak_abundance_with_occupancy_days_modifiers,0.9873
chispa,US-GA,1.3653260546836943,1.29075,2.917,nonbreeding,0.9462,0.0497,0.1022,147.0,94.62,0.5693851896585723,common,56.938518965857234,,peak_abundance_with_occupancy_days_modifiers,0.9462
norcar,US-GA,1.3085760333145808,2.7009,2.7009,resident,0.9922,0.0359,0.0522,365.0,99.22,0.5457185925336338,common,54.57185925336338,,peak_abundance_with_occupancy_days_modifiers,0.9922
bnhcow,US-GA,1.2724815586470803,1.5711750000000002,2.5697,nonbreeding,0.3414,0.0223,0.0417,147.0,34.14,0.5306660274458442,common,53.06660274458442,,peak_abundance_with_occupancy_days_modifiers,0.3414
turvul,US-GA,1.243895194323355,1.739975,2.4691,nonbreeding,0.9932,0.0076,0.0273,126.0,99.32,0.5187445875697964,common,51.874458756979635,,peak_abundance_with_occupancy_days_modifiers,0.9932
amecro,US-GA,1.220800422432195,1.867475,2.3899,nonbreeding,0.9864,0.0321,0.0336,147.0,98.64,0.5091133196186284,common,50.911331961862835,,peak_abundance_with_occupancy_days_modifiers,0.9864
yerwar,US-GA,1.1463225048241859,1.1767666666666667,2.1466,nonbreeding,0.9746,0.0309,0.0549,91.0,97.46000000000001,0.4780536155302623,common,47.80536155302623,,peak_abundance_with_occupancy_days_modifiers,0.9746
moudov,US-GA,1.0892014789139224,1.556125,1.9719,breeding,0.9909,0.0242,0.0255,119.0,99.09,0.4542322974942988,common,45.42322974942988,,peak_abundance_with_occupancy_days_modifiers,0.9909
carwre,US-GA,1.0767755940589352,1.9352,1.9352,resident,0.9915,0.0577,0.0975,365.0,99.15,0.44905030101766125,common,44.90503010176612,,peak_abundance_with_occupancy_days_modifiers,0.9915
blujay,US-GA,1.0397111807479487,1.3165250000000002,1.8284,postbreeding_migration,0.9906,0.027,0.0354,112.0,99.06,0.43359324009784384,common,43.35932400978438,,peak_abundance_with_occupancy_days_modifiers,0.9906
dunlin,US-GA,0.9687313678135897,0.580125,1.6346,nonbreeding,0.021,0.0023,0.029,70.0,2.1,0.40399235896698243,rare,40.399235896698244,rare,peak_abundance_with_occupancy_days_modifiers,0.021
categr1,US-GA,0.922600246918038,0.7464447169184135,1.5158236549091424,postbreeding_migration,0.3336920212616786,0.0059821609085217,0.0076836887793572,140.0,33.369202126167856,0.38475418730082944,common,38.47541873008294,,peak_abundance_with_occupancy_days_modifiers,0.3336920212616786
treswa,US-GA,0.8643235262489016,0.820675,1.3734,nonbreeding,0.2093,0.0547,0.0627,161.0,20.93,0.3604509071158168,common,36.04509071158168,,peak_abundance_with_occupancy_days_modifiers,0.2093
