species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
zebdov,US-HI,1.4317572380653718,3.1860486166603033,3.1860486166603033,resident,0.4523103009749894,0.0086065044847389,0.0230493305928065,365.0,45.231030097498945,0.5970891449293759,common,59.708914492937595,,peak_abundance_with_occupancy_days_modifiers,0.4523103009749894
warwhe1,US-HI,1.315576788905604,2.59065,2.7269,nonbreeding,0.8631,0.0464,0.0919,252.0,86.31,0.5486381343795349,common,54.86381343795349,,peak_abundance_with_occupancy_days_modifiers,0.8631
commyn,US-HI,1.2986919003837678,2.6645,2.6645,resident,0.4483,0.0017,0.0038,365.0,44.83,0.5415965889403417,common,54.159658894034166,,peak_abundance_with_occupancy_days_modifiers,0.4483
houfin,US-HI,0.9208801842079624,1.5115,1.5115,resident,0.8243,0.0059,0.0074,365.0,82.43,0.38403686543544696,common,38.403686543544694,,peak_abundance_with_occupancy_days_modifiers,0.8243
categr1,US-HI,0.8439938327095711,0.9957621551326848,1.3256366574357454,nonbreeding,0.2038999576091564,0.000443656541581963,0.000849805521935302,140.0,20.389995760915642,0.35197276640218766,common,35.19727664021877,,peak_abundance_with_occupancy_days_modifiers,0.2038999576091564
spodov,US-HI,0.7475406643902769,1.1118,1.1118,resident,0.4503,0.0015,0.0025,365.0,45.03,0.31174867095754705,common,31.174867095754706,,peak_abundance_with_occupancy_days_modifiers,0.4503
comwax,US-HI,0.6221880916194514,0.863,0.863,resident,0.1284,0.0004,0.0075,365.0,12.839999999999998,0.2594725877637479,fairly_common,25.947258776374788,,peak_abundance_with_occupancy_days_modifiers,0.1284
apapan,US-HI,0.5430798192953231,0.7213,0.7213,resident,0.1805,1.0,1.0,365.0,18.05,0.22648187577497617,fairly_common,22.648187577497616,,peak_abundance_with_occupancy_days_modifiers,0.1805
norcar,US-HI,0.5186747387093896,0.6798,0.6798,resident,0.6531,0.0033,0.0019,365.0,65.31,0.21630416665532284,common,21.630416665532284,,peak_abundance_with_occupancy_days_modifiers,0.6531
yefcan,US-HI,0.5179601126665901,0.6786,0.6786,resident,0.4422,0.0014,0.0064,365.0,44.22,0.2160061444477201,fairly_common,21.60061444477201,,peak_abundance_with_occupancy_days_modifiers,0.4422
pagplo,US-HI,0.4790253112161929,0.27275,0.6145,nonbreeding,0.3627,0.0015,0.0044,119.0,36.27,0.19976907108923275,fairly_common,19.976907108923275,,peak_abundance_with_occupancy_days_modifiers,0.3627
sooshe,US-HI,0.4683793481428917,0.254018512383767,0.5974032597244417,prebreeding_migration,0.1814328105129292,0.00037498445131058425,3.1241045823757306e-05,70.0,18.14328105129292,0.19532935964975975,fairly_common,19.532935964975977,,peak_abundance_with_occupancy_days_modifiers,0.1814328105129292
hawama,US-HI,0.42015665685115416,0.5222,0.5222,resident,0.1874,1.0,1.0,365.0,18.740000000000002,0.17521893537945324,fairly_common,17.521893537945324,,peak_abundance_with_occupancy_days_modifiers,0.1874
revbul,US-HI,0.4021930942377451,0.4951,0.4951,resident,0.086,0.0004,0.0009,365.0,8.6,0.16772754790428407,fairly_common,16.772754790428408,,peak_abundance_with_occupancy_days_modifiers,0.086
nutman,US-HI,0.3562048334541125,0.4279,0.4279,resident,0.3506,0.0017,0.0016,365.0,35.06,0.1485489535322439,fairly_common,14.85489535322439,,peak_abundance_with_occupancy_days_modifiers,0.3506
reccar,US-HI,0.28878146789508186,0.3348,0.3348,resident,0.2427,0.0027,0.0029,365.0,24.27,0.1204312261552902,fairly_common,12.04312261552902,,peak_abundance_with_occupancy_days_modifiers,0.2427
