species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-ID,1.801627288426405,3.718,5.0595,postbreeding_migration,0.3525,0.0059,0.0091,140.0,35.25,0.751336936547644,abundant,75.1336936547644,,peak_abundance_with_occupancy_days_modifiers,0.3525
cangoo,US-ID,1.4672750902521694,2.37025,3.3374,nonbreeding,0.1908,0.0185,0.0193,119.0,19.08,0.611901239765089,common,61.1901239765089,,peak_abundance_with_occupancy_days_modifiers,0.1908
horlar,US-ID,1.3365524942250513,1.222825,2.8059,nonbreeding,0.3615,,,,36.15,0.5573856829307142,common,55.738568293071424,,peak_abundance_with_occupancy_days_modifiers,0.3615
mallar3,US-ID,1.1599268684872024,1.66775,2.1897,prebreeding_migration,0.4109,0.0036,0.0053,126.0,41.089999999999996,0.4837270758424552,common,48.372707584245525,,peak_abundance_with_occupancy_days_modifiers,0.4109
amerob,US-ID,1.142629174084884,1.6317249999999999,2.135,prebreeding_migration,0.9933,0.0155,0.0237,98.0,99.33,0.4765133769797306,common,47.65133769797306,,peak_abundance_with_occupancy_days_modifiers,0.9933
rewbla,US-ID,1.0868770324496888,1.46035,1.965,prebreeding_migration,0.4198,0.0119,0.0083,126.0,41.980000000000004,0.4532629280265818,common,45.32629280265818,,peak_abundance_with_occupancy_days_modifiers,0.4198
snogoo,US-ID,1.0134537395867877,0.47237500000000004,1.7551,prebreeding_migration,0.0977,0.0043,0.0023,140.0,9.77,0.42264303661772346,common,42.264303661772345,,peak_abundance_with_occupancy_days_modifiers,0.0977
pinsis,US-ID,0.9843605107755433,1.023675,1.6761,postbreeding_migration,0.8251,0.0205,0.0482,119.0,82.50999999999999,0.4105102178323174,common,41.05102178323174,,peak_abundance_with_occupancy_days_modifiers,0.8251
y00475,US-ID,0.9334231306144558,0.692975,1.5432,postbreeding_migration,0.0544,0.0129,0.0298,112.0,5.4399999999999995,0.38926768037085313,common,38.92676803708531,,peak_abundance_with_occupancy_days_modifiers,0.0544
daejun,US-ID,0.9031649646552272,1.0690499999999998,1.4674,prebreeding_migration,0.9767,0.0165,0.0224,105.0,97.67,0.3766490450607643,common,37.66490450607643,,peak_abundance_with_occupancy_days_modifiers,0.9767
gcrfin,US-ID,0.8053144774306931,0.6910666666666666,1.2374,nonbreeding,0.3194,0.0971,0.1463,70.0,31.94,0.33584222237148914,common,33.584222237148914,,peak_abundance_with_occupancy_days_modifiers,0.3194
comrav,US-ID,0.7552295628564889,1.1281,1.1281,resident,0.9836,0.0052,0.0071,365.0,98.36,0.31495519067232963,common,31.495519067232962,,peak_abundance_with_occupancy_days_modifiers,0.9836
cliswa,US-ID,0.7444104744974869,0.5201333333333333,1.1052,breeding,0.4373,0.0171,0.0225,98.0,43.730000000000004,0.3104432803809448,common,31.04432803809448,,peak_abundance_with_occupancy_days_modifiers,0.4373
chispa,US-ID,0.6118286593823569,0.5411333333333334,0.8438,breeding,0.6811,0.0164,0.0353,112.0,68.11,0.2551523689641149,fairly_common,25.51523689641149,,peak_abundance_with_occupancy_days_modifiers,0.6811
whcspa,US-ID,0.6098742613661238,0.35329999999999995,0.8402,postbreeding_migration,0.9197,0.0157,0.0229,112.0,91.97,0.25433732168561035,fairly_common,25.433732168561036,,peak_abundance_with_occupancy_days_modifiers,0.9197
bkbmag1,US-ID,0.5780729727144799,0.7826,0.7826,resident,0.5929,0.0467,0.1038,365.0,59.29,0.24107515422884263,common,24.107515422884262,,peak_abundance_with_occupancy_days_modifiers,0.5929
moudov,US-ID,0.5751516223222378,0.260175,0.7774,breeding,0.5883,0.0135,0.0088,119.0,58.830000000000005,0.23985685648857774,fairly_common,23.985685648857775,,peak_abundance_with_occupancy_days_modifiers,0.5883
yerwar,US-ID,0.5480636033707946,0.49465000000000003,0.7299,postbreeding_migration,1.0,0.0146,0.0239,133.0,100.0,0.2285602751663121,fairly_common,22.85602751663121,,peak_abundance_with_occupancy_days_modifiers,1.0
westan,US-ID,0.5347374438123036,0.36789999999999995,0.707,breeding,0.7925,0.0611,0.1483,91.0,79.25,0.22300283497713347,fairly_common,22.300283497713348,,peak_abundance_with_occupancy_days_modifiers,0.7925
bnhcow,US-ID,0.5130032510137649,0.22215000000000001,0.6703,breeding,0.7383,0.0161,0.0146,119.0,73.83,0.2139389725786833,fairly_common,21.39389725786833,,peak_abundance_with_occupancy_days_modifiers,0.7383
brebla,US-ID,0.49445230964804543,0.39645,0.6396,breeding,0.511,0.0431,0.0678,112.0,51.1,0.2062026291377663,fairly_common,20.620262913776628,,peak_abundance_with_occupancy_days_modifiers,0.511
rebnut,US-ID,0.47517772051946466,0.47582499999999994,0.6083,postbreeding_migration,0.6028,0.0245,0.0517,119.0,60.28,0.19816450113975445,fairly_common,19.816450113975446,,peak_abundance_with_occupancy_days_modifiers,0.6028
sonspa,US-ID,0.4667483365250629,0.426425,0.5948,breeding,0.8414,0.0245,0.0234,119.0,84.14,0.19464917497433584,fairly_common,19.464917497433586,,peak_abundance_with_occupancy_days_modifiers,0.8414
mouchi,US-ID,0.4381258903477127,0.49724999999999997,0.5498,nonbreeding,0.5155,0.0902,0.0843,210.0,51.55,0.18271268779658373,common,18.271268779658374,,peak_abundance_with_occupancy_days_modifiers,0.5155
wesmea,US-ID,0.4171960309838631,0.30625,0.5177,breeding,0.5477,0.0322,0.0226,112.0,54.769999999999996,0.17398425849390436,fairly_common,17.398425849390435,,peak_abundance_with_occupancy_days_modifiers,0.5477
lazbun,US-ID,0.415019320912976,0.20497499999999996,0.5144,breeding,0.8242,0.1029,0.189,84.0,82.42,0.1730764998876051,fairly_common,17.30764998876051,,peak_abundance_with_occupancy_days_modifiers,0.8242
amewig,US-ID,0.40899221388432117,0.23815,0.5053,postbreeding_migration,0.1629,0.0093,0.0235,126.0,16.29,0.17056300103007532,fairly_common,17.056300103007533,,peak_abundance_with_occupancy_days_modifiers,0.1629
swathr,US-ID,0.4011893132453758,0.1882,0.4936,breeding,0.5008,0.0153,0.0242,63.0,50.080000000000005,0.16730893871657013,fairly_common,16.730893871657013,,peak_abundance_with_occupancy_days_modifiers,0.5008
cedwax,US-ID,0.39480852791963555,0.20124999999999998,0.4841,breeding,0.6859,0.019,0.0162,126.0,68.58999999999999,0.16464794455301193,fairly_common,16.464794455301192,,peak_abundance_with_occupancy_days_modifiers,0.6859
redcro,US-ID,0.39278505495078986,0.335525,0.4811,postbreeding_migration,0.5481,,,,54.81,0.1638040907818319,fairly_common,16.380409078183188,,peak_abundance_with_occupancy_days_modifiers,0.5481
comnig,US-ID,0.39116332339730475,0.2490666666666667,0.4787,breeding,0.6754,0.0196,0.0311,84.0,67.54,0.1631277761938338,fairly_common,16.312777619383382,,peak_abundance_with_occupancy_days_modifiers,0.6754
brespa,US-ID,0.39075747923589005,0.29640000000000005,0.4781,breeding,0.5946,0.0848,0.1332,84.0,59.46,0.16295852603265348,fairly_common,16.29585260326535,,peak_abundance_with_occupancy_days_modifiers,0.5946
treswa,US-ID,0.3877083865189054,0.31403333333333333,0.4736,breeding,0.4993,0.0144,0.0177,98.0,49.93,0.1616869556052151,fairly_common,16.16869556052151,,peak_abundance_with_occupancy_days_modifiers,0.4993
norpin,US-ID,0.37335505418993076,0.1479,0.4526,prebreeding_migration,0.1497,0.002,0.0036,147.0,14.97,0.15570115109915586,fairly_common,15.570115109915585,,peak_abundance_with_occupancy_days_modifiers,0.1497
truswa,US-ID,0.3692159754330433,0.2393,0.4466,nonbreeding,0.1586,0.076,0.1746,119.0,15.86,0.15397502118687784,fairly_common,15.397502118687784,,peak_abundance_with_occupancy_days_modifiers,0.1586
gockin,US-ID,0.36533731701738503,0.28085,0.441,postbreeding_migration,0.6156,0.0227,0.0321,98.0,61.56,0.1523574949922781,fairly_common,15.23574949922781,,peak_abundance_with_occupancy_days_modifiers,0.6156
norfli,US-ID,0.3642958310700935,0.360875,0.4395,postbreeding_migration,0.9983,0.0168,0.0307,112.0,99.83,0.15192316161704436,fairly_common,15.192316161704436,,peak_abundance_with_occupancy_days_modifiers,0.9983
vigswa,US-ID,0.3543823178788483,0.31206666666666666,0.4253,postbreeding_migration,0.9015,0.056,0.0559,91.0,90.14999999999999,0.14778890550348353,fairly_common,14.778890550348352,,peak_abundance_with_occupancy_days_modifiers,0.9015
amegfi,US-ID,0.3518533386595153,0.310525,0.4217,postbreeding_migration,0.4555,0.0169,0.0114,112.0,45.550000000000004,0.14673423925178286,fairly_common,14.673423925178286,,peak_abundance_with_occupancy_days_modifiers,0.4555
whfibi,US-ID,0.3401084746301575,0.2796666666666667,0.4051,breeding,0.1219,0.0079,0.0057,112.0,12.19,0.14183625051866716,fairly_common,14.183625051866716,,peak_abundance_with_occupancy_days_modifiers,0.1219
ribgul,US-ID,0.3323207740701613,0.21562499999999998,0.3942,postbreeding_migration,0.0483,0.0101,0.0139,105.0,4.83,0.13858852713043604,rare,13.858852713043603,rare,peak_abundance_with_occupancy_days_modifiers,0.0483
