species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-IL,3.080082613121974,16.515475,20.7602,postbreeding_migration,0.9942,0.0327,0.0439,126.0,99.42,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9942
comgra,US-IL,2.9589541747877823,10.2326,18.2778,nonbreeding,0.5509,0.0459,0.0946,112.0,55.089999999999996,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5509
snogoo,US-IL,3.915461088441655,24.602075,49.1722,prebreeding_migration,0.7359,0.0743,0.048,140.0,73.59,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7359
eursta,US-IL,2.6582224988762695,8.805275,13.2709,nonbreeding,0.9854,0.012,0.0154,140.0,98.54,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9854
cangoo,US-IL,2.651402245191736,8.121224999999999,13.1739,prebreeding_migration,0.9982,0.0402,0.0451,119.0,99.82,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9982
gwfgoo,US-IL,2.390421962504285,4.144725,9.9181,prebreeding_migration,0.755,0.0257,0.0081,42.0,75.5,0.9968833875362021,abundant,99.68833875362022,,peak_abundance_with_occupancy_days_modifiers,0.755
amerob,US-IL,1.5949941010016888,2.99045,3.9283,prebreeding_migration,0.9996,0.0213,0.0213,98.0,99.96000000000001,0.6651642042483001,common,66.51642042483002,,peak_abundance_with_occupancy_days_modifiers,0.9996
daejun,US-IL,1.5725456862496932,1.607475,3.8189,nonbreeding,0.9864,0.0228,0.031,98.0,98.64,0.6558024881605921,common,65.58024881605921,,peak_abundance_with_occupancy_days_modifiers,0.9864
mallar3,US-IL,1.4061214979196315,2.106025,3.0801,prebreeding_migration,0.8075,0.0042,0.0051,126.0,80.75,0.5863982109104673,common,58.63982109104673,,peak_abundance_with_occupancy_days_modifiers,0.8075
bnhcow,US-IL,1.3669331363912625,2.120675,2.9233,prebreeding_migration,0.9996,0.0502,0.0398,147.0,99.96000000000001,0.5700553947862936,common,57.005539478629366,,peak_abundance_with_occupancy_days_modifiers,0.9996
killde,US-IL,1.31450293447075,1.1335,2.7229,postbreeding_migration,0.9294,0.0225,0.067,161.0,92.94,0.5481903022965262,common,54.81903022965262,,peak_abundance_with_occupancy_days_modifiers,0.9294
amegfi,US-IL,1.2922034377202951,1.5585,2.6408,postbreeding_migration,0.9999,0.023,0.0461,112.0,99.99,0.5388906898391267,common,53.88906898391267,,peak_abundance_with_occupancy_days_modifiers,0.9999
moudov,US-IL,1.2080046654393066,1.8631999999999997,2.3468,breeding,1.0,0.0233,0.0287,119.0,100.0,0.5037770744798006,common,50.37770744798006,,peak_abundance_with_occupancy_days_modifiers,1.0
amecro,US-IL,1.1593937609279688,1.49275,2.188,nonbreeding,0.9995,0.031,0.025,147.0,99.95,0.48350475272214166,common,48.35047527221417,,peak_abundance_with_occupancy_days_modifiers,0.9995
treswa,US-IL,1.1283005323699344,1.0414333333333332,2.0904,postbreeding_migration,0.8509,0.0166,0.032,154.0,85.09,0.47053786925948393,common,47.053786925948394,,peak_abundance_with_occupancy_days_modifiers,0.8509
laplon,US-IL,1.0707956346713345,1.0875666666666666,1.9177,nonbreeding,0.5656,,,,56.56,0.44655646425363027,common,44.655646425363024,,peak_abundance_with_occupancy_days_modifiers,0.5656
blujay,US-IL,1.0680156146906423,1.22535,1.9096,postbreeding_migration,0.9986,0.0247,0.0252,112.0,99.86,0.44539710587287495,common,44.539710587287495,,peak_abundance_with_occupancy_days_modifiers,0.9986
amtspa,US-IL,1.0284759064790792,0.8471333333333333,1.7968,nonbreeding,0.97,0.046,0.0615,77.0,97.0,0.42890776680118997,common,42.890776680119,,peak_abundance_with_occupancy_days_modifiers,0.97
indbun,US-IL,1.0183056572808848,0.8867333333333334,1.7685,breeding,0.9979,0.0356,0.069,98.0,99.79,0.42466644345668636,common,42.466644345668634,,peak_abundance_with_occupancy_days_modifiers,0.9979
barswa,US-IL,0.9956562872548955,1.1148,1.7065,breeding,0.9942,0.0028,0.0036,119.0,99.42,0.4152209225104954,common,41.52209225104954,,peak_abundance_with_occupancy_days_modifiers,0.9942
norcar,US-IL,0.9616846591640401,1.6161,1.6161,resident,0.9775,0.0337,0.0297,365.0,97.75,0.4010536532071909,common,40.10536532071909,,peak_abundance_with_occupancy_days_modifiers,0.9775
amgplo,US-IL,0.8956389441432829,0.4974,1.4489,prebreeding_migration,0.3144,0.0154,0.1158,98.0,31.44,0.37351045072876027,common,37.351045072876026,,peak_abundance_with_occupancy_days_modifiers,0.3144
dickci,US-IL,0.8647868890070395,0.6043666666666667,1.3745,breeding,0.8616,0.0512,0.0641,91.0,86.16,0.36064414439493997,common,36.064414439493994,,peak_abundance_with_occupancy_days_modifiers,0.8616
ribgul,US-IL,0.8166471765455577,0.884525,1.2629,nonbreeding,0.0715,0.0227,0.0311,105.0,7.1499999999999995,0.34056832498465267,common,34.05683249846527,,peak_abundance_with_occupancy_days_modifiers,0.0715
comyel,US-IL,0.7998467992190011,0.467525,1.2252,breeding,0.9958,0.0186,0.0323,112.0,99.58,0.333562023451329,common,33.3562023451329,,peak_abundance_with_occupancy_days_modifiers,0.9958
horlar,US-IL,0.7674194249345327,0.6787,1.1542,nonbreeding,0.6548,,,,65.48,0.320038758005868,common,32.0038758005868,,peak_abundance_with_occupancy_days_modifiers,0.6548
cedwax,US-IL,0.7393626043569083,0.4637,1.0946,postbreeding_migration,0.7733,0.0163,0.0274,126.0,77.33,0.3083381550246203,common,30.83381550246203,,peak_abundance_with_occupancy_days_modifiers,0.7733
