species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-IN,2.8126023901520916,11.501050000000001,15.6532,nonbreeding,0.9808,0.0077,0.0116,140.0,98.08,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9808
snogoo,US-IN,2.9486406660201405,7.617449999999999,18.08,nonbreeding,0.0989,0.0151,0.0128,91.0,9.89,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.0989
rewbla,US-IN,2.687636587191717,8.523399999999999,13.6969,postbreeding_migration,0.9837,0.0131,0.0186,126.0,98.37,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9837
comgra,US-IN,2.558149366764021,6.744425,11.9119,nonbreeding,0.165,0.0182,0.0396,112.0,16.5,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.165
sancra,US-IN,2.268904206625157,5.4566,8.6688,nonbreeding,0.6198,0.0667,0.0656,119.0,61.980000000000004,0.9462065472014215,abundant,94.62065472014216,,peak_abundance_with_occupancy_days_modifiers,0.6198
cangoo,US-IN,2.2615130672185813,5.274175,8.5976,prebreeding_migration,0.9944,0.0234,0.0175,119.0,99.44,0.9431242026593473,abundant,94.31242026593473,,peak_abundance_with_occupancy_days_modifiers,0.9944
gwfgoo,US-IN,1.8454582015619896,2.48975,5.331,nonbreeding,0.2169,0.011,0.0048,42.0,21.69,0.7696158470708852,abundant,76.96158470708852,,peak_abundance_with_occupancy_days_modifiers,0.2169
amerob,US-IN,1.586803679925166,2.9846,3.8881,postbreeding_migration,0.9991,0.0134,0.0147,98.0,99.91,0.6617485333599862,common,66.17485333599862,,peak_abundance_with_occupancy_days_modifiers,0.9991
amecro,US-IN,1.4636951203806476,2.1095,3.3219,nonbreeding,0.9952,0.0198,0.0244,147.0,99.52,0.6104082763683414,common,61.04082763683414,,peak_abundance_with_occupancy_days_modifiers,0.9952
daejun,US-IN,1.341872143567144,1.161475,2.8262,nonbreeding,0.9904,0.0147,0.0147,98.0,99.03999999999999,0.5596041490173855,common,55.96041490173855,,peak_abundance_with_occupancy_days_modifiers,0.9904
