species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,US-KS,4.261284537810972,29.795824999999997,69.901,nonbreeding,0.5982,0.2071,0.1122,140.0,59.81999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5982
eursta,US-KS,2.417091655759523,6.3703,10.2132,nonbreeding,0.9935,0.0176,0.0172,140.0,99.35000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9935
cangoo,US-KS,2.98416057900079,8.679025000000001,18.7699,nonbreeding,0.624,0.0596,0.1071,119.0,62.4,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.624
rewbla,US-KS,4.035220688719361,34.083225,55.5554,nonbreeding,0.9961,0.0513,0.1542,126.0,99.61,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9961
laplon,US-KS,2.3215736635457307,4.4103666666666665,9.1917,nonbreeding,0.8432,,,,84.32,0.9681714167760246,abundant,96.81714167760246,,peak_abundance_with_occupancy_days_modifiers,0.8432
daejun,US-KS,2.0380073806572296,3.7288666666666668,6.6753,nonbreeding,0.9995,0.0337,0.0787,91.0,99.95,0.8499150916957487,abundant,84.99150916957487,,peak_abundance_with_occupancy_days_modifiers,0.9995
mallar3,US-KS,2.0333845140875315,3.369575,6.6399,nonbreeding,0.288,0.0063,0.0098,126.0,28.799999999999997,0.8479872065949524,abundant,84.79872065949525,,peak_abundance_with_occupancy_days_modifiers,0.288
sancra,US-KS,2.0310388024516683,3.33515,6.622,prebreeding_migration,0.5371,0.0365,0.0762,77.0,53.71,0.8470089688618566,abundant,84.70089688618566,,peak_abundance_with_occupancy_days_modifiers,0.5371
amerob,US-KS,1.7864788847841295,3.31245,4.9684,postbreeding_migration,0.9987,0.0326,0.0442,98.0,99.87,0.745019561550446,common,74.5019561550446,,peak_abundance_with_occupancy_days_modifiers,0.9987
moudov,US-KS,1.7645081693207425,2.52365,4.8387,breeding,1.0,0.0338,0.0539,119.0,100.0,0.7358570615394481,common,73.58570615394481,,peak_abundance_with_occupancy_days_modifiers,1.0
fragul,US-KS,1.6880642328892899,1.218775,4.409,postbreeding_migration,0.1807,0.0308,0.1348,154.0,18.07,0.7039774639195564,common,70.39774639195564,,peak_abundance_with_occupancy_days_modifiers,0.1807
amtspa,US-KS,1.5954201206658964,1.8114,3.9304,nonbreeding,0.9883,0.0682,0.1956,70.0,98.83,0.6653418682476584,common,66.53418682476584,,peak_abundance_with_occupancy_days_modifiers,0.9883
bnhcow,US-KS,1.5722758787453324,2.489,3.8176,postbreeding_migration,0.9998,0.0819,0.0852,147.0,99.98,0.6556899696918242,common,65.56899696918242,,peak_abundance_with_occupancy_days_modifiers,0.9998
comgra,US-KS,1.5394016396504322,1.738525,3.6618,postbreeding_migration,0.986,0.0433,0.0456,112.0,98.6,0.6419803471458255,common,64.19803471458255,,peak_abundance_with_occupancy_days_modifiers,0.986
horlar,US-KS,1.4058273442222047,1.6548499999999997,3.0789,nonbreeding,0.9283,,,,92.83,0.5862755392905832,common,58.627553929058315,,peak_abundance_with_occupancy_days_modifiers,0.9283
rosgoo,US-KS,1.3921770242780462,1.2374333333333334,3.0236,nonbreeding,0.4587,0.1979,0.4206,98.0,45.87,0.5805829137205646,common,58.05829137205646,,peak_abundance_with_occupancy_days_modifiers,0.4587
dickci,US-KS,1.3465915317672692,1.2958666666666667,2.8443,breeding,0.9859,0.0886,0.1929,91.0,98.59,0.5615722867645432,common,56.15722867645432,,peak_abundance_with_occupancy_days_modifiers,0.9859
