species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comgra,US-KY,3.0594532731118407,8.6628,20.3159,nonbreeding,0.4274,0.0254,0.0752,112.0,42.74,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4274
rewbla,US-KY,2.8703561079122633,7.687774999999999,16.6433,nonbreeding,0.6229,0.0158,0.0175,126.0,62.29,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6229
eursta,US-KY,2.7841837394585065,8.148850000000001,15.1866,nonbreeding,0.7196,0.0063,0.0126,140.0,71.96000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7196
snogoo,US-KY,2.382744716909535,5.109866666666667,9.8346,nonbreeding,0.0721,0.0123,0.0078,98.0,7.21,0.9936817274462721,abundant,99.36817274462722,,peak_abundance_with_occupancy_days_modifiers,0.0721
amerob,US-KY,1.7273276090686662,3.1355,4.6256,nonbreeding,0.9928,0.0167,0.0236,98.0,99.28,0.7203515635830315,common,72.03515635830315,,peak_abundance_with_occupancy_days_modifiers,0.9928
amecro,US-KY,1.4940719532933218,2.42615,3.4552,nonbreeding,0.9999,0.0221,0.0283,147.0,99.99,0.6230763996418087,common,62.30763996418087,,peak_abundance_with_occupancy_days_modifiers,0.9999
blujay,US-KY,1.316810297589305,1.739,2.7315,postbreeding_migration,0.9999,0.0186,0.0257,112.0,99.99,0.5491525474557414,common,54.91525474557414,,peak_abundance_with_occupancy_days_modifiers,0.9999
norcar,US-KY,1.2914065920875724,2.6379,2.6379,resident,0.9999,0.0246,0.0347,365.0,99.99,0.5385583793993165,common,53.85583793993165,,peak_abundance_with_occupancy_days_modifiers,0.9999
purmar,US-KY,1.1584208913569707,0.8591666666666667,2.1849,postbreeding_migration,0.7714,0.0293,0.0405,98.0,77.14,0.4830990345984045,common,48.30990345984045,,peak_abundance_with_occupancy_days_modifiers,0.7714
indbun,US-KY,1.148322664233769,1.1249666666666667,2.1529,breeding,0.9986,0.0255,0.06,98.0,99.86,0.47888774679207047,common,47.888774679207046,,peak_abundance_with_occupancy_days_modifiers,0.9986
cangoo,US-KY,1.1461000177354652,1.4417,2.1459,nonbreeding,0.3305,0.0155,0.006,119.0,33.050000000000004,0.47796083120759214,common,47.796083120759214,,peak_abundance_with_occupancy_days_modifiers,0.3305
turvul,US-KY,1.1156660432339371,1.501425,2.0516,postbreeding_migration,0.9999,0.0051,0.0109,126.0,99.99,0.4652688780406754,common,46.52688780406754,,peak_abundance_with_occupancy_days_modifiers,0.9999
sonspa,US-KY,1.1086616245211112,1.185725,2.0303,nonbreeding,1.0,0.0197,0.0514,119.0,100.0,0.4623478085543288,common,46.23478085543288,,peak_abundance_with_occupancy_days_modifiers,1.0
daejun,US-KY,1.1080344272470144,0.803475,2.0284,nonbreeding,0.9786,0.0162,0.0118,98.0,97.86,0.46208624697521755,common,46.208624697521756,,peak_abundance_with_occupancy_days_modifiers,0.9786
amegfi,US-KY,1.0979120435537164,1.738175,1.9979,nonbreeding,0.9999,0.0177,0.0327,112.0,99.99,0.45786488509668755,common,45.78648850966876,,peak_abundance_with_occupancy_days_modifiers,0.9999
whtspa,US-KY,1.0680156146906423,0.840525,1.9096,nonbreeding,0.9984,0.0399,0.0504,98.0,99.83999999999999,0.44539710587287495,common,44.539710587287495,,peak_abundance_with_occupancy_days_modifiers,0.9984
moudov,US-KY,1.0414068148973306,1.59005,1.8332,nonbreeding,0.9689,0.0162,0.0208,119.0,96.89,0.4343003744621411,common,43.43003744621411,,peak_abundance_with_occupancy_days_modifiers,0.9689
mallar3,US-KY,0.9992338446878308,0.81495,1.7162,nonbreeding,0.1582,0.0017,0.0011,126.0,15.82,0.41671287984221,common,41.671287984221,,peak_abundance_with_occupancy_days_modifiers,0.1582
carchi,US-KY,0.9654617758806044,1.626,1.626,resident,0.9966,0.0515,0.0644,365.0,99.66000000000001,0.40262883322418813,common,40.262883322418816,,peak_abundance_with_occupancy_days_modifiers,0.9966
bnhcow,US-KY,0.914048219321375,1.0927,1.4944,prebreeding_migration,0.9985,0.0163,0.0145,147.0,99.85000000000001,0.381187714780667,common,38.1187714780667,,peak_abundance_with_occupancy_days_modifiers,0.9985
tuftit,US-KY,0.9080972568456273,1.4796,1.4796,resident,0.9914,0.0431,0.055,365.0,99.14,0.37870597066812994,common,37.87059706681299,,peak_abundance_with_occupancy_days_modifiers,0.9914
carwre,US-KY,0.7999366747414631,1.2254,1.2254,resident,0.9997,0.0396,0.042,365.0,99.97,0.3335995044553918,common,33.359950445539184,,peak_abundance_with_occupancy_days_modifiers,0.9997
sancra,US-KY,0.7994872163312718,0.7886666666666665,1.2244,nonbreeding,0.307,0.0368,0.0103,91.0,30.7,0.3334120657397441,common,33.34120657397441,,peak_abundance_with_occupancy_days_modifiers,0.307
ribgul,US-KY,0.7969665091989425,0.49075,1.2188,nonbreeding,0.0378,0.0086,0.0215,105.0,3.7800000000000002,0.3323608492162685,rare,33.236084921626855,rare,peak_abundance_with_occupancy_days_modifiers,0.0378
gwfgoo,US-KY,0.7646302821818096,0.5617666666666667,1.1482,nonbreeding,0.0769,0.0043,0.0011,42.0,7.6899999999999995,0.3188755951336763,common,31.88755951336763,,peak_abundance_with_occupancy_days_modifiers,0.0769
cedwax,US-KY,0.7275002969316078,0.44380000000000003,1.0699,postbreeding_migration,0.9791,0.0207,0.0191,126.0,97.91,0.30339118859123765,common,30.339118859123765,,peak_abundance_with_occupancy_days_modifiers,0.9791
barswa,US-KY,0.7176934409779455,0.5990333333333334,1.0497,breeding,0.8155,0.0016,0.0016,119.0,81.55,0.2993014120005288,common,29.93014120005288,,peak_abundance_with_occupancy_days_modifiers,0.8155
easblu,US-KY,0.7071487001957589,0.7023999999999999,1.0282,nonbreeding,0.9901,0.0286,0.0374,105.0,99.00999999999999,0.2949039135351847,common,29.49039135351847,,peak_abundance_with_occupancy_days_modifiers,0.9901
reevir1,US-KY,0.6687520237252237,0.5508666666666667,0.9518,breeding,0.8953,0.0138,0.0365,84.0,89.53,0.2788912557239343,fairly_common,27.889125572393432,,peak_abundance_with_occupancy_days_modifiers,0.8953
fiespa,US-KY,0.6123166626453966,0.71655,0.8447,prebreeding_migration,0.9482,0.0405,0.0925,119.0,94.82000000000001,0.25535588213192323,fairly_common,25.535588213192323,,peak_abundance_with_occupancy_days_modifiers,0.9482
rebwoo,US-KY,0.6073714035385414,0.8356,0.8356,resident,0.9978,0.0328,0.0356,365.0,99.78,0.2532935489003788,common,25.32935489003788,,peak_abundance_with_occupancy_days_modifiers,0.9978
