species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-LA,4.874377903599124,47.050625,129.8927,nonbreeding,0.8092,0.0246,0.1635,126.0,80.92,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8092
snogoo,US-LA,4.24342957605811,34.74036666666667,68.6463,nonbreeding,0.3093,0.0632,0.065,91.0,30.930000000000003,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3093
treswa,US-LA,3.206256535511823,7.643374999999999,23.6865,postbreeding_migration,0.5486,0.0904,0.3108,161.0,54.86,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5486
laugul,US-LA,2.544142071818971,6.2604500000000005,11.7323,breeding,0.2278,0.0943,0.3879,161.0,22.78,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.2278
brnpel,US-LA,2.1901216332714095,3.98175,7.9363,breeding,0.097,0.0619,0.3716,161.0,9.700000000000001,0.913351662233152,abundant,91.3351662233152,,peak_abundance_with_occupancy_days_modifiers,0.097
bnhcow,US-LA,2.118445885273066,4.0522,7.3182,nonbreeding,0.507,0.027,0.0971,147.0,50.7,0.8834605536382812,abundant,88.34605536382813,,peak_abundance_with_occupancy_days_modifiers,0.507
comgra,US-LA,2.0458330505060065,3.802025,6.7356,nonbreeding,0.6976,0.0498,0.0299,112.0,69.76,0.8531786495072806,abundant,85.31786495072807,,peak_abundance_with_occupancy_days_modifiers,0.6976
santer1,US-LA,1.9958832867050098,1.979275,6.3587,breeding,0.0601,0.0188,0.5958,126.0,6.01,0.8323479800582748,abundant,83.23479800582749,,peak_abundance_with_occupancy_days_modifiers,0.0601
gwfgoo,US-LA,1.9864075194622905,3.6360999999999994,6.2893,nonbreeding,0.3357,0.0228,0.0075,42.0,33.57,0.828396278184464,abundant,82.8396278184464,,peak_abundance_with_occupancy_days_modifiers,0.3357
amerob,US-LA,1.8521644590840192,2.2710749999999997,5.3736,nonbreeding,0.9211,0.0186,0.0329,98.0,92.11,0.7724125736828041,abundant,77.24125736828042,,peak_abundance_with_occupancy_days_modifiers,0.9211
doccor,US-LA,1.8201849434117587,2.087425,5.173,nonbreeding,0.388,0.0914,0.18,147.0,38.800000000000004,0.7590760797854122,abundant,75.90760797854122,,peak_abundance_with_occupancy_days_modifiers,0.388
yerwar,US-LA,1.8148084553814712,2.2756666666666665,5.1399,nonbreeding,0.9505,0.0246,0.1073,91.0,95.05,0.7568339101246775,abundant,75.68339101246775,,peak_abundance_with_occupancy_days_modifiers,0.9505
y00475,US-LA,1.801396219566857,2.431875,5.0581,nonbreeding,0.2343,0.0528,0.0953,112.0,23.43,0.7512405733485631,abundant,75.1240573348563,,peak_abundance_with_occupancy_days_modifiers,0.2343
norsho,US-LA,1.7243189636260203,2.1515500000000003,4.6087,nonbreeding,0.3021,0.0097,0.0273,140.0,30.209999999999997,0.7190968609791373,common,71.90968609791372,,peak_abundance_with_occupancy_days_modifiers,0.3021
categr1,US-LA,1.6995608159337416,2.480953336374788,4.471543849090664,postbreeding_migration,0.4938201112092959,0.0064590950965,0.021714614404899,140.0,49.38201112092959,0.7087719114397915,common,70.87719114397915,,peak_abundance_with_occupancy_days_modifiers,0.4938201112092959
whiibi,US-LA,1.6500038741807619,3.58245,4.207,nonbreeding,0.4329,0.1154,0.3833,105.0,43.29,0.6881050615088744,common,68.81050615088743,,peak_abundance_with_occupancy_days_modifiers,0.4329
greegr,US-LA,1.5975475008407523,2.3367,3.9409,breeding,0.7012,0.003,0.0342,133.0,70.12,0.666229054689447,common,66.62290546894471,,peak_abundance_with_occupancy_days_modifiers,0.7012
gnwtea,US-LA,1.5677196830820297,1.69395,3.7957,nonbreeding,0.3073,0.0046,0.0072,98.0,30.73,0.6537898885185602,common,65.37898885185602,,peak_abundance_with_occupancy_days_modifiers,0.3073
killde,US-LA,1.504188501715003,1.7078000000000002,3.5005,nonbreeding,0.6841,0.0392,0.1633,161.0,68.41000000000001,0.6272953280230618,common,62.729532802306174,,peak_abundance_with_occupancy_days_modifiers,0.6841
whfibi,US-LA,1.4756779222545762,1.992075,3.374,nonbreeding,0.2686,0.014,0.0272,119.0,26.86,0.615405492889789,common,61.540549288978895,,peak_abundance_with_occupancy_days_modifiers,0.2686
eursta,US-LA,1.4412322558755568,1.9663,3.2259,nonbreeding,0.5937,0.0062,0.0032,140.0,59.37,0.6010405342655447,common,60.10405342655447,,peak_abundance_with_occupancy_days_modifiers,0.5937
norcar,US-LA,1.421661504957182,3.144,3.144,resident,0.9172,0.0271,0.0496,365.0,91.72,0.5928788972080865,common,59.28788972080865,,peak_abundance_with_occupancy_days_modifiers,0.9172
amecro,US-LA,1.3918538783251229,2.05675,3.0223,nonbreeding,0.8745,0.0232,0.0297,147.0,87.45,0.5804481513910379,common,58.04481513910379,,peak_abundance_with_occupancy_days_modifiers,0.8745
ribgul,US-LA,1.3895141719610888,1.0518750000000001,3.0129,nonbreeding,0.2837,0.0772,0.0637,105.0,28.37,0.5794724180508143,common,57.947241805081426,,peak_abundance_with_occupancy_days_modifiers,0.2837
royter1,US-LA,1.344065126902154,0.977125,2.8346,breeding,0.0741,0.045,0.4966,126.0,7.41,0.5605186941019384,common,56.051869410193845,,peak_abundance_with_occupancy_days_modifiers,0.0741
norpin,US-LA,1.3292741730204418,1.3743,2.7783,nonbreeding,0.2449,0.008,0.0195,119.0,24.490000000000002,0.5543503872332022,common,55.43503872332022,,peak_abundance_with_occupancy_days_modifiers,0.2449
savspa,US-LA,1.249385843852431,1.2502333333333333,2.4882,nonbreeding,0.738,0.0327,0.1018,98.0,73.8,0.5210343662733793,common,52.10343662733793,,peak_abundance_with_occupancy_days_modifiers,0.738
turvul,US-LA,1.2301082779305619,1.496375,2.4216,nonbreeding,0.9302,0.0058,0.0219,126.0,93.02,0.5129949968561437,common,51.29949968561437,,peak_abundance_with_occupancy_days_modifiers,0.9302
gadwal,US-LA,1.2205643994188557,1.036175,2.3891,nonbreeding,0.3187,0.0094,0.0268,112.0,31.869999999999997,0.5090148903769443,common,50.901489037694425,,peak_abundance_with_occupancy_days_modifiers,0.3187
libher,US-LA,1.13166014271431,0.943,2.1008,breeding,0.6623,0.0688,0.3391,133.0,66.23,0.47193893559565253,common,47.193893559565254,,peak_abundance_with_occupancy_days_modifiers,0.6623
whtspa,US-LA,1.1149120560815624,0.9738000000000001,2.0493,nonbreeding,0.9093,0.0437,0.0649,98.0,90.93,0.4649544409754174,common,46.495444097541736,,peak_abundance_with_occupancy_days_modifiers,0.9093
