species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comeid,US-MA,3.483063042131739,12.506900000000002,31.5593,postbreeding_migration,0.1436,0.0144,0.0697,84.0,14.360000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1436
cangoo,US-MA,2.0558914012195753,4.374874999999999,6.8138,nonbreeding,0.5773,0.0063,0.0044,119.0,57.730000000000004,0.8573733075591442,abundant,85.73733075591441,,peak_abundance_with_occupancy_days_modifiers,0.5773
amhgul1,US-MA,1.9663871534915487,5.045125335664453,6.14481667672579,nonbreeding,0.2316823761484244,0.0154060690723292,0.0615341215352231,133.0,23.16823761484244,0.820047137086497,abundant,82.0047137086497,,peak_abundance_with_occupancy_days_modifiers,0.2316823761484244
amerob,US-MA,1.9487204820818167,4.203725,6.0197,postbreeding_migration,0.9269,0.0035,0.0058,98.0,92.69,0.8126795628599901,abundant,81.267956285999,,peak_abundance_with_occupancy_days_modifiers,0.9269
comter,US-MA,1.7796194093338864,2.483575,4.9276,breeding,0.1514,0.0003,0.0084,133.0,15.14,0.7421589380995153,common,74.21589380995152,,peak_abundance_with_occupancy_days_modifiers,0.1514
eursta,US-MA,1.7491128945065824,3.068425,4.7495,nonbreeding,0.6888,0.0014,0.0009,140.0,68.88,0.7294367332670655,common,72.94367332670654,,peak_abundance_with_occupancy_days_modifiers,0.6888
treswa,US-MA,1.696074219093647,1.564875,4.4525,postbreeding_migration,0.9553,0.0028,0.0112,161.0,95.53,0.7073178876216347,common,70.73178876216348,,peak_abundance_with_occupancy_days_modifiers,0.9553
comgra,US-MA,1.5739972458940814,2.178325,3.8259,postbreeding_migration,0.6115,0.0037,0.0062,112.0,61.150000000000006,0.6564078355503862,common,65.64078355503862,,peak_abundance_with_occupancy_days_modifiers,0.6115
doccor,US-MA,1.5696362305511637,1.7300750000000003,3.8049,postbreeding_migration,0.2918,0.0067,0.0222,147.0,29.18,0.6545891508928915,common,65.45891508928915,,peak_abundance_with_occupancy_days_modifiers,0.2918
amecro,US-MA,1.52714266970727,2.371,3.605,nonbreeding,0.9469,0.0048,0.0068,147.0,94.69,0.6368679595940308,common,63.68679595940308,,peak_abundance_with_occupancy_days_modifiers,0.9469
blujay,US-MA,1.523705716942851,2.40815,3.5892,postbreeding_migration,0.9207,0.0039,0.0079,112.0,92.07,0.6354346389634727,common,63.543463896347276,,peak_abundance_with_occupancy_days_modifiers,0.9207
rewbla,US-MA,1.4458360438282065,2.3651999999999997,3.2454,prebreeding_migration,0.9386,0.003,0.0026,126.0,93.86,0.6029604629650483,common,60.296046296504834,,peak_abundance_with_occupancy_days_modifiers,0.9386
bkcchi,US-MA,1.4339648510689802,3.1953,3.1953,resident,0.9003,0.0041,0.0122,365.0,90.03,0.5980097910596099,common,59.80097910596099,,peak_abundance_with_occupancy_days_modifiers,0.9003
daejun,US-MA,1.3194866005382762,1.5514,2.7415,nonbreeding,0.8653,0.0033,0.0037,105.0,86.53,0.5502686524747264,common,55.02686524747264,,peak_abundance_with_occupancy_days_modifiers,0.8653
sursco,US-MA,1.286087210702859,1.187675,2.6186,nonbreeding,0.1313,0.024,0.0569,126.0,13.13,0.5363400250595518,common,53.63400250595518,,peak_abundance_with_occupancy_days_modifiers,0.1313
amegfi,US-MA,1.1738743565019032,1.9964750000000002,2.2345,postbreeding_migration,0.9382,0.0038,0.01,112.0,93.82000000000001,0.48954363012358687,common,48.954363012358684,,peak_abundance_with_occupancy_days_modifiers,0.9382
lotduc,US-MA,1.167858461404924,1.3018,2.2151,nonbreeding,0.1412,0.0112,0.0159,105.0,14.12,0.4870348070047363,common,48.70348070047363,,peak_abundance_with_occupancy_days_modifiers,0.1412
grycat,US-MA,1.1401700124731875,0.9934000000000001,2.1273,breeding,0.9352,0.0051,0.0237,126.0,93.52000000000001,0.4754878269319061,common,47.54878269319061,,peak_abundance_with_occupancy_days_modifiers,0.9352
sonspa,US-MA,1.1012089145153756,1.6128,2.0078,postbreeding_migration,0.9563,0.0031,0.0101,119.0,95.63000000000001,0.4592397870780455,common,45.92397870780455,,peak_abundance_with_occupancy_days_modifiers,0.9563
cedwax,US-MA,1.0605988464698934,1.174675,1.8881,breeding,0.9269,0.0044,0.0077,126.0,92.69,0.44230407328513666,common,44.230407328513664,,peak_abundance_with_occupancy_days_modifiers,0.9269
