species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-MD,2.5724900853431456,8.129925,12.0984,nonbreeding,0.8914,0.0022,0.0029,140.0,89.14,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8914
comgra,US-MD,3.971048231245362,24.059025000000002,52.0401,nonbreeding,0.7386,0.0126,0.055,112.0,73.86,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7386
rewbla,US-MD,3.6119633119698333,15.9498,36.0387,nonbreeding,0.8377,0.0061,0.0108,126.0,83.77,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8377
cangoo,US-MD,3.749414660168195,20.623925,41.4962,nonbreeding,0.8611,0.0116,0.0333,119.0,86.11,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8611
snogoo,US-MD,3.412015322831301,15.2828,29.3263,nonbreeding,0.1959,0.0095,0.0066,140.0,19.59,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1959
amerob,US-MD,1.8479507488777975,3.821275,5.3468,postbreeding_migration,0.9368,0.0044,0.0065,98.0,93.67999999999999,0.7706553200387347,abundant,77.06553200387347,,peak_abundance_with_occupancy_days_modifiers,0.9368
whtspa,US-MD,1.7163532187782256,2.22465,4.5642,nonbreeding,0.8872,0.0101,0.0344,98.0,88.72,0.7157748873557859,common,71.57748873557858,,peak_abundance_with_occupancy_days_modifiers,0.8872
ribgul,US-MD,1.616532684909967,2.1706499999999997,4.0356,nonbreeding,0.3579,0.0232,0.0203,105.0,35.79,0.6741464914034612,common,67.41464914034611,,peak_abundance_with_occupancy_days_modifiers,0.3579
daejun,US-MD,1.54154443639045,1.5584500000000001,3.6718,nonbreeding,0.9084,0.0043,0.0061,105.0,90.84,0.6428739627946513,common,64.28739627946513,,peak_abundance_with_occupancy_days_modifiers,0.9084
amecro,US-MD,1.4764092505621509,2.196375,3.3772,nonbreeding,0.9419,0.006,0.0079,147.0,94.19,0.615710480482813,common,61.5710480482813,,peak_abundance_with_occupancy_days_modifiers,0.9419
laugul,US-MD,1.4087649947472578,1.3148749999999998,3.0909,postbreeding_migration,0.2655,0.0378,0.0308,161.0,26.55,0.5875006347142147,common,58.75006347142146,,peak_abundance_with_occupancy_days_modifiers,0.2655
amhgul1,US-MD,1.3980697290953135,1.8534908839556006,3.0473798822050155,nonbreeding,0.2021234529025473,0.0166795894040437,0.0378707124277211,133.0,20.21234529025473,0.5830403625024668,common,58.30403625024668,,peak_abundance_with_occupancy_days_modifiers,0.2021234529025473
blujay,US-MD,1.3137774302807135,1.5983500000000002,2.7202,postbreeding_migration,0.9126,0.0047,0.0073,112.0,91.25999999999999,0.547887743549167,common,54.788774354916704,,peak_abundance_with_occupancy_days_modifiers,0.9126
bnhcow,US-MD,1.3132127851182989,1.7934999999999999,2.7181,postbreeding_migration,0.9597,0.0088,0.0085,147.0,95.97,0.547652268226779,common,54.7652268226779,,peak_abundance_with_occupancy_days_modifiers,0.9597
