species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
bkcchi,US-ME,1.3935678450863889,3.0292,3.0292,resident,0.9731,0.0162,0.0426,365.0,97.31,0.5811629310483103,common,58.11629310483103,,peak_abundance_with_occupancy_days_modifiers,0.9731
blujay,US-ME,1.2225688216080086,1.7762000000000002,2.3959,nonbreeding,0.9683,0.0154,0.0242,112.0,96.83,0.5098507993559106,common,50.98507993559106,,peak_abundance_with_occupancy_days_modifiers,0.9683
cangoo,US-ME,1.1543623037726016,0.823075,2.172,postbreeding_migration,0.4421,0.0078,0.0026,119.0,44.21,0.4814064721122903,common,48.14064721122903,,peak_abundance_with_occupancy_days_modifiers,0.4421
amerob,US-ME,1.09051291041146,1.40455,1.9758,prebreeding_migration,0.9749,0.0062,0.007,98.0,97.49,0.454779206907906,common,45.477920690790604,,peak_abundance_with_occupancy_days_modifiers,0.9749
amecro,US-ME,1.07476348663612,1.377625,1.9293,prebreeding_migration,0.9907,0.0108,0.0141,147.0,99.07000000000001,0.4482111870473221,common,44.82111870473221,,peak_abundance_with_occupancy_days_modifiers,0.9907
reevir1,US-ME,1.0519049539027823,0.8194333333333333,1.8631,breeding,0.9674,0.0127,0.0279,98.0,96.74000000000001,0.43867843847708893,common,43.86784384770889,,peak_abundance_with_occupancy_days_modifiers,0.9674
amhgul1,US-ME,0.9632618560681294,1.5151203237054505,1.6202293603719862,prebreeding_migration,0.1145733580185796,0.0197398357640418,0.0518687791558122,133.0,11.45733580185796,0.40171139540385015,common,40.17113954038501,,peak_abundance_with_occupancy_days_modifiers,0.1145733580185796
redpol1,US-ME,0.899002930761953,1.057426209815849,1.4571519387543792,nonbreeding,0.6639353404055713,0.0094442388802772,0.008267518483659,77.0,66.39353404055713,0.3749133421130634,common,37.49133421130634,,peak_abundance_with_occupancy_days_modifiers,0.6639353404055713
comyel,US-ME,0.8787549983450507,0.5213749999999999,1.4079,breeding,0.982,0.011,0.0226,126.0,98.2,0.366469298435846,common,36.6469298435846,,peak_abundance_with_occupancy_days_modifiers,0.982
evegro,US-ME,0.8682762667723953,0.61425,1.3828,nonbreeding,0.738,0.0291,0.0479,161.0,73.8,0.36209932794900884,common,36.20993279490089,,peak_abundance_with_occupancy_days_modifiers,0.738
