species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-MI,1.979925027642591,4.299,6.2422,postbreeding_migration,0.93,0.0198,0.0163,119.0,93.0,0.8256928691185067,abundant,82.56928691185067,,peak_abundance_with_occupancy_days_modifiers,0.93
eursta,US-MI,1.8470522549767636,3.26125,5.3411,postbreeding_migration,0.5454,0.007,0.0041,140.0,54.54,0.7702806189785065,abundant,77.02806189785065,,peak_abundance_with_occupancy_days_modifiers,0.5454
rewbla,US-MI,1.7240693202581048,2.7887,4.6073,postbreeding_migration,0.756,0.0207,0.0214,126.0,75.6,0.7189927516084123,common,71.89927516084123,,peak_abundance_with_occupancy_days_modifiers,0.756
blujay,US-MI,1.3246848794881994,1.95545,2.761,postbreeding_migration,0.9916,0.0288,0.049,112.0,99.16,0.5524365031765033,common,55.24365031765033,,peak_abundance_with_occupancy_days_modifiers,0.9916
comgra,US-MI,1.2629678638325084,1.3344,2.5359,postbreeding_migration,0.9137,0.0309,0.029,112.0,91.36999999999999,0.5266985085460428,common,52.669850854604285,,peak_abundance_with_occupancy_days_modifiers,0.9137
amerob,US-MI,1.211732618937376,1.77475,2.3593,breeding,0.9935,0.0116,0.0202,98.0,99.35000000000001,0.5053317518422189,common,50.53317518422189,,peak_abundance_with_occupancy_days_modifiers,0.9935
bkcchi,US-MI,1.1236300516433975,2.076,2.076,resident,0.9228,0.0282,0.0537,365.0,92.28,0.46859012751299545,common,46.859012751299545,,peak_abundance_with_occupancy_days_modifiers,0.9228
amecro,US-MI,1.104229814118816,1.617,2.0169,prebreeding_migration,0.9782,0.0304,0.0272,147.0,97.82,0.46049960006392077,common,46.04996000639208,,peak_abundance_with_occupancy_days_modifiers,0.9782
amegfi,US-MI,0.9646998710818426,1.397125,1.624,postbreeding_migration,0.9872,0.0252,0.0413,112.0,98.72,0.402311094243923,common,40.2311094243923,,peak_abundance_with_occupancy_days_modifiers,0.9872
sancra,US-MI,0.9366030331860333,0.711375,1.5513,postbreeding_migration,0.7178,0.0222,0.0235,119.0,71.78,0.3905938027447742,common,39.05938027447742,,peak_abundance_with_occupancy_days_modifiers,0.7178
moudov,US-MI,0.8976785956621731,1.189725,1.4539,nonbreeding,0.802,0.021,0.0258,119.0,80.2,0.3743610514793551,common,37.436105147935514,,peak_abundance_with_occupancy_days_modifiers,0.802
sonspa,US-MI,0.8656288170719271,0.729475,1.3765,breeding,0.9835,0.0217,0.041,119.0,98.35000000000001,0.36099525566924723,common,36.099525566924726,,peak_abundance_with_occupancy_days_modifiers,0.9835
cedwax,US-MI,0.8601435712511539,0.6638999999999999,1.3635,breeding,0.9878,0.0208,0.0346,126.0,98.78,0.35870773048706034,common,35.870773048706035,,peak_abundance_with_occupancy_days_modifiers,0.9878
ribgul,US-MI,0.8446658281988548,0.95855,1.3272,postbreeding_migration,0.1694,0.0268,0.0425,105.0,16.939999999999998,0.35225301028810996,common,35.225301028810996,,peak_abundance_with_occupancy_days_modifiers,0.1694
daejun,US-MI,0.8299046139148053,0.8671249999999999,1.2931,nonbreeding,0.658,0.0171,0.014,105.0,65.8,0.34609710579490705,common,34.6097105794907,,peak_abundance_with_occupancy_days_modifiers,0.658
reevir1,US-MI,0.8214084605039561,0.5701666666666666,1.2737,breeding,0.9563,0.0231,0.035,84.0,95.63000000000001,0.34255393462007333,common,34.25539346200733,,peak_abundance_with_occupancy_days_modifiers,0.9563
mallar3,US-MI,0.7547595496874677,0.7232999999999999,1.1271,prebreeding_migration,0.8489,0.0049,0.0024,126.0,84.89,0.3147591799564519,common,31.47591799564519,,peak_abundance_with_occupancy_days_modifiers,0.8489
snobun,US-MI,0.6975375288612382,0.5650666666666666,1.0088,nonbreeding,0.1818,,,,18.18,0.29089574376916133,common,29.089574376916133,,peak_abundance_with_occupancy_days_modifiers,0.1818
amhgul1,US-MI,0.695150854926517,0.8500612607602364,1.0040113661268455,postbreeding_migration,0.1054934813267522,0.038709973574845,0.0496446160863702,133.0,10.54934813267522,0.2899004234306147,common,28.990042343061468,,peak_abundance_with_occupancy_days_modifiers,0.1054934813267522
comyel,US-MI,0.597736995755287,0.4058,0.818,breeding,0.9646,0.0195,0.0241,105.0,96.46000000000001,0.24927568878257195,fairly_common,24.927568878257194,,peak_abundance_with_occupancy_days_modifiers,0.9646
tunswa,US-MI,0.5946519338108461,0.46166666666666667,0.8124,prebreeding_migration,0.1522,0.0124,0.0056,56.0,15.22,0.24798911802218976,fairly_common,24.798911802218974,,peak_abundance_with_occupancy_days_modifiers,0.1522
amtspa,US-MI,0.5539425828393956,0.33055,0.7401,nonbreeding,0.627,0.0333,0.0283,84.0,62.7,0.2310120000332368,fairly_common,23.10120000332368,,peak_abundance_with_occupancy_days_modifiers,0.627
doccor,US-MI,0.5418008980653107,0.39085,0.7191,breeding,0.0927,0.0152,0.0424,147.0,9.27,0.22594852419598088,fairly_common,22.594852419598087,,peak_abundance_with_occupancy_days_modifiers,0.0927
bnhcow,US-MI,0.534034208902872,0.400375,0.7058,prebreeding_migration,0.9085,0.0146,0.0107,147.0,90.85,0.22270956324112023,fairly_common,22.270956324112024,,peak_abundance_with_occupancy_days_modifiers,0.9085
chispa,US-MI,0.5049483865931145,0.32185,0.6569,breeding,0.976,0.0178,0.0208,147.0,97.6,0.21057983320674137,fairly_common,21.057983320674136,,peak_abundance_with_occupancy_days_modifiers,0.976
turvul,US-MI,0.48735226758034855,0.360425,0.628,breeding,0.9913,0.006,0.0075,126.0,99.13,0.20324168161506198,fairly_common,20.324168161506197,,peak_abundance_with_occupancy_days_modifiers,0.9913
barswa,US-MI,0.4853847312840379,0.39386666666666664,0.6248,breeding,0.5631,0.0018,0.0015,98.0,56.31,0.20242115524819748,fairly_common,20.24211552481975,,peak_abundance_with_occupancy_days_modifiers,0.5631
amered,US-MI,0.47306144934497346,0.4001666666666666,0.6049,breeding,0.7126,0.028,0.053,105.0,71.26,0.19728194751095424,fairly_common,19.728194751095423,,peak_abundance_with_occupancy_days_modifiers,0.7126
comgol,US-MI,0.4720016319084086,0.26735,0.6032,nonbreeding,0.0584,0.0004,0.0001,70.0,5.84,0.19683996931091047,fairly_common,19.68399693109105,,peak_abundance_with_occupancy_days_modifiers,0.0584
ovenbi1,US-MI,0.46517951188024337,0.27643333333333336,0.5923,breeding,0.5936,0.0277,0.0463,84.0,59.36,0.19399492428098147,fairly_common,19.399492428098146,,peak_abundance_with_occupancy_days_modifiers,0.5936
norcar,US-MI,0.46247536282494395,0.588,0.588,resident,0.5543,0.0214,0.0121,365.0,55.43,0.19286720653368236,common,19.286720653368235,,peak_abundance_with_occupancy_days_modifiers,0.5543
treswa,US-MI,0.4443011318933625,0.337775,0.5594,breeding,0.8284,0.0168,0.0158,147.0,82.84,0.18528796354598845,fairly_common,18.528796354598846,,peak_abundance_with_occupancy_days_modifiers,0.8284
