species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
snogoo,US-MN,2.4399790164328654,2.791225,10.4728,prebreeding_migration,0.3414,0.0152,0.0135,112.0,34.14,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3414
rewbla,US-MN,2.397249609857453,6.028325000000001,9.9929,postbreeding_migration,0.8618,0.0268,0.0409,126.0,86.18,0.9997307376396949,abundant,99.9730737639695,,peak_abundance_with_occupancy_days_modifiers,0.8618
cangoo,US-MN,2.3957657342125,5.6547,9.9766,prebreeding_migration,0.9851,0.0271,0.0282,119.0,98.50999999999999,0.9991119134309041,abundant,99.91119134309041,,peak_abundance_with_occupancy_days_modifiers,0.9851
gwfgoo,US-MN,2.3054908671402172,2.30285,9.0291,prebreeding_migration,0.38,0.0043,0.0,14.0,38.0,0.961464369730244,abundant,96.1464369730244,,peak_abundance_with_occupancy_days_modifiers,0.38
comgra,US-MN,1.851191222997467,2.32875,5.3674,postbreeding_migration,0.8999,0.0403,0.0483,112.0,89.99000000000001,0.7720067027102089,abundant,77.20067027102088,,peak_abundance_with_occupancy_days_modifiers,0.8999
mallar3,US-MN,1.803523336148297,2.203425,5.071,prebreeding_migration,0.9466,0.0076,0.0124,126.0,94.66,0.7521276498633591,abundant,75.21276498633591,,peak_abundance_with_occupancy_days_modifiers,0.9466
daejun,US-MN,1.1677029331529036,1.135575,2.2146,postbreeding_migration,0.9999,0.0196,0.034,105.0,99.99,0.48696994668586213,common,48.696994668586214,,peak_abundance_with_occupancy_days_modifiers,0.9999
amerob,US-MN,1.1385699097252346,1.444,2.1223,postbreeding_migration,0.9966,0.0155,0.0185,98.0,99.66000000000001,0.4748205322564028,common,47.48205322564028,,peak_abundance_with_occupancy_days_modifiers,0.9966
tunswa,US-MN,1.0876524484317678,0.5764750000000001,1.9673,prebreeding_migration,0.5138,0.0011,0.0001,28.0,51.38,0.4535863016079368,rare,45.35863016079368,rare,peak_abundance_with_occupancy_days_modifiers,0.5138
eursta,US-MN,1.0834309666724458,1.3991500000000001,1.9548,postbreeding_migration,0.6209,0.0102,0.0029,140.0,62.09,0.4518258069744929,common,45.182580697449296,,peak_abundance_with_occupancy_days_modifiers,0.6209
snobun,US-MN,1.0547648888878334,0.8977666666666666,1.8713,nonbreeding,0.4766,,,,47.660000000000004,0.43987112400322254,common,43.98711240032225,,peak_abundance_with_occupancy_days_modifiers,0.4766
blujay,US-MN,1.0289406154187906,1.2625250000000001,1.7981,postbreeding_migration,0.9728,0.0353,0.0394,112.0,97.28,0.42910156548163386,common,42.910156548163386,,peak_abundance_with_occupancy_days_modifiers,0.9728
amecro,US-MN,0.9843231422659819,1.2796,1.676,prebreeding_migration,1.0,0.0388,0.0299,147.0,100.0,0.4104946339534111,common,41.049463395341114,,peak_abundance_with_occupancy_days_modifiers,1.0
fragul,US-MN,0.9663752960415758,0.5058,1.6284,postbreeding_migration,0.4011,0.0696,0.0508,140.0,40.11,0.4030098007215323,common,40.30098007215323,,peak_abundance_with_occupancy_days_modifiers,0.4011
amegfi,US-MN,0.9654236944243649,0.94555,1.6259,breeding,0.9675,0.0322,0.0502,112.0,96.75,0.4026129520234236,common,40.26129520234236,,peak_abundance_with_occupancy_days_modifiers,0.9675
comyel,US-MN,0.9631743177730056,0.7369333333333334,1.62,breeding,0.9997,0.0268,0.0633,105.0,99.97,0.40167488909929344,common,40.16748890992935,,peak_abundance_with_occupancy_days_modifiers,0.9997
bkcchi,US-MN,0.9150099119744326,1.4968,1.4968,resident,0.7659,0.0311,0.0513,365.0,76.59,0.3815887717675867,common,38.15887717675867,,peak_abundance_with_occupancy_days_modifiers,0.7659
redpol1,US-MN,0.9030405356835955,0.968903518677441,1.4670930030554492,nonbreeding,0.3715035286656056,0.0127996232518052,0.0134163554219348,77.0,37.15035286656056,0.3765971541491623,common,37.65971541491623,,peak_abundance_with_occupancy_days_modifiers,0.3715035286656056
y00475,US-MN,0.8804562788649389,0.6092500000000001,1.412,postbreeding_migration,0.0946,0.0348,0.0274,105.0,9.46,0.36717878751953853,common,36.717878751953855,,peak_abundance_with_occupancy_days_modifiers,0.0946
sonspa,US-MN,0.8248769512378398,0.637275,1.2816,breeding,0.9971,0.0292,0.0506,119.0,99.71,0.3440004076054577,common,34.40004076054577,,peak_abundance_with_occupancy_days_modifiers,0.9971
