species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-MO,2.505542263388072,6.0935500000000005,11.2502,nonbreeding,0.6636,0.0537,0.0544,119.0,66.36,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6636
snogoo,US-MO,4.984795640572555,61.222425,145.1737,nonbreeding,0.239,0.0702,0.1976,133.0,23.9,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.239
rewbla,US-MO,4.254157751169817,36.324724999999994,69.3975,nonbreeding,0.7321,0.032,0.1256,126.0,73.21,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7321
comgra,US-MO,2.3186847944834694,4.85565,9.1623,nonbreeding,0.497,0.051,0.0585,112.0,49.7,0.9669666648024783,abundant,96.69666648024783,,peak_abundance_with_occupancy_days_modifiers,0.497
mallar3,US-MO,2.188520136706073,3.7911749999999995,7.922,nonbreeding,0.1803,0.0032,0.0087,126.0,18.029999999999998,0.912683786290652,abundant,91.26837862906521,,peak_abundance_with_occupancy_days_modifiers,0.1803
eursta,US-MO,2.111376160210182,4.3264499999999995,7.2596,nonbreeding,0.7305,0.011,0.0104,140.0,73.05,0.8805122492885946,abundant,88.05122492885945,,peak_abundance_with_occupancy_days_modifiers,0.7305
daejun,US-MO,2.0627784807832965,3.788766666666666,6.8678,nonbreeding,0.9648,0.0276,0.0687,91.0,96.48,0.8602454428195319,abundant,86.02454428195318,,peak_abundance_with_occupancy_days_modifiers,0.9648
gwfgoo,US-MO,1.96422707941262,3.031325,6.1294,nonbreeding,0.1958,0.0191,0.0105,42.0,19.580000000000002,0.8191463162277078,abundant,81.91463162277078,,peak_abundance_with_occupancy_days_modifiers,0.1958
amerob,US-MO,1.7946386537288974,3.296125,5.0173,postbreeding_migration,0.9991,0.0285,0.0364,98.0,99.91,0.748422449506952,abundant,74.8422449506952,,peak_abundance_with_occupancy_days_modifiers,0.9991
blujay,US-MO,1.3968880493307605,1.992175,3.0426,postbreeding_migration,1.0,0.0316,0.0495,112.0,100.0,0.5825475637643576,common,58.25475637643576,,peak_abundance_with_occupancy_days_modifiers,1.0
amecro,US-MO,1.371764309335565,2.122975,2.9423,nonbreeding,0.998,0.0381,0.0415,147.0,99.8,0.5720701503926402,common,57.20701503926402,,peak_abundance_with_occupancy_days_modifiers,0.998
amegfi,US-MO,1.2958224579558149,1.876475,2.654,postbreeding_migration,0.9996,0.0299,0.0671,112.0,99.96000000000001,0.5403999385025584,common,54.03999385025584,,peak_abundance_with_occupancy_days_modifiers,0.9996
norcar,US-MO,1.2709957367564277,2.5644,2.5644,resident,0.9995,0.0424,0.0582,365.0,99.95,0.5300463915895549,common,53.00463915895549,,peak_abundance_with_occupancy_days_modifiers,0.9995
indbun,US-MO,1.2292311105400306,1.3424666666666667,2.4186,breeding,0.9943,0.0438,0.1227,105.0,99.42999999999999,0.512629189641591,common,51.2629189641591,,peak_abundance_with_occupancy_days_modifiers,0.9943
bnhcow,US-MO,1.1692571282374415,1.64915,2.2196,prebreeding_migration,1.0,0.0288,0.0373,147.0,100.0,0.4876180963787069,common,48.76180963787069,,peak_abundance_with_occupancy_days_modifiers,1.0
turvul,US-MO,1.1359080734118066,1.4551749999999999,2.114,postbreeding_migration,0.9834,0.0067,0.024,126.0,98.34,0.473710460293034,common,47.3710460293034,,peak_abundance_with_occupancy_days_modifiers,0.9834
moudov,US-MO,1.0939681881744523,1.4959250000000002,1.9861,breeding,1.0,0.0288,0.025,119.0,100.0,0.45622016965644174,common,45.62201696564417,,peak_abundance_with_occupancy_days_modifiers,1.0
whtspa,US-MO,0.9902472639899846,1.2493666666666667,1.6919,nonbreeding,0.9608,0.0663,0.077,98.0,96.08,0.41296518460306025,common,41.296518460306025,,peak_abundance_with_occupancy_days_modifiers,0.9608
norpin,US-MO,0.9392647954339766,0.6777249999999999,1.5581,nonbreeding,0.0729,0.0034,0.0157,133.0,7.290000000000001,0.3917038438204367,common,39.17038438204367,,peak_abundance_with_occupancy_days_modifiers,0.0729
dickci,US-MO,0.9107152175409694,0.7091333333333333,1.4861,breeding,0.6364,0.0488,0.0855,98.0,63.63999999999999,0.3797977450775632,common,37.97977450775632,,peak_abundance_with_occupancy_days_modifiers,0.6364
tuftit,US-MO,0.795252403497099,1.215,1.215,resident,0.903,0.0677,0.0779,365.0,90.3,0.33164601161627477,common,33.16460116162748,,peak_abundance_with_occupancy_days_modifiers,0.903
barswa,US-MO,0.7951621059666751,0.8502666666666667,1.2148,breeding,0.9566,0.0033,0.0032,126.0,95.66,0.3316083546212225,common,33.16083546212225,,peak_abundance_with_occupancy_days_modifiers,0.9566
cedwax,US-MO,0.7771665860635196,0.5476000000000001,1.1753,postbreeding_migration,0.8923,0.0374,0.0363,126.0,89.23,0.32410363992108693,common,32.41036399210869,,peak_abundance_with_occupancy_days_modifiers,0.8923
