species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-MS,3.1347025983347785,10.8822,21.9818,nonbreeding,0.7265,0.0219,0.0275,126.0,72.65,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7265
snogoo,US-MS,4.887750265379505,60.153333333333336,131.6548,nonbreeding,0.1614,0.0328,0.124,91.0,16.14,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1614
gwfgoo,US-MS,2.394024153310827,4.073575,9.9575,nonbreeding,0.1545,0.0104,0.0118,42.0,15.45,0.9983856177826206,abundant,99.83856177826206,,peak_abundance_with_occupancy_days_modifiers,0.1545
comgra,US-MS,2.3058198555039753,3.9222750000000004,9.0324,nonbreeding,0.5639,0.0401,0.0399,112.0,56.38999999999999,0.9616015685343329,abundant,96.16015685343329,,peak_abundance_with_occupancy_days_modifiers,0.5639
amerob,US-MS,1.9844163212707258,2.71065,6.2748,nonbreeding,0.9561,0.0192,0.0383,98.0,95.61,0.8275658840408362,abundant,82.75658840408362,,peak_abundance_with_occupancy_days_modifiers,0.9561
amecro,US-MS,1.5986600392622219,2.5522750000000003,3.9464,nonbreeding,0.986,0.0261,0.0385,147.0,98.6,0.6666930192479039,common,66.66930192479039,,peak_abundance_with_occupancy_days_modifiers,0.986
norcar,US-MS,1.3627186245911849,2.9068,2.9068,resident,0.9931,0.0292,0.0456,365.0,99.31,0.5682978068516216,common,56.829780685162156,,peak_abundance_with_occupancy_days_modifiers,0.9931
mallar3,US-MS,1.3137236682850553,1.2395,2.72,nonbreeding,0.2168,0.0027,0.0021,126.0,21.68,0.5478653230555498,common,54.78653230555498,,peak_abundance_with_occupancy_days_modifiers,0.2168
yerwar,US-MS,1.3032659506684747,1.379133333333333,2.6813,nonbreeding,0.9395,0.0242,0.0557,91.0,93.95,0.5435041160690678,common,54.35041160690678,,peak_abundance_with_occupancy_days_modifiers,0.9395
norpin,US-MS,1.292230903833979,0.9892999999999998,2.6409,nonbreeding,0.1466,0.0048,0.0184,147.0,14.66,0.5389021440981996,common,53.89021440981996,,peak_abundance_with_occupancy_days_modifiers,0.1466
blujay,US-MS,1.2480662418364474,1.8716,2.4836,postbreeding_migration,0.9931,0.0221,0.0419,112.0,99.31,0.5204840494889253,common,52.04840494889253,,peak_abundance_with_occupancy_days_modifiers,0.9931
bnhcow,US-MS,1.206958343166302,1.908725,2.3433,nonbreeding,0.3752,0.0199,0.0309,147.0,37.519999999999996,0.5033407242000891,common,50.334072420008916,,peak_abundance_with_occupancy_days_modifiers,0.3752
eursta,US-MS,1.1913433879257944,1.325125,2.2915,nonbreeding,0.3255,0.0034,0.0023,140.0,32.550000000000004,0.49682878207415754,common,49.682878207415754,,peak_abundance_with_occupancy_days_modifiers,0.3255
whtspa,US-MS,1.1400101173640382,1.1155666666666666,2.1268,nonbreeding,0.9734,0.0465,0.067,98.0,97.34,0.4754211454921606,common,47.54211454921606,,peak_abundance_with_occupancy_days_modifiers,0.9734
killde,US-MS,1.1129753115038772,1.180475,2.0434,nonbreeding,0.4235,0.0241,0.0948,161.0,42.35,0.4641467557526074,common,46.41467557526074,,peak_abundance_with_occupancy_days_modifiers,0.4235
turvul,US-MS,1.0909832615036186,1.445575,1.9772,nonbreeding,0.972,0.006,0.0178,126.0,97.2,0.45497535854867793,common,45.49753585486779,,peak_abundance_with_occupancy_days_modifiers,0.972
