species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-MT,2.4675570114528873,7.45335,10.7936,prebreeding_migration,0.7404,0.0512,0.1092,119.0,74.03999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7404
eursta,US-MT,1.7506943896094558,2.3133,4.7586,postbreeding_migration,0.6618,0.0154,0.0085,140.0,66.18,0.7300962679518425,common,73.00962679518425,,peak_abundance_with_occupancy_days_modifiers,0.6618
mallar3,US-MT,1.4532518292447716,2.047325,3.277,postbreeding_migration,0.4426,0.0102,0.0126,126.0,44.26,0.6060530856916075,common,60.605308569160755,,peak_abundance_with_occupancy_days_modifiers,0.4426
wesmea,US-MT,1.2173726243889524,1.0211999999999999,2.3783,breeding,0.7483,0.0771,0.182,112.0,74.83,0.5076838168033356,common,50.76838168033356,,peak_abundance_with_occupancy_days_modifiers,0.7483
snogoo,US-MT,1.2121492856100708,0.9873000000000001,2.3607,postbreeding_migration,0.0816,0.0072,0.0069,98.0,8.16,0.5055055153411596,common,50.55055153411596,,peak_abundance_with_occupancy_days_modifiers,0.0816
horlar,US-MT,1.0828893282028735,1.3102,1.9532,nonbreeding,0.5535,,,,55.35,0.4515999261882398,common,45.15999261882398,,peak_abundance_with_occupancy_days_modifiers,0.5535
rewbla,US-MT,1.061533280426689,1.17805,1.8908,breeding,0.7228,0.0348,0.0268,126.0,72.28,0.44269376251276715,common,44.26937625127672,,peak_abundance_with_occupancy_days_modifiers,0.7228
amerob,US-MT,1.0269730615259574,1.384225,1.7926,breeding,0.9965,0.0343,0.0354,98.0,99.65,0.4282810317764496,common,42.82810317764496,,peak_abundance_with_occupancy_days_modifiers,0.9965
bnhcow,US-MT,1.0124732583461877,0.7668333333333334,1.7524,breeding,0.9537,0.0365,0.067,91.0,95.37,0.42223414418120936,common,42.22341441812094,,peak_abundance_with_occupancy_days_modifiers,0.9537
y00475,US-MT,1.0043748665867402,0.70645,1.7302,postbreeding_migration,0.0631,0.06,0.0586,112.0,6.3100000000000005,0.4188568524990766,common,41.88568524990766,,peak_abundance_with_occupancy_days_modifiers,0.0631
cliswa,US-MT,0.9425820658282236,0.7253,1.5666,breeding,0.7106,0.0486,0.0559,70.0,71.06,0.39308725302595043,common,39.30872530259504,,peak_abundance_with_occupancy_days_modifiers,0.7106
sancra,US-MT,0.9111977848081457,0.6721666666666667,1.4873,postbreeding_migration,0.5812,0.0344,0.0251,91.0,58.120000000000005,0.3799989912590168,common,37.999899125901685,,peak_abundance_with_occupancy_days_modifiers,0.5812
moudov,US-MT,0.830297018707179,0.425175,1.294,breeding,0.7423,0.0298,0.0256,119.0,74.22999999999999,0.346260751303877,common,34.626075130387704,,peak_abundance_with_occupancy_days_modifiers,0.7423
snobun,US-MT,0.7107414889608965,0.5758666666666667,1.0355,nonbreeding,0.3652,,,,36.52,0.2964022228257922,common,29.64022228257922,,peak_abundance_with_occupancy_days_modifiers,0.3652
gcrfin,US-MT,0.7056190820552656,0.42427499999999996,1.0251,nonbreeding,0.2474,0.1319,0.2125,98.0,24.740000000000002,0.2942660132240889,common,29.426601322408892,,peak_abundance_with_occupancy_days_modifiers,0.2474
norpin,US-MT,0.6820862332005203,0.300675,0.978,prebreeding_migration,0.3516,0.0066,0.0135,147.0,35.160000000000004,0.28445205298916915,fairly_common,28.445205298916914,,peak_abundance_with_occupancy_days_modifiers,0.3516
