species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-NC,3.308230121742959,9.572899999999999,26.3367,nonbreeding,0.7783,0.0253,0.0356,126.0,77.83,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7783
comgra,US-NC,2.7508606174009183,7.164225,14.6561,nonbreeding,0.7262,0.0556,0.0698,112.0,72.61999999999999,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7262
tunswa,US-NC,2.11114609839519,2.3221749999999997,7.2577,nonbreeding,0.1151,0.0301,0.264,56.0,11.51,0.8804163060597133,abundant,88.04163060597133,,peak_abundance_with_occupancy_days_modifiers,0.1151
doccor,US-NC,1.937877977358049,2.796825,5.944,nonbreeding,0.1001,0.0253,0.2218,147.0,10.01,0.8081578871860086,abundant,80.81578871860086,,peak_abundance_with_occupancy_days_modifiers,0.1001
ribgul,US-NC,1.8057609888638686,1.73465,5.0846,nonbreeding,0.1998,0.0583,0.1153,105.0,19.98,0.7530608235265109,abundant,75.30608235265109,,peak_abundance_with_occupancy_days_modifiers,0.1998
snogoo,US-NC,1.8055308733119728,2.464733333333333,5.0832,nonbreeding,0.0128,0.0028,0.0052,84.0,1.28,0.7529648578875999,rare,75.29648578876,rare,peak_abundance_with_occupancy_days_modifiers,0.0128
amerob,US-NC,1.7746641737994178,2.6883999999999997,4.8983,nonbreeding,0.9133,0.0197,0.0322,98.0,91.33,0.7400924443745055,common,74.00924443745055,,peak_abundance_with_occupancy_days_modifiers,0.9133
cangoo,US-NC,1.4061460068224918,1.7484000000000002,3.0802,nonbreeding,0.6241,0.0377,0.0111,119.0,62.41,0.5864084319168382,common,58.64084319168382,,peak_abundance_with_occupancy_days_modifiers,0.6241
amecro,US-NC,1.404257061494063,2.3080249999999998,3.0725,nonbreeding,0.9645,0.0275,0.0324,147.0,96.45,0.5856206805292541,common,58.56206805292541,,peak_abundance_with_occupancy_days_modifiers,0.9645
eursta,US-NC,1.2967525124583956,1.9690750000000001,2.6574,nonbreeding,0.6266,0.007,0.0028,140.0,62.660000000000004,0.5407878013559244,common,54.07878013559244,,peak_abundance_with_occupancy_days_modifiers,0.6266
norcar,US-NC,1.152184650673629,2.1651,2.1651,resident,0.952,0.0302,0.0366,365.0,95.19999999999999,0.48049832023273337,common,48.04983202327334,,peak_abundance_with_occupancy_days_modifiers,0.952
moudov,US-NC,1.1314021114911006,1.7319,2.1,breeding,0.9501,0.0199,0.0254,119.0,95.00999999999999,0.4718313282175754,common,47.18313282175754,,peak_abundance_with_occupancy_days_modifiers,0.9501
whtspa,US-NC,1.0777971489541895,1.1551,1.9382,nonbreeding,0.8676,0.0447,0.0658,98.0,86.76,0.44947632249860037,common,44.947632249860035,,peak_abundance_with_occupancy_days_modifiers,0.8676
carwre,US-NC,1.0410184859425273,1.8321,1.8321,resident,0.963,0.0491,0.0808,365.0,96.3,0.43413842870946023,common,43.41384287094602,,peak_abundance_with_occupancy_days_modifiers,0.963
turvul,US-NC,1.0348912111102568,1.529575,1.8148,nonbreeding,0.9157,0.0061,0.0176,126.0,91.57,0.4315831566332449,common,43.158315663324494,,peak_abundance_with_occupancy_days_modifiers,0.9157
blujay,US-NC,1.029369385925949,1.16555,1.7993,postbreeding_migration,0.9616,0.0222,0.0229,112.0,96.16,0.42928037667160635,common,42.92803766716064,,peak_abundance_with_occupancy_days_modifiers,0.9616
sonspa,US-NC,1.0095260333336746,0.802025,1.7443,nonbreeding,0.9587,0.0243,0.0568,119.0,95.87,0.4210050558861757,common,42.10050558861757,,peak_abundance_with_occupancy_days_modifiers,0.9587
carchi,US-NC,0.9710440335269259,1.6407,1.6407,resident,0.9495,0.0631,0.0836,365.0,94.95,0.40495681547997986,common,40.49568154799799,,peak_abundance_with_occupancy_days_modifiers,0.9495
yerwar,US-NC,0.9685415676725678,0.80335,1.6341,nonbreeding,0.8388,0.0233,0.0366,98.0,83.88,0.4039132061602794,common,40.39132061602794,,peak_abundance_with_occupancy_days_modifiers,0.8388
daejun,US-NC,0.9674020096976959,0.699425,1.6311,nonbreeding,0.8098,0.0173,0.0122,105.0,80.97999999999999,0.403437973572852,common,40.3437973572852,,peak_abundance_with_occupancy_days_modifiers,0.8098
easblu,US-NC,0.9397337836006217,1.24465,1.5593,postbreeding_migration,0.863,0.0328,0.0867,105.0,86.3,0.3918994270771224,common,39.18994270771224,,peak_abundance_with_occupancy_days_modifiers,0.863
chispa,US-NC,0.9051893388029811,0.9692,1.4724,nonbreeding,0.7616,0.035,0.0452,147.0,76.16000000000001,0.3774932746527395,common,37.74932746527395,,peak_abundance_with_occupancy_days_modifiers,0.7616
bnhcow,US-NC,0.8540322760775825,0.9858250000000001,1.3491,nonbreeding,0.4794,0.0274,0.0192,147.0,47.94,0.35615912244612635,common,35.61591224461264,,peak_abundance_with_occupancy_days_modifiers,0.4794
tuftit,US-NC,0.8328221626324274,1.2998,1.2998,resident,0.919,0.0514,0.0622,365.0,91.9,0.3473138181137138,common,34.73138181137138,,peak_abundance_with_occupancy_days_modifiers,0.919
amegfi,US-NC,0.766862218382226,0.97085,1.153,nonbreeding,0.9527,0.0217,0.0276,112.0,95.27,0.3198063848248423,common,31.98063848248423,,peak_abundance_with_occupancy_days_modifiers,0.9527
laugul,US-NC,0.747019646024435,0.542575,1.1107,postbreeding_migration,0.0804,0.0354,0.0498,161.0,8.04,0.3115313894224641,common,31.15313894224641,,peak_abundance_with_occupancy_days_modifiers,0.0804
treswa,US-NC,0.7289968334536425,0.47869999999999996,1.073,postbreeding_migration,0.4811,0.0238,0.0151,161.0,48.11,0.3040152927958755,common,30.401529279587553,,peak_abundance_with_occupancy_days_modifiers,0.4811
chiswi,US-NC,0.7098567941228926,0.7221,1.0337,postbreeding_migration,0.9069,0.0608,0.1195,119.0,90.69,0.29603327642181876,common,29.603327642181874,,peak_abundance_with_occupancy_days_modifiers,0.9069
indbun,US-NC,0.6344051605361825,0.4664,0.8859,breeding,0.9297,0.0306,0.0318,98.0,92.97,0.264567501230287,fairly_common,26.456750123028698,,peak_abundance_with_occupancy_days_modifiers,0.9297
barswa,US-NC,0.6139957422545077,0.5212666666666667,0.8478,breeding,0.8493,0.0022,0.0017,105.0,84.93,0.2560561127167025,fairly_common,25.60561127167025,,peak_abundance_with_occupancy_days_modifiers,0.8493
purmar,US-NC,0.5676406453202232,0.43873333333333336,0.7641,postbreeding_migration,0.7711,0.0444,0.0518,98.0,77.11,0.23672453578749506,fairly_common,23.672453578749504,,peak_abundance_with_occupancy_days_modifiers,0.7711
rebwoo,US-NC,0.5609292107322363,0.7523,0.7523,resident,0.9089,0.0385,0.0413,365.0,90.89,0.2339256501713795,common,23.39256501713795,,peak_abundance_with_occupancy_days_modifiers,0.9089
amhgul1,US-NC,0.5442690979294867,0.396039944185147,0.7233483230850001,nonbreeding,0.0626515290445669,0.023302114419797,0.0405153287298809,133.0,6.2651529044566905,0.2269778434878512,fairly_common,22.69778434878512,,peak_abundance_with_occupancy_days_modifiers,0.0626515290445669
buggna,US-NC,0.5438347773729363,0.41484999999999994,0.7226,prebreeding_migration,0.9256,0.0248,0.0517,112.0,92.56,0.22679671774750815,fairly_common,22.679671774750815,,peak_abundance_with_occupancy_days_modifiers,0.9256
killde,US-NC,0.5408697451143674,0.4997,0.7175,nonbreeding,0.6378,0.0392,0.0359,161.0,63.78,0.2255602032540672,fairly_common,22.55602032540672,,peak_abundance_with_occupancy_days_modifiers,0.6378
eastow,US-NC,0.5082623413628259,0.554875,0.6624,prebreeding_migration,0.972,0.0682,0.0907,105.0,97.2,0.21196185968942585,fairly_common,21.196185968942586,,peak_abundance_with_occupancy_days_modifiers,0.972
reevir1,US-NC,0.4853231833535676,0.3938333333333333,0.6247,breeding,0.8626,0.0172,0.0355,98.0,86.26,0.20239548776756627,fairly_common,20.239548776756628,,peak_abundance_with_occupancy_days_modifiers,0.8626
pinwar,US-NC,0.48205571026987687,0.372475,0.6194,prebreeding_migration,0.8739,0.0855,0.0814,119.0,87.39,0.20103284565356036,fairly_common,20.103284565356034,,peak_abundance_with_occupancy_days_modifiers,0.8739
ruckin,US-NC,0.4812526214236253,0.4628999999999999,0.6181,nonbreeding,0.8432,0.0244,0.0343,112.0,84.32,0.20069793159148194,fairly_common,20.069793159148194,,peak_abundance_with_occupancy_days_modifiers,0.8432
norfli,US-NC,0.481129012029154,0.38487499999999997,0.6179,nonbreeding,0.8717,0.0158,0.0313,112.0,87.17,0.20064638247010308,fairly_common,20.064638247010308,,peak_abundance_with_occupancy_days_modifiers,0.8717
normoc,US-NC,0.48032517831760696,0.514425,0.6166,breeding,0.7479,0.0264,0.0341,112.0,74.79,0.20031115777506917,fairly_common,20.031115777506916,,peak_abundance_with_occupancy_days_modifiers,0.7479
brnpel,US-NC,0.46121512321265623,0.350625,0.586,postbreeding_migration,0.0453,0.0298,0.0294,161.0,4.53,0.19234164579440238,rare,19.23416457944024,rare,peak_abundance_with_occupancy_days_modifiers,0.0453
blugrb1,US-NC,0.43327480874743163,0.3006333333333333,0.5423,breeding,0.7903,0.0214,0.0373,84.0,79.03,0.18068962963582433,fairly_common,18.068962963582432,,peak_abundance_with_occupancy_days_modifiers,0.7903
cedwax,US-NC,0.4267698746019935,0.386025,0.5323,postbreeding_migration,0.811,0.0229,0.0129,126.0,81.10000000000001,0.17797686139309507,fairly_common,17.79768613930951,,peak_abundance_with_occupancy_days_modifiers,0.811
gockin,US-NC,0.4131686924931969,0.220175,0.5116,nonbreeding,0.9406,0.0219,0.0315,98.0,94.06,0.17230472789206694,fairly_common,17.230472789206694,,peak_abundance_with_occupancy_days_modifiers,0.9406
easpho,US-NC,0.39897744197261004,0.348825,0.4903,postbreeding_migration,0.9656,0.0519,0.0494,119.0,96.56,0.16638651675016602,fairly_common,16.638651675016604,,peak_abundance_with_occupancy_days_modifiers,0.9656
norpin,US-NC,0.39642436345601534,0.21133333333333335,0.4865,nonbreeding,0.0091,0.0003,0.0037,70.0,0.91,0.16532180031089666,very_rare,16.532180031089666,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0091
comyel,US-NC,0.3870295459524794,0.25305,0.4726,breeding,0.8554,0.0301,0.0362,133.0,85.54,0.16140385710040267,fairly_common,16.140385710040267,,peak_abundance_with_occupancy_days_modifiers,0.8554
savspa,US-NC,0.3765854085575139,0.179,0.4573,nonbreeding,0.5832,0.0277,0.0201,112.0,58.32000000000001,0.15704831350621684,fairly_common,15.704831350621685,,peak_abundance_with_occupancy_days_modifiers,0.5832
