species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
mallar3,US-ND,2.401814853921547,5.434225,10.0432,postbreeding_migration,0.8091,0.0074,0.021,126.0,80.91000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8091
cangoo,US-ND,3.6235005799786726,16.810525,36.4685,prebreeding_migration,1.0,0.022,0.0867,119.0,100.0,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,1.0
snogoo,US-ND,4.342845220748376,32.499675,75.9261,postbreeding_migration,0.6239,0.0264,0.1071,133.0,62.39,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6239
rewbla,US-ND,2.666366724501692,8.376275,13.3876,postbreeding_migration,0.9777,0.0341,0.071,126.0,97.77,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9777
gwfgoo,US-ND,2.3534968145919577,2.6119,9.5223,prebreeding_migration,0.744,0.0023,0.0,7.0,74.4,0.9814844047986302,very_rare,98.14844047986301,very_rare,peak_abundance_with_occupancy_days_modifiers,0.744
laplon,US-ND,1.7792481952909835,2.6695999999999995,4.9254,prebreeding_migration,0.8451,,,,84.50999999999999,0.7420041298194733,common,74.20041298194732,,peak_abundance_with_occupancy_days_modifiers,0.8451
snobun,US-ND,1.7355594195398558,2.140566666666667,4.6721,nonbreeding,0.7446,,,,74.46000000000001,0.7237844951895829,common,72.37844951895829,,peak_abundance_with_occupancy_days_modifiers,0.7446
comgra,US-ND,1.6825210739344354,2.635825,4.3791,postbreeding_migration,0.9074,0.0341,0.0738,112.0,90.74,0.7016657870845687,common,70.16657870845687,,peak_abundance_with_occupancy_days_modifiers,0.9074
cacgoo1,US-ND,1.6606632045095462,1.331,4.2628,prebreeding_migration,0.9323,0.0436,0.0592,126.0,93.23,0.6925503475268683,common,69.25503475268683,,peak_abundance_with_occupancy_days_modifiers,0.9323
fragul,US-ND,1.578359956863239,2.5590333333333337,3.847,postbreeding_migration,0.6375,0.1115,0.1007,133.0,63.74999999999999,0.6582272273389467,common,65.82272273389466,,peak_abundance_with_occupancy_days_modifiers,0.6375
bnhcow,US-ND,1.5114280918766563,1.6553333333333333,3.5332,breeding,1.0,0.0201,0.065,77.0,100.0,0.6303144716211074,common,63.031447162110744,,peak_abundance_with_occupancy_days_modifiers,1.0
moudov,US-ND,1.4332972147152268,1.1982249999999999,3.1925,breeding,1.0,0.0209,0.0304,119.0,100.0,0.5977313650744025,common,59.77313650744025,,peak_abundance_with_occupancy_days_modifiers,1.0
eursta,US-ND,1.4081536954727842,1.8428250000000002,3.0884,postbreeding_migration,0.9825,0.0101,0.0037,140.0,98.25,0.5872457031159051,common,58.724570311590504,,peak_abundance_with_occupancy_days_modifiers,0.9825
amerob,US-ND,1.344899285753505,1.661525,2.8378,postbreeding_migration,0.9977,0.013,0.0208,98.0,99.77000000000001,0.560866565362545,common,56.086656536254495,,peak_abundance_with_occupancy_days_modifiers,0.9977
y00475,US-ND,1.3303851666803739,1.482175,2.7825,breeding,0.7249,0.0743,0.1179,105.0,72.49,0.554813707576061,common,55.48137075760609,,peak_abundance_with_occupancy_days_modifiers,0.7249
sancra,US-ND,1.3264912767491368,1.8084666666666667,2.7678,prebreeding_migration,0.9204,0.0244,0.0273,84.0,92.04,0.5531898293460943,common,55.31898293460943,,peak_abundance_with_occupancy_days_modifiers,0.9204
yehbla,US-ND,1.2629395820897855,1.4957666666666667,2.5358,breeding,0.7812,0.1029,0.1844,126.0,78.12,0.5266867141432415,common,52.66867141432415,,peak_abundance_with_occupancy_days_modifiers,0.7812
norpin,US-ND,1.250188228122899,0.93075,2.491,prebreeding_migration,0.8512,0.0097,0.0165,147.0,85.11999999999999,0.5213689865045338,common,52.136898650453375,,peak_abundance_with_occupancy_days_modifiers,0.8512
cliswa,US-ND,1.2199740980528762,1.1683666666666668,2.3871,breeding,0.9909,0.0326,0.041,77.0,99.09,0.5087687155866288,common,50.876871558662884,,peak_abundance_with_occupancy_days_modifiers,0.9909
gadwal,US-ND,1.1899752946820823,1.3912,2.287,breeding,0.8415,0.0147,0.0247,140.0,84.15,0.49625824287704096,common,49.6258242877041,,peak_abundance_with_occupancy_days_modifiers,0.8415
wesmea,US-ND,1.1326271672553874,1.1744666666666668,2.1038,breeding,0.9893,0.049,0.0775,112.0,98.92999999999999,0.472342216152584,common,47.2342216152584,,peak_abundance_with_occupancy_days_modifiers,0.9893
barswa,US-ND,1.1010759181060827,1.1819333333333335,2.0074,postbreeding_migration,0.9998,0.0035,0.0035,105.0,99.98,0.45918432326742725,common,45.918432326742725,,peak_abundance_with_occupancy_days_modifiers,0.9998
buwtea,US-ND,1.0864384877364008,1.6477666666666666,1.9637,breeding,0.8689,0.0609,0.1584,119.0,86.89,0.453080040676053,common,45.3080040676053,,peak_abundance_with_occupancy_days_modifiers,0.8689
tunswa,US-ND,1.0660546611079345,0.8130333333333333,1.9039,prebreeding_migration,0.6534,,,,65.34,0.44457932471080636,common,44.45793247108064,,peak_abundance_with_occupancy_days_modifiers,0.6534
