species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
bkcchi,US-NH,1.529745143524852,3.617,3.617,resident,0.996,0.0045,0.0139,365.0,99.6,0.6379532754737958,common,63.79532754737958,,peak_abundance_with_occupancy_days_modifiers,0.996
blujay,US-NH,1.4067830275472064,2.318825,3.0828,postbreeding_migration,0.9975,0.0043,0.0083,112.0,99.75,0.5866740901930529,common,58.667409019305296,,peak_abundance_with_occupancy_days_modifiers,0.9975
amerob,US-NH,1.1716768595251148,1.6782000000000001,2.2274,postbreeding_migration,0.9978,0.0017,0.0022,98.0,99.78,0.48862720270420934,common,48.86272027042094,,peak_abundance_with_occupancy_days_modifiers,0.9978
reevir1,US-NH,1.0764348437234066,0.8869666666666666,1.9342,breeding,0.9965,0.0036,0.0079,91.0,99.65,0.448908197090357,common,44.8908197090357,,peak_abundance_with_occupancy_days_modifiers,0.9965
amegfi,US-NH,1.0037153567984272,1.525725,1.7284,postbreeding_migration,0.9777,0.004,0.0071,112.0,97.77,0.41858181555488866,common,41.85818155548887,,peak_abundance_with_occupancy_days_modifiers,0.9777
daejun,US-NH,0.9991233901673673,1.25685,1.7159,postbreeding_migration,0.9996,0.0034,0.003,105.0,99.96000000000001,0.4166668167293975,common,41.666681672939745,,peak_abundance_with_occupancy_days_modifiers,0.9996
amecro,US-NH,0.9646617605995498,1.301075,1.6239,prebreeding_migration,0.9996,0.0037,0.0033,147.0,99.96000000000001,0.402295200938354,common,40.229520093835404,,peak_abundance_with_occupancy_days_modifiers,0.9996
cedwax,US-NH,0.9410613901993667,0.70585,1.5627,breeding,0.9978,0.0031,0.0059,126.0,99.78,0.3924530820318677,common,39.24530820318677,,peak_abundance_with_occupancy_days_modifiers,0.9978
comyel,US-NH,0.8368578382262444,0.4979,1.3091,breeding,0.9366,0.0028,0.0057,133.0,93.66,0.3489968255576157,common,34.89968255576157,,peak_abundance_with_occupancy_days_modifiers,0.9366
cangoo,US-NH,0.7821191343622091,0.75905,1.1861,postbreeding_migration,0.6273,0.0021,0.0004,119.0,62.73,0.3261690129817334,common,32.61690129817334,,peak_abundance_with_occupancy_days_modifiers,0.6273
sonspa,US-NH,0.7739895684040461,0.768,1.1684,breeding,0.8503,0.0028,0.0052,119.0,85.03,0.32277872064895957,common,32.27787206489596,,peak_abundance_with_occupancy_days_modifiers,0.8503
eursta,US-NH,0.7734821532122194,0.7146,1.1673,nonbreeding,0.297,0.0006,0.0002,140.0,29.7,0.3225671120780671,common,32.25671120780671,,peak_abundance_with_occupancy_days_modifiers,0.297
rewbla,US-NH,0.7621600518468994,0.75055,1.1429,breeding,0.7564,0.0025,0.001,126.0,75.64,0.31784542906974,common,31.784542906974,,peak_abundance_with_occupancy_days_modifiers,0.7564
rebnut,US-NH,0.7420801916691245,0.7314999999999999,1.1003,nonbreeding,0.9902,0.0047,0.011,119.0,99.02,0.309471476960338,common,30.9471476960338,,peak_abundance_with_occupancy_days_modifiers,0.9902
ovenbi1,US-NH,0.7367812175800066,0.5331,1.0892,breeding,0.9749,0.0068,0.013,84.0,97.49,0.30726163312385807,common,30.726163312385808,,peak_abundance_with_occupancy_days_modifiers,0.9749
whtspa,US-NH,0.7134398838277077,0.47452500000000003,1.041,postbreeding_migration,0.9978,0.0033,0.0053,105.0,99.78,0.2975275408901054,common,29.75275408901054,,peak_abundance_with_occupancy_days_modifiers,0.9978
comgra,US-NH,0.6445345006392522,0.508375,0.9051,postbreeding_migration,0.229,0.0026,0.0014,112.0,22.900000000000002,0.2687917641570197,fairly_common,26.879176415701973,,peak_abundance_with_occupancy_days_modifiers,0.229
moudov,US-NH,0.6020182471488433,0.7257499999999999,0.8258,nonbreeding,0.7754,0.003,0.0022,119.0,77.53999999999999,0.25106110928951514,fairly_common,25.106110928951512,,peak_abundance_with_occupancy_days_modifiers,0.7754
yerwar,US-NH,0.5982868995359851,0.41545,0.819,postbreeding_migration,1.0,0.0022,0.0018,133.0,100.0,0.24950501647128967,fairly_common,24.950501647128966,,peak_abundance_with_occupancy_days_modifiers,1.0
tuftit,US-NH,0.5767818894286799,0.7803,0.7803,resident,0.6437,0.0065,0.0067,365.0,64.37,0.24053673067863757,common,24.053673067863755,,peak_abundance_with_occupancy_days_modifiers,0.6437
chispa,US-NH,0.5538851132264376,0.410875,0.74,breeding,0.8168,0.0022,0.0035,147.0,81.67999999999999,0.23098803334311072,fairly_common,23.09880333431107,,peak_abundance_with_occupancy_days_modifiers,0.8168
grycat,US-NH,0.5414518173077515,0.342325,0.7185,breeding,0.7127,0.0038,0.0081,126.0,71.27,0.22580294621285574,fairly_common,22.580294621285574,,peak_abundance_with_occupancy_days_modifiers,0.7127
whbnut,US-NH,0.5290976685534394,0.6974,0.6974,resident,0.834,0.0063,0.0126,365.0,83.39999999999999,0.2206508660138341,common,22.06508660138341,,peak_abundance_with_occupancy_days_modifiers,0.834
evegro,US-NH,0.522002924356116,0.269375,0.6854,nonbreeding,0.5994,0.0065,0.0065,161.0,59.940000000000005,0.21769212787468098,fairly_common,21.7692127874681,,peak_abundance_with_occupancy_days_modifiers,0.5994
comnig,US-NH,0.5064560912480479,0.22846666666666668,0.6594,postbreeding_migration,0.8493,0.0018,0.0053,91.0,84.93,0.21120859488454968,fairly_common,21.12085948845497,,peak_abundance_with_occupancy_days_modifiers,0.8493
treswa,US-NH,0.5049483865931145,0.35750000000000004,0.6569,breeding,0.7442,0.0022,0.0028,112.0,74.42,0.21057983320674137,fairly_common,21.057983320674136,,peak_abundance_with_occupancy_days_modifiers,0.7442
chswar,US-NH,0.4183813333747107,0.2768,0.5195,breeding,0.9049,0.011,0.015,77.0,90.49000000000001,0.17447856798452038,fairly_common,17.447856798452037,,peak_abundance_with_occupancy_days_modifiers,0.9049
easpho,US-NH,0.3994470357826014,0.269325,0.491,breeding,0.9184,0.0049,0.0123,112.0,91.84,0.16658235257974474,fairly_common,16.658235257974475,,peak_abundance_with_occupancy_days_modifiers,0.9184
dowwoo,US-NH,0.3810357941849897,0.4638,0.4638,resident,0.9948,0.0046,0.0065,365.0,99.48,0.15890426846720315,common,15.890426846720315,,peak_abundance_with_occupancy_days_modifiers,0.9948
veery,US-NH,0.3609557681222072,0.2208,0.4347,breeding,0.8706,0.01,0.017,63.0,87.06,0.15053024717837976,fairly_common,15.053024717837976,,peak_abundance_with_occupancy_days_modifiers,0.8706
btnwar,US-NH,0.34316408191078507,0.2637,0.4094,breeding,0.9104,0.0109,0.0128,112.0,91.03999999999999,0.1431105377301606,fairly_common,14.311053773016061,,peak_abundance_with_occupancy_days_modifiers,0.9104
bawwar,US-NH,0.3338974962487439,0.24450000000000002,0.3964,breeding,0.9693,0.006,0.0082,112.0,96.93,0.13924607135118194,fairly_common,13.924607135118194,,peak_abundance_with_occupancy_days_modifiers,0.9693
easblu,US-NH,0.32656619050174723,0.27525,0.3862,postbreeding_migration,0.6369,0.0041,0.0041,105.0,63.690000000000005,0.13618867938324966,fairly_common,13.618867938324966,,peak_abundance_with_occupancy_days_modifiers,0.6369
herthr,US-NH,0.3174350306011287,0.16290000000000002,0.3736,breeding,0.9104,0.003,0.005,105.0,91.03999999999999,0.13238068993341748,fairly_common,13.238068993341749,,peak_abundance_with_occupancy_days_modifiers,0.9104
norfli,US-NH,0.31597794160662823,0.19382499999999997,0.3716,postbreeding_migration,0.9816,0.002,0.0018,112.0,98.16,0.13177303662552298,fairly_common,13.177303662552298,,peak_abundance_with_occupancy_days_modifiers,0.9816
gockin,US-NH,0.3154674584597176,0.24682500000000002,0.3709,postbreeding_migration,0.9892,0.004,0.0037,98.0,98.92,0.1315601486179851,fairly_common,13.156014861798509,,peak_abundance_with_occupancy_days_modifiers,0.9892
easkin,US-NH,0.3071169850903883,0.1854,0.3595,breeding,0.6507,0.0026,0.0027,56.0,65.07,0.12807773073924922,fairly_common,12.807773073924922,,peak_abundance_with_occupancy_days_modifiers,0.6507
pinwar,US-NH,0.30010459245033805,0.1591,0.35,breeding,0.8834,0.01,0.0136,112.0,88.34,0.1251533358669633,fairly_common,12.51533358669633,,peak_abundance_with_occupancy_days_modifiers,0.8834
mallar3,US-NH,0.2995859394546046,0.26685,0.3493,prebreeding_migration,0.6382,0.0005,0.0001,126.0,63.82,0.1249370407678332,fairly_common,12.49370407678332,,peak_abundance_with_occupancy_days_modifiers,0.6382
norcar,US-NH,0.29750863326951654,0.3465,0.3465,resident,0.4959,0.0028,0.0011,365.0,49.59,0.12407073680174559,fairly_common,12.407073680174559,,peak_abundance_with_occupancy_days_modifiers,0.4959
buhvir,US-NH,0.2899794315004644,0.21833333333333335,0.3364,breeding,0.9581,0.0074,0.0112,105.0,95.81,0.12093081578248209,fairly_common,12.093081578248208,,peak_abundance_with_occupancy_days_modifiers,0.9581
redcro,US-NH,0.2897549226127113,0.17445,0.3361,nonbreeding,0.9512,,,,95.12,0.12083718830412643,fairly_common,12.083718830412643,,peak_abundance_with_occupancy_days_modifiers,0.9512
btbwar,US-NH,0.2852541273771135,0.1388,0.3301,breeding,0.8298,0.0193,0.0273,84.0,82.98,0.11896021090371421,fairly_common,11.896021090371422,,peak_abundance_with_occupancy_days_modifiers,0.8298
yebsap,US-NH,0.2838246421244762,0.17862499999999998,0.3282,breeding,0.8778,0.0058,0.0123,112.0,87.78,0.11836406925030123,fairly_common,11.836406925030122,,peak_abundance_with_occupancy_days_modifiers,0.8778
brncre,US-NH,0.282091474138536,0.22965000000000002,0.3259,prebreeding_migration,0.9879,0.0058,0.0144,119.0,98.79,0.11764128206038463,fairly_common,11.764128206038462,,peak_abundance_with_occupancy_days_modifiers,0.9879
bkbwar,US-NH,0.2621334686054057,0.14813333333333334,0.2997,breeding,0.7509,0.0112,0.0139,77.0,75.09,0.10931814728484494,fairly_common,10.931814728484495,,peak_abundance_with_occupancy_days_modifiers,0.7509
haiwoo,US-NH,0.24137631957526948,0.273,0.273,resident,0.9854,0.0038,0.0068,365.0,98.54,0.10066174378565777,common,10.066174378565778,,peak_abundance_with_occupancy_days_modifiers,0.9854
whwcro,US-NH,0.23822918873225063,0.099075,0.269,nonbreeding,0.8736,,,,87.36,0.09934928828406862,fairly_common,9.934928828406862,,peak_abundance_with_occupancy_days_modifiers,0.8736
eawpew,US-NH,0.2295231582782488,0.13193333333333332,0.258,breeding,0.8998,0.0056,0.0043,77.0,89.98,0.09571859158402389,fairly_common,9.57185915840239,,peak_abundance_with_occupancy_days_modifiers,0.8998
amered,US-NH,0.2218627314144873,0.19893333333333332,0.2484,prebreeding_migration,1.0,0.0057,0.0039,98.0,100.0,0.09252394544969889,fairly_common,9.252394544969889,,peak_abundance_with_occupancy_days_modifiers,1.0
purfin,US-NH,0.21688400114306555,0.18205,0.2422,postbreeding_migration,0.9742,0.0066,0.0067,126.0,97.42,0.09044765365835158,fairly_common,9.044765365835158,,peak_abundance_with_occupancy_days_modifiers,0.9742
scatan,US-NH,0.21623977499741528,0.10166666666666667,0.2414,breeding,0.9213,0.012,0.0161,77.0,92.13,0.09017899048821307,fairly_common,9.017899048821306,,peak_abundance_with_occupancy_days_modifiers,0.9213
pinsis,US-NH,0.21478874693145614,0.130475,0.2396,nonbreeding,0.7007,0.0034,0.0008,119.0,70.07,0.0895738647838424,fairly_common,8.95738647838424,,peak_abundance_with_occupancy_days_modifiers,0.7007
barswa,US-NH,0.21373947123891585,0.14063333333333333,0.2383,breeding,0.5706,0.0003,0.0001,77.0,57.06,0.08913628283251897,fairly_common,8.913628283251898,,peak_abundance_with_occupancy_days_modifiers,0.5706
comrav,US-NH,0.20236925209773263,0.2243,0.2243,resident,0.9802,0.0006,0.0002,365.0,98.02,0.08439453315305359,common,8.439453315305359,,peak_abundance_with_occupancy_days_modifiers,0.9802
swathr,US-NH,0.20097973861248797,0.0987,0.2226,breeding,0.3261,0.0027,0.0014,77.0,32.61,0.08381506102138576,fairly_common,8.381506102138577,,peak_abundance_with_occupancy_days_modifiers,0.3261
swaspa,US-NH,0.20016147492228561,0.127575,0.2216,breeding,0.7608,0.0037,0.0037,112.0,76.08,0.08347381855784508,fairly_common,8.347381855784509,,peak_abundance_with_occupancy_days_modifiers,0.7608
wiltur,US-NH,0.19210685752875162,0.2118,0.2118,resident,0.6923,0.0048,0.0041,365.0,69.23,0.08011478220421227,common,8.011478220421226,,peak_abundance_with_occupancy_days_modifiers,0.6923
brwhaw,US-NH,0.1885521065445907,0.13436666666666666,0.2075,postbreeding_migration,0.9954,0.008,0.0134,91.0,99.53999999999999,0.07863233590036994,fairly_common,7.8632335900369945,,peak_abundance_with_occupancy_days_modifiers,0.9954
wooduc,US-NH,0.18273813667917088,0.12152500000000001,0.2005,breeding,0.559,0.0035,0.0039,133.0,55.900000000000006,0.07620772214372537,fairly_common,7.620772214372537,,peak_abundance_with_occupancy_days_modifiers,0.559
bnhcow,US-NH,0.1820715255387453,0.098325,0.1997,prebreeding_migration,0.6112,0.0015,0.0005,147.0,61.12,0.0759297237056837,uncommon,7.592972370568369,,peak_abundance_with_occupancy_days_modifiers,0.6112
ruckin,US-NH,0.18198816789271696,0.098,0.1996,postbreeding_migration,0.9978,0.0017,0.0011,119.0,99.78,0.07589496086721699,uncommon,7.589496086721699,,peak_abundance_with_occupancy_days_modifiers,0.9978
redpol1,US-NH,0.17844258039446237,0.11246456016708843,0.195354244533694,prebreeding_migration,0.2426177024110375,0.0009283599240339868,0.0003343131788611835,70.0,24.26177024110375,0.07441633603381598,uncommon,7.4416336033815975,,peak_abundance_with_occupancy_days_modifiers,0.2426177024110375
winwre3,US-NH,0.17789510784104107,0.0957,0.1947,breeding,0.7585,0.006,0.0079,105.0,75.85,0.07418802224562357,uncommon,7.418802224562357,,peak_abundance_with_occupancy_days_modifiers,0.7585
doccor,US-NH,0.17454136947499233,0.08345000000000001,0.1907,postbreeding_migration,0.0496,0.001,0.0011,147.0,4.96,0.07278940471461903,rare,7.278940471461903,rare,peak_abundance_with_occupancy_days_modifiers,0.0496
indbun,US-NH,0.16923631724529917,0.07593333333333334,0.1844,breeding,0.857,0.0051,0.0012,84.0,85.7,0.07057702609663956,uncommon,7.057702609663956,,peak_abundance_with_occupancy_days_modifiers,0.857
turvul,US-NH,0.16126814759612226,0.12054999999999999,0.175,postbreeding_migration,0.8972,0.0009,0.0003,126.0,89.72,0.0672540412525692,uncommon,6.7254041252569206,,peak_abundance_with_occupancy_days_modifiers,0.8972
