species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-NJ,2.8558320716214203,9.583025,16.3889,nonbreeding,0.838,0.0044,0.0035,126.0,83.8,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.838
snogoo,US-NJ,3.6103042108542844,13.11715,35.9773,nonbreeding,0.265,0.0093,0.0058,140.0,26.5,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.265
cangoo,US-NJ,3.4898826347170333,16.180349999999997,31.7821,nonbreeding,0.9262,0.0089,0.0183,119.0,92.62,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9262
comgra,US-NJ,3.1076224246666473,11.6073,21.3678,nonbreeding,0.7361,0.009,0.0162,112.0,73.61,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7361
amerob,US-NJ,2.4953271671158843,6.606675000000001,11.1257,postbreeding_migration,0.9706,0.0033,0.0096,98.0,97.06,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9706
eursta,US-NJ,2.351327636982036,6.575125,9.4995,nonbreeding,0.8902,0.0016,0.0016,140.0,89.02,0.9805797874725405,abundant,98.05797874725405,,peak_abundance_with_occupancy_days_modifiers,0.8902
amhgul1,US-NJ,2.0121536813126357,3.521774494377912,6.479408275566518,nonbreeding,0.2200759274800507,0.0129813624676893,0.057556094131013,133.0,22.00759274800507,0.8391332616309093,abundant,83.91332616309093,,peak_abundance_with_occupancy_days_modifiers,0.2200759274800507
laugul,US-NJ,1.963792165651968,2.736725,6.1263,breeding,0.5213,0.0344,0.0347,161.0,52.129999999999995,0.8189649431020397,abundant,81.89649431020398,,peak_abundance_with_occupancy_days_modifiers,0.5213
purmar,US-NJ,1.869522657693777,1.9287999999999998,5.4852,postbreeding_migration,0.6497,0.005,0.0209,98.0,64.97,0.7796515047598485,abundant,77.96515047598484,,peak_abundance_with_occupancy_days_modifiers,0.6497
treswa,US-NJ,1.754386381496559,1.5554,4.7799,postbreeding_migration,0.913,0.0025,0.0107,161.0,91.3,0.7316359481576401,common,73.16359481576401,,peak_abundance_with_occupancy_days_modifiers,0.913
daejun,US-NJ,1.596352672885445,1.7947250000000001,3.935,nonbreeding,0.8944,0.003,0.0047,98.0,89.44,0.6657307727299047,common,66.57307727299046,,peak_abundance_with_occupancy_days_modifiers,0.8944
whtspa,US-NJ,1.4661447426076242,1.8956000000000002,3.3325,nonbreeding,0.9448,0.0078,0.0181,105.0,94.48,0.6114298481837435,common,61.142984818374345,,peak_abundance_with_occupancy_days_modifiers,0.9448
blujay,US-NJ,1.3117324397929857,1.640675,2.7126,postbreeding_migration,0.9182,0.0033,0.0053,112.0,91.82000000000001,0.5470349162756301,common,54.703491627563004,,peak_abundance_with_occupancy_days_modifiers,0.9182
ribgul,US-NJ,1.2656227826376256,1.293725,2.5453,nonbreeding,0.3544,0.0165,0.0092,105.0,35.44,0.5278056956843781,common,52.780569568437805,,peak_abundance_with_occupancy_days_modifiers,0.3544
grycat,US-NJ,1.1801308298403652,1.095075,2.2548,breeding,0.9542,0.0081,0.0224,126.0,95.42,0.49215278216180774,common,49.21527821618078,,peak_abundance_with_occupancy_days_modifiers,0.9542
yerwar,US-NJ,1.1254489426216694,0.81535,2.0816,postbreeding_migration,0.9743,0.0036,0.004,105.0,97.43,0.4693486639674041,common,46.93486639674041,,peak_abundance_with_occupancy_days_modifiers,0.9743
brant,US-NJ,1.0936332471209458,0.9152,1.9851,nonbreeding,0.0663,,,,6.63,0.45608048838791176,common,45.60804883879118,,peak_abundance_with_occupancy_days_modifiers,0.0663
