species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
daejun,US-NM,1.598922822134334,1.8795000000000002,3.9477,nonbreeding,0.8735,0.0436,0.069,105.0,87.35000000000001,0.666802608217486,common,66.6802608217486,,peak_abundance_with_occupancy_days_modifiers,0.8735
horlar,US-NM,1.5020085916071626,1.6571500000000001,3.4907,nonbreeding,0.5803,,,,58.03,0.6263862348976992,common,62.63862348976992,,peak_abundance_with_occupancy_days_modifiers,0.5803
moudov,US-NM,1.226418993155766,1.4618499999999999,2.409,breeding,0.9585,0.0322,0.0399,119.0,95.85000000000001,0.5114564456038655,common,51.14564456038655,,peak_abundance_with_occupancy_days_modifiers,0.9585
whcspa,US-NM,1.142405863666525,0.99865,2.1343,nonbreeding,0.6953,0.0536,0.0806,112.0,69.53,0.47642024930193244,common,47.642024930193244,,peak_abundance_with_occupancy_days_modifiers,0.6953
sancra,US-NM,1.0279394353730635,1.3587999999999998,1.7953,postbreeding_migration,0.1933,0.0123,0.0442,77.0,19.33,0.4286840409729182,common,42.868404097291815,,peak_abundance_with_occupancy_days_modifiers,0.1933
rewbla,US-NM,1.0213351975934606,1.072225,1.7769,nonbreeding,0.2315,0.0177,0.0056,126.0,23.150000000000002,0.42592985989815607,common,42.59298598981561,,peak_abundance_with_occupancy_days_modifiers,0.2315
eursta,US-NM,0.9172103089335387,0.676075,1.5023,nonbreeding,0.2467,0.0065,0.0037,140.0,24.67,0.3825064085735254,common,38.25064085735254,,peak_abundance_with_occupancy_days_modifiers,0.2467
amerob,US-NM,0.8593393554240163,1.028375,1.3616,postbreeding_migration,0.7928,0.0331,0.0201,98.0,79.28,0.3583723464374479,common,35.83723464374479,,peak_abundance_with_occupancy_days_modifiers,0.7928
chispa,US-NM,0.7530656707711888,0.540125,1.1235,postbreeding_migration,0.9997,0.0258,0.0657,147.0,99.97,0.31405277758121297,common,31.405277758121297,,peak_abundance_with_occupancy_days_modifiers,0.9997
cliswa,US-NM,0.7224632348939984,0.5509000000000001,1.0595,breeding,0.6087,0.0347,0.0315,105.0,60.870000000000005,0.3012905705639411,common,30.12905705639411,,peak_abundance_with_occupancy_days_modifiers,0.6087
weskin,US-NM,0.68687756754635,0.6012333333333334,0.9875,breeding,0.6906,0.0622,0.1487,112.0,69.06,0.28645019460952353,fairly_common,28.645019460952355,,peak_abundance_with_occupancy_days_modifiers,0.6906
