species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
horlar,US-NV,1.890608833270224,2.5824249999999997,5.6234,nonbreeding,0.5685,,,,56.85,0.7884451229864857,abundant,78.84451229864857,,peak_abundance_with_occupancy_days_modifiers,0.5685
eursta,US-NV,1.6603591376124864,2.6521749999999997,4.2612,nonbreeding,0.307,0.0073,0.0097,140.0,30.7,0.6924235417816345,common,69.24235417816345,,peak_abundance_with_occupancy_days_modifiers,0.307
y00475,US-NV,1.4525735539091584,1.7067249999999998,3.2741,postbreeding_migration,0.104,0.037,0.0873,112.0,10.4,0.6057702229063527,common,60.57702229063528,,peak_abundance_with_occupancy_days_modifiers,0.104
whcspa,US-NV,1.1657723705106324,1.0989499999999999,2.2084,postbreeding_migration,1.0,0.0331,0.0801,112.0,100.0,0.4861648395303616,common,48.61648395303616,,peak_abundance_with_occupancy_days_modifiers,1.0
comrav,US-NV,0.9366030331860333,1.5513,1.5513,resident,0.9964,0.007,0.013,365.0,99.64,0.3905938027447742,common,39.05938027447742,,peak_abundance_with_occupancy_days_modifiers,0.9964
daejun,US-NV,0.9095480510067626,0.7862250000000001,1.4832,nonbreeding,0.8396,0.0381,0.0236,105.0,83.96000000000001,0.3793109988266125,common,37.93109988266125,,peak_abundance_with_occupancy_days_modifiers,0.8396
snogoo,US-NV,0.8876443132840334,0.511575,1.4294,prebreeding_migration,0.0529,0.0053,0.0024,105.0,5.29,0.37017643070297335,common,37.01764307029733,,peak_abundance_with_occupancy_days_modifiers,0.0529
pinjay,US-NV,0.8571350306653952,1.3564,1.3564,resident,0.3073,0.2064,0.3603,365.0,30.73,0.35745307161188444,common,35.74530716118844,,peak_abundance_with_occupancy_days_modifiers,0.3073
rewbla,US-NV,0.8229466180947898,0.849675,1.2772,prebreeding_migration,0.3759,0.0147,0.0078,126.0,37.59,0.34319539615856604,common,34.319539615856606,,peak_abundance_with_occupancy_days_modifiers,0.3759
cangoo,US-NV,0.7214430497147926,0.73925,1.0574,prebreeding_migration,0.28,0.009,0.0059,119.0,28.000000000000004,0.30086512029896134,common,30.086512029896134,,peak_abundance_with_occupancy_days_modifiers,0.28
