species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-OH,2.7374730717753804,9.8231,14.4479,postbreeding_migration,0.9393,0.0085,0.011,140.0,93.93,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9393
rewbla,US-OH,2.3271215958389493,4.9839,9.2484,postbreeding_migration,0.9741,0.018,0.0167,126.0,97.41,0.9704850842477253,abundant,97.04850842477254,,peak_abundance_with_occupancy_days_modifiers,0.9741
comgra,US-OH,2.312614628631224,4.407649999999999,9.1008,postbreeding_migration,0.981,0.0252,0.0387,112.0,98.1,0.9644352090207745,abundant,96.44352090207745,,peak_abundance_with_occupancy_days_modifiers,0.981
cangoo,US-OH,2.0371340693835864,4.476025,6.6686,prebreeding_migration,0.9665,0.0253,0.0176,119.0,96.65,0.8495508926068436,abundant,84.95508926068436,,peak_abundance_with_occupancy_days_modifiers,0.9665
amerob,US-OH,1.7873832408270758,3.904,4.9738,postbreeding_migration,0.9981,0.017,0.0216,98.0,99.81,0.7453967073137349,common,74.53967073137349,,peak_abundance_with_occupancy_days_modifiers,0.9981
amecro,US-OH,1.419608240149824,2.0076,3.1355,nonbreeding,0.9446,0.0216,0.0265,147.0,94.46,0.5920226192752469,common,59.20226192752469,,peak_abundance_with_occupancy_days_modifiers,0.9446
ribgul,US-OH,1.4170417770685495,1.626825,3.1249,nonbreeding,0.0478,0.0112,0.0569,105.0,4.78,0.5909523210389609,rare,59.09523210389609,rare,peak_abundance_with_occupancy_days_modifiers,0.0478
blujay,US-OH,1.4050179751179932,2.025975,3.0756,postbreeding_migration,0.9979,0.0192,0.0304,112.0,99.79,0.5859380061575088,common,58.59380061575088,,peak_abundance_with_occupancy_days_modifiers,0.9979
amegfi,US-OH,1.295083268566484,2.040025,2.6513,postbreeding_migration,0.9982,0.0182,0.0379,112.0,99.82,0.5400916725838102,common,54.00916725838102,,peak_abundance_with_occupancy_days_modifiers,0.9982
norcar,US-OH,1.1902794771939333,2.288,2.288,resident,0.9918,0.0252,0.0311,365.0,99.18,0.49638509683738774,common,49.638509683738775,,peak_abundance_with_occupancy_days_modifiers,0.9918
moudov,US-OH,1.1637756145745228,1.921725,2.202,breeding,0.9978,0.0172,0.0229,119.0,99.78,0.48533212762723527,common,48.53321276272353,,peak_abundance_with_occupancy_days_modifiers,0.9978
daejun,US-OH,1.159268282541456,0.8661,2.1876,nonbreeding,0.9841,0.0168,0.0131,105.0,98.41,0.4834524241705422,common,48.345242417054216,,peak_abundance_with_occupancy_days_modifiers,0.9841
sonspa,US-OH,1.1507935220544543,1.758775,2.1607,breeding,0.9962,0.0203,0.047,119.0,99.62,0.4799181745379002,common,47.99181745379002,,peak_abundance_with_occupancy_days_modifiers,0.9962
turvul,US-OH,1.05445139288234,1.196275,1.8704,postbreeding_migration,0.9985,0.004,0.0122,126.0,99.85000000000001,0.4397403860143497,common,43.97403860143497,,peak_abundance_with_occupancy_days_modifiers,0.9985
bnhcow,US-OH,0.9856302099527678,1.106425,1.6795,prebreeding_migration,0.9969,0.0244,0.0169,147.0,99.69,0.41103972351658474,common,41.10397235165848,,peak_abundance_with_occupancy_days_modifiers,0.9969
cedwax,US-OH,0.9285354582905921,0.662075,1.5308,postbreeding_migration,0.9575,0.0157,0.0283,126.0,95.75,0.3872293626931341,common,38.722936269313415,,peak_abundance_with_occupancy_days_modifiers,0.9575
grycat,US-OH,0.7965157135369785,0.574,1.2178,breeding,0.9955,0.0236,0.0607,126.0,99.55000000000001,0.33217285282331604,common,33.2172852823316,,peak_abundance_with_occupancy_days_modifiers,0.9955
barswa,US-OH,0.7728821485787989,0.7729333333333334,1.166,breeding,0.9505,0.002,0.0018,119.0,95.05,0.3223168907109261,common,32.23168907109261,,peak_abundance_with_occupancy_days_modifiers,0.9505
killde,US-OH,0.7695988327202764,0.5287,1.1589,postbreeding_migration,0.7994,0.0142,0.0211,161.0,79.94,0.32094764164664535,common,32.09476416466453,,peak_abundance_with_occupancy_days_modifiers,0.7994
amtspa,US-OH,0.7308282475276338,0.48679999999999995,1.0768,nonbreeding,0.8977,0.0315,0.0272,77.0,89.77000000000001,0.3047790517868401,common,30.47790517868401,,peak_abundance_with_occupancy_days_modifiers,0.8977
horlar,US-OH,0.7184249877442138,0.59235,1.0512,nonbreeding,0.4384,,,,43.84,0.2996064906979043,common,29.960649069790428,,peak_abundance_with_occupancy_days_modifiers,0.4384
indbun,US-OH,0.6996261466576544,0.48619999999999997,1.013,breeding,0.9854,0.026,0.0292,91.0,98.54,0.2917667650435721,common,29.176676504357207,,peak_abundance_with_occupancy_days_modifiers,0.9854
mallar3,US-OH,0.6722809878785604,0.61855,0.9587,prebreeding_migration,0.7094,0.0027,0.0012,126.0,70.94,0.28036294808405077,fairly_common,28.036294808405078,,peak_abundance_with_occupancy_days_modifiers,0.7094
