species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-OK,3.0677086898414934,10.632599999999998,20.4926,nonbreeding,0.8767,0.0383,0.0371,126.0,87.67,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8767
cangoo,US-OK,2.355699228643532,4.043875,9.5455,nonbreeding,0.6755,0.0548,0.0462,119.0,67.55,0.9824028827974646,abundant,98.24028827974645,,peak_abundance_with_occupancy_days_modifiers,0.6755
snogoo,US-OK,1.8660781334703542,2.224975,5.4629,nonbreeding,0.1777,0.0523,0.0074,105.0,17.77,0.7782150265856357,abundant,77.82150265856357,,peak_abundance_with_occupancy_days_modifiers,0.1777
daejun,US-OK,1.8188881366163077,2.7696,5.165,nonbreeding,0.9842,0.0282,0.0517,91.0,98.42,0.7585352693462899,abundant,75.85352693462899,,peak_abundance_with_occupancy_days_modifiers,0.9842
sancra,US-OK,1.7761550172490115,3.597433333333333,4.9071,nonbreeding,0.2646,0.0548,0.0714,77.0,26.46,0.7407141743835286,common,74.07141743835285,,peak_abundance_with_occupancy_days_modifiers,0.2646
amerob,US-OK,1.7755792729990165,2.6266,4.9037,nonbreeding,0.9454,0.0274,0.0433,98.0,94.54,0.7404740703821046,common,74.04740703821045,,peak_abundance_with_occupancy_days_modifiers,0.9454
eursta,US-OK,1.7726276169120285,3.26045,4.8863,nonbreeding,0.7488,0.0113,0.007,140.0,74.88,0.739243134185486,common,73.9243134185486,,peak_abundance_with_occupancy_days_modifiers,0.7488
mallar3,US-OK,1.6636798552817775,1.847275,4.2787,nonbreeding,0.6214,0.0112,0.0047,126.0,62.13999999999999,0.6938083886125037,common,69.38083886125037,,peak_abundance_with_occupancy_days_modifiers,0.6214
cliswa,US-OK,1.4519416423557454,1.6413666666666664,3.2714,breeding,0.9064,0.0296,0.0557,112.0,90.64,0.6055066953200643,common,60.55066953200643,,peak_abundance_with_occupancy_days_modifiers,0.9064
moudov,US-OK,1.299482964132927,1.7414,2.6674,breeding,1.0,0.0284,0.0279,119.0,100.0,0.5419264881474226,common,54.19264881474226,,peak_abundance_with_occupancy_days_modifiers,1.0
amecro,US-OK,1.2909391803030354,1.9070749999999999,2.6362,nonbreeding,0.9304,0.0356,0.0373,147.0,93.04,0.5383634535450311,common,53.83634535450311,,peak_abundance_with_occupancy_days_modifiers,0.9304
cacgoo1,US-OK,1.2639854742321068,1.2694999999999999,2.5395,nonbreeding,0.181,0.1937,0.1203,98.0,18.099999999999998,0.5271228850445255,common,52.71228850445255,,peak_abundance_with_occupancy_days_modifiers,0.181
comgra,US-OK,1.2496724835769264,1.447325,2.4892,postbreeding_migration,0.7816,0.037,0.019,112.0,78.16,0.5211539043231627,common,52.11539043231627,,peak_abundance_with_occupancy_days_modifiers,0.7816
bnhcow,US-OK,1.2287922381424485,1.9219999999999997,2.4171,prebreeding_migration,0.9881,0.0529,0.0435,147.0,98.81,0.5124461656360972,common,51.244616563609725,,peak_abundance_with_occupancy_days_modifiers,0.9881
brebla,US-OK,1.2074367977670981,1.4950666666666665,2.3449,nonbreeding,0.6486,0.0926,0.0943,98.0,64.86,0.503540255266447,common,50.3540255266447,,peak_abundance_with_occupancy_days_modifiers,0.6486
turvul,US-OK,1.1255138418656159,1.3798499999999998,2.0818,postbreeding_migration,0.9981,0.0067,0.021,126.0,99.81,0.4693757290543088,common,46.93757290543088,,peak_abundance_with_occupancy_days_modifiers,0.9981
