species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amerob,US-OR,1.6452489731697193,3.011675,4.1823,nonbreeding,0.778,0.0318,0.0519,98.0,77.8,0.6861221137692537,common,68.61221137692537,,peak_abundance_with_occupancy_days_modifiers,0.778
cacgoo1,US-OR,1.618595850218866,2.003575,4.046,nonbreeding,0.0348,0.0524,0.2697,119.0,3.4799999999999995,0.6750068981661348,rare,67.50068981661347,rare,peak_abundance_with_occupancy_days_modifiers,0.0348
eursta,US-OR,1.503299316372433,2.6290250000000004,3.4965,nonbreeding,0.2872,0.0061,0.0073,140.0,28.720000000000002,0.6269245089332304,common,62.692450893323034,,peak_abundance_with_occupancy_days_modifiers,0.2872
daejun,US-OR,1.3762187724222863,1.85275,2.9599,nonbreeding,0.8537,0.0344,0.0417,105.0,85.37,0.5739278057862066,common,57.39278057862066,,peak_abundance_with_occupancy_days_modifiers,0.8537
snogoo,US-OR,1.1155021813363775,0.72665,2.0511,prebreeding_migration,0.0389,0.0038,0.0031,140.0,3.8899999999999997,0.4652005423216728,rare,46.52005423216728,rare,peak_abundance_with_occupancy_days_modifiers,0.0389
cangoo,US-OR,1.104262960176924,1.422075,2.017,nonbreeding,0.158,0.018,0.0138,119.0,15.8,0.4605134230437999,common,46.051342304379986,,peak_abundance_with_occupancy_days_modifiers,0.158
pinsis,US-OR,1.0191360871663129,0.8645499999999999,1.7708,postbreeding_migration,0.9516,0.0334,0.0481,119.0,95.16,0.4250127596177166,common,42.50127596177166,,peak_abundance_with_occupancy_days_modifiers,0.9516
y00475,US-OR,0.9239016948754901,0.7699499999999999,1.5191,postbreeding_migration,0.0507,0.0162,0.0346,112.0,5.07,0.38529693325483994,common,38.52969332548399,,peak_abundance_with_occupancy_days_modifiers,0.0507
commur,US-OR,0.8745853910686449,0.7618557410238697,1.39788090500053,breeding,0.0094293225485305,0.0004678259334451408,0.0020294357511499,105.0,0.9429322548530499,0.36473043714206665,very_rare,36.47304371420667,very_rare,peak_abundance_with_occupancy_days_modifiers,0.0094293225485305
rewbla,US-OR,0.8365979629649065,0.925825,1.3085,prebreeding_migration,0.3884,0.013,0.0083,126.0,38.84,0.348888449155908,common,34.8888449155908,,peak_abundance_with_occupancy_days_modifiers,0.3884
whcspa,US-OR,0.7912715785531442,0.5172249999999999,1.2062,postbreeding_migration,0.884,0.0178,0.0388,112.0,88.4,0.3299858786700561,common,32.99858786700561,,peak_abundance_with_occupancy_days_modifiers,0.884
mallar3,US-OR,0.7603384301002686,0.9126749999999999,1.139,postbreeding_migration,0.1864,0.0035,0.0044,126.0,18.64,0.31708575379647214,common,31.708575379647215,,peak_abundance_with_occupancy_days_modifiers,0.1864
horlar,US-OR,0.7180348960677243,0.7053999999999999,1.0504,nonbreeding,0.3206,,,,32.06,0.2994438098331832,common,29.944380983318318,,peak_abundance_with_occupancy_days_modifiers,0.3206
comrav,US-OR,0.6858204051734844,0.9854,0.9854,resident,0.9728,0.0061,0.0073,365.0,97.28,0.28600932365704373,common,28.600932365704374,,peak_abundance_with_occupancy_days_modifiers,0.9728
vigswa,US-OR,0.6375816151102366,0.33790000000000003,0.8919,postbreeding_migration,0.842,0.0552,0.1218,119.0,84.2,0.2658921856775554,fairly_common,26.58921856775554,,peak_abundance_with_occupancy_days_modifiers,0.842
yerwar,US-OR,0.6288219700033877,0.431,0.8754,postbreeding_migration,0.929,0.0142,0.02,133.0,92.9,0.26223912993061843,fairly_common,26.223912993061845,,peak_abundance_with_occupancy_days_modifiers,0.929
tunswa,US-OR,0.6270607954320856,0.295775,0.8721,nonbreeding,0.0789,0.039,0.0599,56.0,7.89,0.2615046630874328,fairly_common,26.15046630874328,,peak_abundance_with_occupancy_days_modifiers,0.0789
gockin,US-OR,0.61664403457383,0.522925,0.8527,nonbreeding,0.6407,0.0282,0.0992,98.0,64.07000000000001,0.2571605363958199,fairly_common,25.716053639581993,,peak_abundance_with_occupancy_days_modifiers,0.6407
cliswa,US-OR,0.5895074058001856,0.3804666666666667,0.8031,breeding,0.3651,0.0168,0.0193,91.0,36.51,0.245843683203155,fairly_common,24.5843683203155,,peak_abundance_with_occupancy_days_modifiers,0.3651
norpin,US-OR,0.5788019787750849,0.39649999999999996,0.7839,prebreeding_migration,0.0997,0.0021,0.0074,147.0,9.969999999999999,0.24137917336965947,fairly_common,24.13791733696595,,peak_abundance_with_occupancy_days_modifiers,0.0997
norfli,US-OR,0.5537126845683675,0.5145,0.7397,postbreeding_migration,0.9932,0.0309,0.0454,112.0,99.32,0.23091612500748568,fairly_common,23.091612500748568,,peak_abundance_with_occupancy_days_modifiers,0.9932
redcro,US-OR,0.510245455500925,0.5055999999999999,0.6657,postbreeding_migration,0.5802,,,,58.02,0.2127888825209046,fairly_common,21.27888825209046,,peak_abundance_with_occupancy_days_modifiers,0.5802
comnig,US-OR,0.4880890967921204,0.3329666666666667,0.6292,breeding,0.8636,0.0294,0.0482,77.0,86.36,0.20354896326331842,fairly_common,20.354896326331843,,peak_abundance_with_occupancy_days_modifiers,0.8636
brebla,US-OR,0.4631048875545789,0.46857499999999996,0.589,breeding,0.4798,0.0476,0.0735,112.0,47.980000000000004,0.19312973873714273,fairly_common,19.312973873714274,,peak_abundance_with_occupancy_days_modifiers,0.4798
gwfgoo,US-OR,0.45748813617531625,0.18319999999999997,0.5801,prebreeding_migration,0.0503,0.0029,0.0001,42.0,5.029999999999999,0.19078737147741334,fairly_common,19.078737147741336,,peak_abundance_with_occupancy_days_modifiers,0.0503
mouchi,US-OR,0.4448140181720757,0.5219,0.5602,nonbreeding,0.3473,0.0714,0.1056,210.0,34.73,0.1855018537373289,fairly_common,18.550185373732887,,peak_abundance_with_occupancy_days_modifiers,0.3473
sonspa,US-OR,0.439028824946305,0.5207,0.5512,postbreeding_migration,0.8147,0.0274,0.0334,119.0,81.47,0.1830892407715344,fairly_common,18.308924077153442,,peak_abundance_with_occupancy_days_modifiers,0.8147
sooshe,US-OR,0.4364603912091907,0.23920983417855773,0.5472209577276244,nonbreeding,0.0100703731074136,0.00021430112930658496,0.000668948751658619,112.0,1.00703731074136,0.18201812070793089,rare,18.20181207079309,rare,peak_abundance_with_occupancy_days_modifiers,0.0100703731074136
stejay,US-OR,0.4295071025884023,0.5365,0.5365,resident,0.5218,0.1013,0.1591,365.0,52.18000000000001,0.17911837412614048,common,17.911837412614048,,peak_abundance_with_occupancy_days_modifiers,0.5218
rebnut,US-OR,0.4286606657113531,0.40515,0.5352,postbreeding_migration,0.6391,0.025,0.0502,119.0,63.91,0.178765382531115,fairly_common,17.8765382531115,,peak_abundance_with_occupancy_days_modifiers,0.6391
wilpha,US-OR,0.4244177010248514,0.2930333333333333,0.5287,postbreeding_migration,0.0555,0.0088,0.0202,91.0,5.55,0.17699592882117454,fairly_common,17.699592882117454,,peak_abundance_with_occupancy_days_modifiers,0.0555
gcrfin,US-OR,0.4206164118755082,0.17765,0.5229,nonbreeding,0.2438,0.0874,0.0728,70.0,24.38,0.17541066811672887,fairly_common,17.541066811672888,,peak_abundance_with_occupancy_days_modifiers,0.2438
turvul,US-OR,0.419565232486946,0.27215,0.5213,breeding,0.9857,0.0092,0.0096,126.0,98.57000000000001,0.174972292262501,fairly_common,17.4972292262501,,peak_abundance_with_occupancy_days_modifiers,0.9857
amewig,US-OR,0.40031855395528526,0.3156,0.4923,nonbreeding,0.067,0.0179,0.0567,126.0,6.7,0.16694580388746877,fairly_common,16.69458038874688,,peak_abundance_with_occupancy_days_modifiers,0.067
swathr,US-OR,0.3808308271498035,0.20166666666666666,0.4635,breeding,0.4036,0.0145,0.0268,77.0,40.36,0.15881879057435633,fairly_common,15.881879057435633,,peak_abundance_with_occupancy_days_modifiers,0.4036
bnhcow,US-OR,0.3787788428456586,0.17885,0.4605,breeding,0.7222,0.0188,0.0118,147.0,72.22,0.1579630466528338,fairly_common,15.796304665283381,,peak_abundance_with_occupancy_days_modifiers,0.7222
moudov,US-OR,0.37576162873472174,0.187425,0.4561,breeding,0.6173,0.0166,0.0061,119.0,61.73,0.1567047706367108,fairly_common,15.670477063671079,,peak_abundance_with_occupancy_days_modifiers,0.6173
wesmea,US-OR,0.37142561588464035,0.28815,0.4498,prebreeding_migration,0.5163,0.034,0.0253,112.0,51.629999999999995,0.1548965128285951,fairly_common,15.48965128285951,,peak_abundance_with_occupancy_days_modifiers,0.5163
barswa,US-OR,0.3679709036805839,0.19754999999999998,0.4448,postbreeding_migration,0.3286,0.0014,0.001,126.0,32.86,0.15345578593645487,fairly_common,15.345578593645486,,peak_abundance_with_occupancy_days_modifiers,0.3286
westan,US-OR,0.35963057176436497,0.27043333333333336,0.4328,breeding,0.7043,0.0639,0.107,105.0,70.43,0.14997759737216218,fairly_common,14.997759737216217,,peak_abundance_with_occupancy_days_modifiers,0.7043
wewpew,US-OR,0.3524861833172777,0.2194,0.4226,breeding,0.7144,0.0511,0.085,84.0,71.44,0.14699815597280963,fairly_common,14.699815597280963,,peak_abundance_with_occupancy_days_modifiers,0.7144
cedwax,US-OR,0.32807997705861963,0.20915,0.3883,breeding,0.5399,0.0176,0.0153,126.0,53.99,0.13681997741116803,fairly_common,13.681997741116803,,peak_abundance_with_occupancy_days_modifiers,0.5399
chbchi,US-OR,0.31305737878300915,0.3676,0.3676,resident,0.2823,0.1464,0.1835,365.0,28.23,0.1305550673268844,fairly_common,13.05550673268844,,peak_abundance_with_occupancy_days_modifiers,0.2823
