species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-PA,3.1048512174635783,8.329675,21.3059,nonbreeding,0.365,0.0148,0.0251,126.0,36.5,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.365
comgra,US-PA,3.244902181772407,9.631,24.6592,nonbreeding,0.1615,0.0205,0.1026,112.0,16.150000000000002,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.1615
cangoo,US-PA,2.0371340693835864,4.30245,6.6686,prebreeding_migration,0.8506,0.015,0.0199,119.0,85.06,0.8495508926068436,abundant,84.95508926068436,,peak_abundance_with_occupancy_days_modifiers,0.8506
snogoo,US-PA,1.9931617152236707,3.0538,6.3387,nonbreeding,0.0614,0.0118,0.0056,140.0,6.140000000000001,0.8312129965949799,abundant,83.12129965949799,,peak_abundance_with_occupancy_days_modifiers,0.0614
eursta,US-PA,1.922612277646817,4.4264,5.8388,postbreeding_migration,0.7648,0.0069,0.0054,140.0,76.48,0.8017915959286691,abundant,80.17915959286691,,peak_abundance_with_occupancy_days_modifiers,0.7648
daejun,US-PA,1.710314389801864,2.071775,4.5307,nonbreeding,0.9972,0.0186,0.0295,105.0,99.72,0.7132565000663719,common,71.32565000663719,,peak_abundance_with_occupancy_days_modifiers,0.9972
amerob,US-PA,1.6099377874757514,3.10845,4.0025,postbreeding_migration,0.9993,0.0187,0.0193,98.0,99.92999999999999,0.6713962055552726,common,67.13962055552726,,peak_abundance_with_occupancy_days_modifiers,0.9993
blujay,US-PA,1.5231826131820123,2.131175,3.5868,postbreeding_migration,0.9992,0.0209,0.038,112.0,99.92,0.6352164877511273,common,63.52164877511272,,peak_abundance_with_occupancy_days_modifiers,0.9992
amecro,US-PA,1.456123549463056,2.2996,3.2893,nonbreeding,0.9988,0.0249,0.0303,147.0,99.88,0.60725068604174,common,60.725068604174005,,peak_abundance_with_occupancy_days_modifiers,0.9988
cedwax,US-PA,1.341401592229154,1.32195,2.8244,postbreeding_migration,0.9956,0.0233,0.0568,126.0,99.56,0.5594079138676158,common,55.94079138676158,,peak_abundance_with_occupancy_days_modifiers,0.9956
amegfi,US-PA,1.176437154131415,1.76115,2.2428,postbreeding_migration,0.9994,0.0198,0.04,112.0,99.94,0.4906123997477586,common,49.06123997477586,,peak_abundance_with_occupancy_days_modifiers,0.9994
