species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
comgra,US-RI,2.64365389207424,4.9262250000000005,13.0645,postbreeding_migration,0.8744,0.0011,0.0017,112.0,87.44,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.8744
cangoo,US-RI,2.712818813177312,6.963925,14.0717,nonbreeding,0.7524,0.0012,0.0014,119.0,75.24,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7524
amhgul1,US-RI,2.4140906710459515,6.75630751656483,10.179599800269354,nonbreeding,0.3523523665235135,0.0034814467405936,0.015146821231384,133.0,35.23523665235135,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.3523523665235135
eursta,US-RI,2.1420289418682694,4.6533,7.5167,nonbreeding,0.8107,0.0002,0.0002,140.0,81.07,0.8932954521272722,abundant,89.32954521272723,,peak_abundance_with_occupancy_days_modifiers,0.8107
comter,US-RI,2.062498820949524,3.4179333333333335,6.8656,breeding,0.2281,0.0001,0.0013,119.0,22.81,0.8601288156102683,abundant,86.01288156102683,,peak_abundance_with_occupancy_days_modifiers,0.2281
amerob,US-RI,2.013702299965746,4.0244,6.491,postbreeding_migration,0.9414,0.0005,0.0009,98.0,94.14,0.8397790857712198,abundant,83.97790857712198,,peak_abundance_with_occupancy_days_modifiers,0.9414
comeid,US-RI,1.8428802487357694,2.30635,5.3147,nonbreeding,0.2138,0.0033,0.0039,84.0,21.38,0.7685407572387878,abundant,76.85407572387878,,peak_abundance_with_occupancy_days_modifiers,0.2138
doccor,US-RI,1.827158787579916,2.402325,5.2162,postbreeding_migration,0.3872,0.0016,0.0045,147.0,38.72,0.7619843986962788,abundant,76.19843986962788,,peak_abundance_with_occupancy_days_modifiers,0.3872
treswa,US-RI,1.6795235200007883,1.341525,4.363,postbreeding_migration,0.8662,0.0004,0.0016,161.0,86.61999999999999,0.7004157099991967,common,70.04157099991967,,peak_abundance_with_occupancy_days_modifiers,0.8662
blujay,US-RI,1.3522203807861393,1.8037,2.866,postbreeding_migration,0.9145,0.0006,0.0009,112.0,91.45,0.5639196991318486,common,56.39196991318486,,peak_abundance_with_occupancy_days_modifiers,0.9145
rewbla,US-RI,1.3495007002908783,2.3038,2.8555,prebreeding_migration,0.9585,0.0005,0.0003,126.0,95.85000000000001,0.562785504271,common,56.27855042710001,,peak_abundance_with_occupancy_days_modifiers,0.9585
blksco2,US-RI,1.307954369668639,1.22025,2.6986,nonbreeding,0.1869,0.0027,0.0108,112.0,18.69,0.5454593386567053,common,54.54593386567053,,peak_abundance_with_occupancy_days_modifiers,0.1869
grycat,US-RI,1.2799889547489594,1.170275,2.5966,breeding,0.9414,0.0009,0.0043,126.0,94.14,0.5337968547955799,common,53.37968547955799,,peak_abundance_with_occupancy_days_modifiers,0.9414
daejun,US-RI,1.2434050335696503,1.2539250000000002,2.4674,nonbreeding,0.7702,0.0004,0.0005,98.0,77.02,0.5185401746584964,common,51.854017465849644,,peak_abundance_with_occupancy_days_modifiers,0.7702
bkcchi,US-RI,1.233143181625716,2.432,2.432,resident,0.9023,0.0006,0.0014,365.0,90.23,0.5142606500018759,common,51.42606500018759,,peak_abundance_with_occupancy_days_modifiers,0.9023
sonspa,US-RI,1.0627432855871988,1.5905,1.8943,postbreeding_migration,0.9487,0.0006,0.0014,119.0,94.87,0.4431983738584903,common,44.319837385849034,,peak_abundance_with_occupancy_days_modifiers,0.9487
amecro,US-RI,1.0478451716144566,1.343125,1.8515,nonbreeding,0.9316,0.0007,0.0005,147.0,93.16,0.4369853777607265,common,43.69853777607265,,peak_abundance_with_occupancy_days_modifiers,0.9316
gbbgul,US-RI,1.0437336271581203,1.8398,1.8398,resident,0.2796,0.0019,0.0053,365.0,27.96,0.43527073054365356,common,43.52707305436535,,peak_abundance_with_occupancy_days_modifiers,0.2796
amegfi,US-RI,1.0268298155724105,1.567075,1.7922,postbreeding_migration,0.9438,0.0006,0.0012,112.0,94.38,0.42822129357388017,common,42.822129357388015,,peak_abundance_with_occupancy_days_modifiers,0.9438
laugul,US-RI,1.0183417772714976,0.46099999999999997,1.7686,postbreeding_migration,0.279,0.0028,0.0021,161.0,27.900000000000002,0.42468150666274984,common,42.46815066627499,,peak_abundance_with_occupancy_days_modifiers,0.279
tuftit,US-RI,0.9732380123159052,1.6465,1.6465,resident,0.7768,0.0012,0.0021,365.0,77.68,0.405871775701082,common,40.5871775701082,,peak_abundance_with_occupancy_days_modifiers,0.7768
mallar3,US-RI,0.9394993170110364,0.9822249999999999,1.5587,nonbreeding,0.4355,0.0002,0.0,126.0,43.55,0.3918016469145586,common,39.18016469145586,,peak_abundance_with_occupancy_days_modifiers,0.4355
ribgul,US-RI,0.9133664603569083,0.8614499999999999,1.4927,nonbreeding,0.3886,0.003,0.0009,105.0,38.86,0.3809033992093405,common,38.09033992093405,,peak_abundance_with_occupancy_days_modifiers,0.3886
brant,US-RI,0.8862438105218584,0.79425,1.426,nonbreeding,0.1496,,,,14.96,0.36959237568686726,common,36.959237568686724,,peak_abundance_with_occupancy_days_modifiers,0.1496
moudov,US-RI,0.8423427469217984,1.0993,1.3218,breeding,0.9414,0.0005,0.0004,119.0,94.14,0.35128421014766625,common,35.12842101476662,,peak_abundance_with_occupancy_days_modifiers,0.9414
norcar,US-RI,0.8357745788097013,1.3066,1.3066,resident,0.9219,0.0008,0.0006,365.0,92.19000000000001,0.3485450712926019,common,34.85450712926019,,peak_abundance_with_occupancy_days_modifiers,0.9219
yerwar,US-RI,0.8337348688695922,0.43267500000000003,1.3019,postbreeding_migration,1.0,0.0002,0.0004,133.0,100.0,0.3476944461784664,common,34.76944461784664,,peak_abundance_with_occupancy_days_modifiers,1.0
cedwax,US-RI,0.8136819821886829,0.7229749999999999,1.2562,postbreeding_migration,0.9536,0.0005,0.0008,126.0,95.36,0.33933174289096735,common,33.93317428909673,,peak_abundance_with_occupancy_days_modifiers,0.9536
sursco,US-RI,0.7964255300134471,0.55105,1.2176,nonbreeding,0.1576,0.0043,0.0039,126.0,15.76,0.3321352433728306,common,33.21352433728306,,peak_abundance_with_occupancy_days_modifiers,0.1576
whwsco2,US-RI,0.7819361433740046,0.452325,1.1857,nonbreeding,0.1649,0.0038,0.01,161.0,16.49,0.3260926998123134,common,32.60926998123134,,peak_abundance_with_occupancy_days_modifiers,0.1649
whtspa,US-RI,0.7194482549793159,0.6396499999999999,1.0533,postbreeding_migration,0.939,0.0012,0.0009,98.0,93.89999999999999,0.30003322628002504,common,30.003322628002504,,peak_abundance_with_occupancy_days_modifiers,0.939
bnhcow,US-RI,0.7177422274153256,0.7287250000000001,1.0498,prebreeding_migration,0.9927,0.0004,0.0004,147.0,99.27,0.2993217575251785,common,29.932175752517846,,peak_abundance_with_occupancy_days_modifiers,0.9927
gresca,US-RI,0.7047298418030119,0.5145666666666667,1.0233,nonbreeding,0.1157,0.0017,0.0027,49.0,11.57,0.29389517123514075,common,29.389517123514075,,peak_abundance_with_occupancy_days_modifiers,0.1157
buffle,US-RI,0.6995267875239843,0.45239999999999997,1.0128,nonbreeding,0.2654,0.0021,0.0039,105.0,26.540000000000003,0.29172532906644777,common,29.172532906644776,,peak_abundance_with_occupancy_days_modifiers,0.2654
rebmer,US-RI,0.6902931115770389,0.4436,0.9943,nonbreeding,0.2918,0.0025,0.0027,42.0,29.18,0.2878745871046566,fairly_common,28.787458710465657,,peak_abundance_with_occupancy_days_modifiers,0.2918
comgol,US-RI,0.6821367880398931,0.48360000000000003,0.9781,nonbreeding,0.2277,,,,22.770000000000003,0.28447313599473084,fairly_common,28.447313599473084,,peak_abundance_with_occupancy_days_modifiers,0.2277
lotduc,US-RI,0.6786932235897949,0.392475,0.9713,nonbreeding,0.1549,0.0018,0.001,105.0,15.49,0.28303705807708285,fairly_common,28.303705807708283,,peak_abundance_with_occupancy_days_modifiers,0.1549
chispa,US-RI,0.672842427219581,0.5613999999999999,0.9598,breeding,0.7771,0.0004,0.0007,147.0,77.71000000000001,0.2805970864750763,fairly_common,28.05970864750763,,peak_abundance_with_occupancy_days_modifiers,0.7771
comyel,US-RI,0.6448493951521932,0.346525,0.9057,breeding,0.939,0.0004,0.0006,133.0,93.89999999999999,0.26892308536879794,fairly_common,26.892308536879796,,peak_abundance_with_occupancy_days_modifiers,0.939
ambduc,US-RI,0.6281285441854969,0.3371,0.8741,nonbreeding,0.3594,0.0122,0.0123,147.0,35.94,0.2619499489035081,fairly_common,26.19499489035081,,peak_abundance_with_occupancy_days_modifiers,0.3594
barswa,US-RI,0.6011963518120367,0.5733,0.8243,breeding,0.746,0.0001,0.0,133.0,74.6,0.2507183523117062,fairly_common,25.07183523117062,,peak_abundance_with_occupancy_days_modifiers,0.746
houspa,US-RI,0.58761998434502,0.7997,0.7997,resident,0.5076,0.0001,0.0001,365.0,50.760000000000005,0.2450565673200819,common,24.50565673200819,,peak_abundance_with_occupancy_days_modifiers,0.5076
razorb,US-RI,0.5749186511786342,0.359061471746084,0.776985965320298,nonbreeding,0.2097064673665259,0.0001738343106002697,0.0002929114128191059,98.0,20.97064673665259,0.23975969997542787,fairly_common,23.975969997542787,,peak_abundance_with_occupancy_days_modifiers,0.2097064673665259
reevir1,US-RI,0.5687737257201884,0.3599333333333334,0.7661,breeding,0.699,0.0004,0.0005,98.0,69.89999999999999,0.23719706701636847,fairly_common,23.71970670163685,,peak_abundance_with_occupancy_days_modifiers,0.699
dowwoo,US-RI,0.5664495275139878,0.762,0.762,resident,0.8573,0.0006,0.0016,365.0,85.72999999999999,0.2362278010802927,common,23.62278010802927,,peak_abundance_with_occupancy_days_modifiers,0.8573
houfin,US-RI,0.5599585863162005,0.7506,0.7506,resident,0.7032,0.0008,0.0006,365.0,70.32000000000001,0.23352086834998534,common,23.352086834998534,,peak_abundance_with_occupancy_days_modifiers,0.7032
whbnut,US-RI,0.5546893874123782,0.7414,0.7414,resident,0.7356,0.0008,0.002,365.0,73.56,0.2313234417302343,common,23.13234417302343,,peak_abundance_with_occupancy_days_modifiers,0.7356
