species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-SC,3.2153616574083435,8.4226,23.9123,nonbreeding,0.9513,0.0189,0.0197,126.0,95.13000000000001,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9513
comgra,US-SC,2.176613623432095,3.7291749999999997,7.8164,nonbreeding,0.8011,0.0374,0.0227,112.0,80.11,0.9077183845864805,abundant,90.77183845864805,,peak_abundance_with_occupancy_days_modifiers,0.8011
purmar,US-SC,1.6802131944831424,1.6099666666666665,4.3667,postbreeding_migration,0.8869,0.0272,0.0635,98.0,88.69,0.7007033265978772,common,70.07033265978771,,peak_abundance_with_occupancy_days_modifiers,0.8869
amerob,US-SC,1.5371682495540184,1.880775,3.6514,nonbreeding,0.9789,0.0129,0.0146,98.0,97.89,0.641048951132935,common,64.10489511329351,,peak_abundance_with_occupancy_days_modifiers,0.9789
dunlin,US-SC,1.2887090952688371,1.1690749999999999,2.6281,nonbreeding,0.0371,0.0022,0.0249,70.0,3.71,0.53743343585014,rare,53.743343585014,rare,peak_abundance_with_occupancy_days_modifiers,0.0371
norcar,US-SC,1.2563280346598642,2.5125,2.5125,resident,0.9814,0.019,0.0259,365.0,98.14,0.5239294847075266,common,52.392948470752664,,peak_abundance_with_occupancy_days_modifiers,0.9814
amecro,US-SC,1.24121078393074,1.897025,2.4598,nonbreeding,0.978,0.017,0.0162,147.0,97.8,0.5176251014841999,common,51.76251014841999,,peak_abundance_with_occupancy_days_modifiers,0.978
yerwar,US-SC,1.186806299404026,1.3353666666666666,2.2766,nonbreeding,0.9656,0.0163,0.0311,91.0,96.56,0.49493666919782103,common,49.4936669197821,,peak_abundance_with_occupancy_days_modifiers,0.9656
chispa,US-SC,1.1703746548950005,1.138125,2.2232,nonbreeding,0.931,0.0261,0.0416,147.0,93.10000000000001,0.48808414119318905,common,48.808414119318904,,peak_abundance_with_occupancy_days_modifiers,0.931
turvul,US-SC,1.1130738806091136,1.665675,2.0437,nonbreeding,0.9935,0.0041,0.0121,126.0,99.35000000000001,0.46418786226228465,common,46.41878622622846,,peak_abundance_with_occupancy_days_modifiers,0.9935
moudov,US-SC,1.1003441215128684,1.6007249999999997,2.0052,breeding,0.9814,0.0129,0.0136,119.0,98.14,0.458879140384123,common,45.8879140384123,,peak_abundance_with_occupancy_days_modifiers,0.9814
blujay,US-SC,1.0617062279721297,1.306025,1.8913,postbreeding_migration,0.9822,0.0143,0.0166,112.0,98.22,0.4427658872412333,common,44.27658872412333,,peak_abundance_with_occupancy_days_modifiers,0.9822
carwre,US-SC,1.0185584698217334,1.7692,1.7692,resident,0.9821,0.0305,0.0476,365.0,98.21,0.42477187447517845,common,42.47718744751784,,peak_abundance_with_occupancy_days_modifiers,0.9821
carchi,US-SC,0.9031244353423962,1.4673,1.4673,resident,0.976,0.0396,0.0456,365.0,97.6,0.37663214302451153,common,37.66321430245115,,peak_abundance_with_occupancy_days_modifiers,0.976
tuftit,US-SC,0.884676218104813,1.4222,1.4222,resident,0.9686,0.033,0.0415,365.0,96.86,0.3689386388724083,common,36.893863887240826,,peak_abundance_with_occupancy_days_modifiers,0.9686
amegfi,US-SC,0.8475406880450386,0.7266999999999999,1.3339,nonbreeding,0.9669,0.0134,0.0156,112.0,96.69,0.3534519199647735,common,35.34519199647735,,peak_abundance_with_occupancy_days_modifiers,0.9669
easblu,US-SC,0.840402714841698,1.06635,1.3173,postbreeding_migration,0.9661,0.022,0.0452,105.0,96.61,0.3504751539298623,common,35.04751539298623,,peak_abundance_with_occupancy_days_modifiers,0.9661
ribgul,US-SC,0.774911482362585,0.39735000000000004,1.1704,nonbreeding,0.1054,0.0188,0.0162,105.0,10.54,0.32316318863177645,common,32.31631886317764,,peak_abundance_with_occupancy_days_modifiers,0.1054
whtspa,US-SC,0.7590753606740518,0.6384333333333333,1.1363,nonbreeding,0.9723,0.0305,0.0235,98.0,97.23,0.3165590129331221,common,31.655901293312212,,peak_abundance_with_occupancy_days_modifiers,0.9723
ruckin,US-SC,0.755887210381131,0.7714666666666666,1.1295,nonbreeding,0.9782,0.0173,0.0382,98.0,97.82,0.31522945099224553,common,31.522945099224554,,peak_abundance_with_occupancy_days_modifiers,0.9782
sonspa,US-SC,0.7271620591472229,0.43162500000000004,1.0692,nonbreeding,0.9819,0.0152,0.0213,119.0,98.19,0.3032501324791456,common,30.325013247914562,,peak_abundance_with_occupancy_days_modifiers,0.9819
pinwar,US-SC,0.7229486717967349,0.67805,1.0605,prebreeding_migration,0.9718,0.0695,0.085,119.0,97.18,0.301493013476375,common,30.149301347637504,,peak_abundance_with_occupancy_days_modifiers,0.9718
bnhcow,US-SC,0.7060634058264916,0.7570250000000001,1.026,postbreeding_migration,0.9488,0.0128,0.0088,147.0,94.88,0.2944513106289699,common,29.44513106289699,,peak_abundance_with_occupancy_days_modifiers,0.9488
buggna,US-SC,0.6945961303250497,0.5334749999999999,1.0029,prebreeding_migration,0.9783,0.0168,0.0374,112.0,97.83,0.28966908530348295,common,28.966908530348295,,peak_abundance_with_occupancy_days_modifiers,0.9783
rebwoo,US-SC,0.6727914003028714,0.9597,0.9597,resident,0.9708,0.0251,0.0321,365.0,97.08,0.2805758065979739,common,28.057580659797388,,peak_abundance_with_occupancy_days_modifiers,0.9708
doccor,US-SC,0.6571054092126798,0.424975,0.9292,nonbreeding,0.1442,0.0222,0.0212,147.0,14.42,0.2740342402217718,fairly_common,27.40342402217718,,peak_abundance_with_occupancy_days_modifiers,0.1442
cangoo,US-SC,0.5992210425277821,0.6224999999999999,0.8207,nonbreeding,0.4876,0.018,0.0018,119.0,48.76,0.24989458435709097,fairly_common,24.989458435709096,,peak_abundance_with_occupancy_days_modifiers,0.4876
treswa,US-SC,0.5850607306948874,0.554375,0.7951,postbreeding_migration,0.362,0.0311,0.0156,161.0,36.199999999999996,0.2439892756501059,fairly_common,24.398927565010588,,peak_abundance_with_occupancy_days_modifiers,0.362
killde,US-SC,0.570923047814571,0.484425,0.7699,nonbreeding,0.6319,0.0237,0.0235,161.0,63.190000000000005,0.23809340394932985,fairly_common,23.809340394932985,,peak_abundance_with_occupancy_days_modifiers,0.6319
laugul,US-SC,0.5363179165269265,0.5474,0.7097,prebreeding_migration,0.0755,0.0191,0.0233,161.0,7.55,0.2236619432928935,fairly_common,22.36619432928935,,peak_abundance_with_occupancy_days_modifiers,0.0755
chiswi,US-SC,0.5326849581188842,0.53375,0.7035,postbreeding_migration,0.9292,0.0367,0.0496,119.0,92.92,0.22214688196004276,fairly_common,22.214688196004275,,peak_abundance_with_occupancy_days_modifiers,0.9292
semsan,US-SC,0.5156340447582954,0.174225,0.6747,prebreeding_migration,0.0307,0.0011,0.0176,112.0,3.0700000000000003,0.21503609878530883,rare,21.50360987853088,rare,peak_abundance_with_occupancy_days_modifiers,0.0307
normoc,US-SC,0.5150964906166366,0.5797249999999999,0.6738,postbreeding_migration,0.9261,0.0185,0.0246,112.0,92.61,0.21481192129609278,fairly_common,21.481192129609276,,peak_abundance_with_occupancy_days_modifiers,0.9261
