species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-SD,3.5062448483252577,11.9752,32.3229,prebreeding_migration,0.9672,0.0211,0.0839,119.0,96.72,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9672
rewbla,US-SD,3.031538510165128,12.13005,19.7291,postbreeding_migration,0.9546,0.0357,0.0604,126.0,95.46,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.9546
snogoo,US-SD,3.864979614761194,17.544575000000002,46.7023,prebreeding_migration,0.4505,0.0184,0.0552,133.0,45.050000000000004,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.4505
mallar3,US-SD,2.0654693841129528,4.297325,6.889,postbreeding_migration,0.6983,0.0077,0.0151,126.0,69.83,0.8613676366701898,abundant,86.13676366701898,,peak_abundance_with_occupancy_days_modifiers,0.6983
gwfgoo,US-SD,2.0353198382698476,1.808725,6.6547,prebreeding_migration,0.4964,0.0052,0.0,14.0,49.64,0.8487942994668848,abundant,84.87942994668848,,peak_abundance_with_occupancy_days_modifiers,0.4964
comgra,US-SD,1.8766213154085352,2.818575,5.5314,postbreeding_migration,0.6767,0.0326,0.074,112.0,67.67,0.7826118749625363,abundant,78.26118749625363,,peak_abundance_with_occupancy_days_modifiers,0.6767
eursta,US-SD,1.744825082038841,3.0584,4.7249,postbreeding_migration,0.9617,0.0144,0.0057,140.0,96.17,0.7276485765796645,common,72.76485765796646,,peak_abundance_with_occupancy_days_modifiers,0.9617
amerob,US-SD,1.6304554876565702,2.53425,4.1062,postbreeding_migration,1.0,0.0268,0.0329,98.0,100.0,0.6799527511282051,common,67.99527511282051,,peak_abundance_with_occupancy_days_modifiers,1.0
moudov,US-SD,1.495485032358069,1.320275,3.4615,breeding,0.9845,0.0224,0.036,119.0,98.45,0.623665699383452,common,62.366569938345194,,peak_abundance_with_occupancy_days_modifiers,0.9845
sancra,US-SD,1.469048773412239,1.6293999999999997,3.3451,prebreeding_migration,0.7595,0.0244,0.036,63.0,75.94999999999999,0.6126409230949618,common,61.26409230949618,,peak_abundance_with_occupancy_days_modifiers,0.7595
