species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
rewbla,US-VA,2.4034525298739844,4.652774999999999,10.0613,nonbreeding,0.6127,0.016,0.0109,126.0,61.27,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.6127
comgra,US-VA,3.1362243840741058,8.42855,22.0168,postbreeding_migration,0.7382,0.0261,0.0836,112.0,73.82,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.7382
cangoo,US-VA,2.4247053758472066,5.040699999999999,10.2989,nonbreeding,0.5963,0.0289,0.0298,119.0,59.63,1.0,abundant,100.0,,peak_abundance_with_occupancy_days_modifiers,0.5963
amerob,US-VA,1.8210107808335032,3.2399999999999998,5.1781,nonbreeding,0.9551,0.0166,0.0273,98.0,95.50999999999999,0.7594204807403299,abundant,75.94204807403298,,peak_abundance_with_occupancy_days_modifiers,0.9551
eursta,US-VA,1.6958541123409838,2.9023499999999998,4.4513,nonbreeding,0.5656,0.0051,0.0038,140.0,56.56,0.7072260959762029,common,70.72260959762029,,peak_abundance_with_occupancy_days_modifiers,0.5656
amecro,US-VA,1.5756742822812912,2.66655,3.834,nonbreeding,0.9794,0.0224,0.0324,147.0,97.94,0.6571072140454497,common,65.71072140454497,,peak_abundance_with_occupancy_days_modifiers,0.9794
daejun,US-VA,1.4540931866843259,1.366425,3.2806,nonbreeding,0.9485,0.0162,0.0197,105.0,94.85,0.6064039589966673,common,60.640395899666736,,peak_abundance_with_occupancy_days_modifiers,0.9485
whtspa,US-VA,1.3905851425370468,1.354625,3.0172,nonbreeding,0.9352,0.0387,0.0823,98.0,93.52000000000001,0.5799190474712511,common,57.99190474712511,,peak_abundance_with_occupancy_days_modifiers,0.9352
ribgul,US-VA,1.2872196041786506,1.0319500000000001,2.6227,nonbreeding,0.1184,0.0277,0.0477,105.0,11.84,0.5368122698187944,common,53.68122698187944,,peak_abundance_with_occupancy_days_modifiers,0.1184
blujay,US-VA,1.271612761036276,1.6133,2.5666,postbreeding_migration,0.9737,0.0186,0.0258,112.0,97.37,0.5303037107005468,common,53.030371070054684,,peak_abundance_with_occupancy_days_modifiers,0.9737
turvul,US-VA,1.1287211014384264,1.7642,2.0917,postbreeding_migration,0.9853,0.005,0.0141,126.0,98.53,0.4707132601838762,common,47.07132601838762,,peak_abundance_with_occupancy_days_modifiers,0.9853
norcar,US-VA,1.1166486511542084,2.0546,2.0546,resident,0.969,0.0247,0.0279,365.0,96.89999999999999,0.4656786573714985,common,46.56786573714985,,peak_abundance_with_occupancy_days_modifiers,0.969
sonspa,US-VA,1.049422044477338,1.0247000000000002,1.856,nonbreeding,0.9695,0.0198,0.0486,119.0,96.95,0.437642984821706,common,43.7642984821706,,peak_abundance_with_occupancy_days_modifiers,0.9695
amegfi,US-VA,1.0449653494373337,1.669375,1.8433,postbreeding_migration,0.9811,0.0178,0.0399,112.0,98.11,0.43578439863132445,common,43.578439863132445,,peak_abundance_with_occupancy_days_modifiers,0.9811
carwre,US-VA,0.9605372559937144,1.6131,1.6131,resident,0.9741,0.0399,0.0571,365.0,97.41,0.4005751489191422,common,40.05751489191422,,peak_abundance_with_occupancy_days_modifiers,0.9741
