species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-VT,1.5748878746746942,1.851275,3.8302,postbreeding_migration,0.646,0.0022,0.0013,119.0,64.60000000000001,0.6567792566006363,common,65.67792566006364,,peak_abundance_with_occupancy_days_modifiers,0.646
bkcchi,US-VT,1.5534599780246436,3.7278,3.7278,resident,0.9964,0.0046,0.0144,365.0,99.64,0.6478431296174743,common,64.78431296174743,,peak_abundance_with_occupancy_days_modifiers,0.9964
blujay,US-VT,1.3930713453989143,2.2217249999999997,3.0272,postbreeding_migration,1.0,0.0044,0.0078,112.0,100.0,0.5809558745963016,common,58.09558745963016,,peak_abundance_with_occupancy_days_modifiers,1.0
amerob,US-VT,1.233288858659989,1.754675,2.4325,prebreeding_migration,1.0,0.0018,0.0025,98.0,100.0,0.5143214020438546,common,51.432140204385455,,peak_abundance_with_occupancy_days_modifiers,1.0
reevir1,US-VT,1.1530057724984413,0.9762666666666666,2.1677,breeding,0.9982,0.0036,0.0089,84.0,99.82,0.4808407546309854,common,48.08407546309854,,peak_abundance_with_occupancy_days_modifiers,0.9982
eursta,US-VT,1.101873631370481,1.380875,2.0098,nonbreeding,0.374,0.0008,0.0004,140.0,37.4,0.45951699553775016,common,45.951699553775015,,peak_abundance_with_occupancy_days_modifiers,0.374
amecro,US-VT,1.0830586217413434,1.5561249999999998,1.9537,prebreeding_migration,1.0,0.0037,0.0039,147.0,100.0,0.4516705270774406,common,45.16705270774406,,peak_abundance_with_occupancy_days_modifiers,1.0
cedwax,US-VT,1.016353237830681,0.7301749999999999,1.7631,breeding,1.0,0.0031,0.0067,126.0,100.0,0.4238522213043046,common,42.38522213043046,,peak_abundance_with_occupancy_days_modifiers,1.0
amegfi,US-VT,0.9643568244431941,1.2903250000000002,1.6231,postbreeding_migration,1.0,0.0041,0.0054,112.0,100.0,0.4021680326838373,common,40.21680326838373,,peak_abundance_with_occupancy_days_modifiers,1.0
snogoo,US-VT,0.9138076515803487,0.6318666666666667,1.4938,postbreeding_migration,0.0283,0.0005,0.0003,105.0,2.83,0.3810873902403273,rare,38.10873902403273,rare,peak_abundance_with_occupancy_days_modifiers,0.0283
comyel,US-VT,0.9103129001876189,0.5542250000000001,1.4851,breeding,0.9867,0.003,0.0066,112.0,98.67,0.3796299657095839,common,37.96299657095839,,peak_abundance_with_occupancy_days_modifiers,0.9867
sonspa,US-VT,0.8822374445492712,0.8326999999999999,1.4163,breeding,0.9212,0.0031,0.0063,119.0,92.12,0.36792159130439844,common,36.79215913043984,,peak_abundance_with_occupancy_days_modifiers,0.9212
rewbla,US-VT,0.8636491605485578,0.9747,1.3718,prebreeding_migration,0.9597,0.0031,0.0012,126.0,95.97,0.36016967477510786,common,36.01696747751079,,peak_abundance_with_occupancy_days_modifiers,0.9597
ovenbi1,US-VT,0.848996417022785,0.6388333333333333,1.3373,breeding,0.9723,0.0068,0.0157,77.0,97.23,0.3540590061016287,common,35.405900610162874,,peak_abundance_with_occupancy_days_modifiers,0.9723
