species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
eursta,US-WA,2.0562112968083843,4.6746,6.8163,postbreeding_migration,0.4538,0.0067,0.0077,140.0,45.379999999999995,0.8575067143815511,abundant,85.75067143815511,,peak_abundance_with_occupancy_days_modifiers,0.4538
amerob,US-WA,1.6155392612920767,2.511275,4.0306,prebreeding_migration,0.9877,0.0129,0.027,98.0,98.77,0.673732201576395,common,67.37322015763951,,peak_abundance_with_occupancy_days_modifiers,0.9877
pinsis,US-WA,1.433488013446994,2.059875,3.1933,postbreeding_migration,0.8958,0.0249,0.0813,119.0,89.58,0.597810934325792,common,59.781093432579205,,peak_abundance_with_occupancy_days_modifiers,0.8958
sooshe,US-WA,1.358242886501685,1.267944761800955,2.8893532590781352,nonbreeding,0.0142261845546519,0.0002150557107478053,0.0025090794398224,112.0,1.42261845546519,0.5664312790927688,rare,56.64312790927688,rare,peak_abundance_with_occupancy_days_modifiers,0.0142261845546519
cangoo,US-WA,1.3466955765066009,1.7281499999999999,2.8447,prebreeding_migration,0.4648,0.0159,0.0112,119.0,46.48,0.5616156767910018,common,56.16156767910018,,peak_abundance_with_occupancy_days_modifiers,0.4648
daejun,US-WA,1.2869435288635516,1.9124750000000001,2.6217,nonbreeding,0.6346,0.0181,0.0277,105.0,63.46000000000001,0.5366971374699254,common,53.66971374699254,,peak_abundance_with_occupancy_days_modifiers,0.6346
mallar3,US-WA,1.2647197715990366,1.780775,2.5421,nonbreeding,0.1908,0.0034,0.0043,126.0,19.08,0.5274291108314728,common,52.742911083147284,,peak_abundance_with_occupancy_days_modifiers,0.1908
snogoo,US-WA,1.1691639446190545,1.313425,2.2193,nonbreeding,0.0124,0.0036,0.003,140.0,1.24,0.48757923579148926,rare,48.75792357914893,rare,peak_abundance_with_occupancy_days_modifiers,0.0124
dunlin,US-WA,1.1346870328051002,0.9516249999999999,2.1102,nonbreeding,0.0248,0.0032,0.044,70.0,2.48,0.4732012468087931,rare,47.32012468087931,rare,peak_abundance_with_occupancy_days_modifiers,0.0248
horlar,US-WA,1.0352819263016162,0.887525,1.8159,nonbreeding,0.2565,,,,25.650000000000002,0.43174609752386334,common,43.17460975238633,,peak_abundance_with_occupancy_days_modifiers,0.2565
rewbla,US-WA,1.0068989657447776,1.480825,1.7371,prebreeding_migration,0.4945,0.0127,0.0087,126.0,49.45,0.41990948360714486,common,41.990948360714484,,peak_abundance_with_occupancy_days_modifiers,0.4945
y00475,US-WA,0.9545494439912454,1.01655,1.5975,postbreeding_migration,0.0812,0.0166,0.029,112.0,8.12,0.39807803736035374,common,39.807803736035375,,peak_abundance_with_occupancy_days_modifiers,0.0812
whcspa,US-WA,0.9078552530530535,0.7842,1.479,postbreeding_migration,0.9167,0.0131,0.0337,112.0,91.67,0.37860504724777916,common,37.86050472477792,,peak_abundance_with_occupancy_days_modifiers,0.9167
vigswa,US-WA,0.8151435498691973,0.576025,1.2595,postbreeding_migration,0.8366,0.0451,0.122,112.0,83.66,0.3399412639560007,common,33.99412639560007,,peak_abundance_with_occupancy_days_modifiers,0.8366
redcro,US-WA,0.7651887334249159,0.823725,1.1494,nonbreeding,0.6947,,,,69.47,0.3191084873910828,common,31.91084873910828,,peak_abundance_with_occupancy_days_modifiers,0.6947
gockin,US-WA,0.7249849374086966,0.7403500000000001,1.0647,nonbreeding,0.7588,0.0244,0.0879,98.0,75.88000000000001,0.3023422021941063,common,30.23422021941063,,peak_abundance_with_occupancy_days_modifiers,0.7588
amewig,US-WA,0.7156911449948399,0.6352,1.0456,nonbreeding,0.0746,0.0142,0.0854,126.0,7.46,0.29846638971835515,common,29.846638971835514,,peak_abundance_with_occupancy_days_modifiers,0.0746
comrav,US-WA,0.6789975449555031,0.9719,0.9719,resident,0.9598,0.0042,0.0051,365.0,95.98,0.2831639699439857,common,28.31639699439857,,peak_abundance_with_occupancy_days_modifiers,0.9598
cliswa,US-WA,0.6655190134424712,0.4327666666666667,0.9455,breeding,0.3986,0.013,0.0161,77.0,39.86,0.27754298571421887,fairly_common,27.754298571421888,,peak_abundance_with_occupancy_days_modifiers,0.3986
sonspa,US-WA,0.6608305790834023,0.9114,0.9364,breeding,0.7911,0.0205,0.0384,119.0,79.11,0.2755877567214207,fairly_common,27.558775672142072,,peak_abundance_with_occupancy_days_modifiers,0.7911
cedwax,US-WA,0.6523251860396903,0.40122500000000005,0.92,breeding,0.7233,0.0168,0.0257,126.0,72.33000000000001,0.2720407323203983,fairly_common,27.204073232039832,,peak_abundance_with_occupancy_days_modifiers,0.7233
yerwar,US-WA,0.6367355466339825,0.47945000000000004,0.8903,postbreeding_migration,0.9655,0.0122,0.0145,133.0,96.55,0.26553934771759435,fairly_common,26.553934771759437,,peak_abundance_with_occupancy_days_modifiers,0.9655
