species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-WI,2.2177459005569675,5.082425000000001,8.1866,prebreeding_migration,0.9699,0.0186,0.0159,119.0,96.99,0.9248718764805909,abundant,92.48718764805909,,peak_abundance_with_occupancy_days_modifiers,0.9699
rewbla,US-WI,2.2121460300132214,4.03265,8.1353,postbreeding_migration,0.8439,0.0191,0.0244,126.0,84.39,0.9225365490760662,abundant,92.25365490760662,,peak_abundance_with_occupancy_days_modifiers,0.8439
eursta,US-WI,1.4212994703185808,2.40895,3.1425,postbreeding_migration,0.5973,0.0075,0.0034,140.0,59.730000000000004,0.5927279170369724,common,59.27279170369724,,peak_abundance_with_occupancy_days_modifiers,0.5973
daejun,US-WI,1.392077605875618,1.691125,3.0232,nonbreeding,0.6733,0.0159,0.025,105.0,67.33,0.5805414530264483,common,58.054145302644834,,peak_abundance_with_occupancy_days_modifiers,0.6733
amerob,US-WI,1.2881852680095713,1.845025,2.6262,prebreeding_migration,0.9934,0.0106,0.0192,98.0,99.33999999999999,0.5372149829155152,common,53.72149829155152,,peak_abundance_with_occupancy_days_modifiers,0.9934
blujay,US-WI,1.2651149392681735,1.788025,2.5435,postbreeding_migration,0.9944,0.0263,0.0372,112.0,99.44,0.5275939085495465,common,52.759390854954646,,peak_abundance_with_occupancy_days_modifiers,0.9944
amecro,US-WI,1.2571248701270528,2.0301500000000003,2.5153,nonbreeding,0.9525,0.03,0.0293,147.0,95.25,0.5242617909079799,common,52.42617909079799,,peak_abundance_with_occupancy_days_modifiers,0.9525
sancra,US-WI,1.2322103457371756,0.961475,2.4288,postbreeding_migration,0.8189,0.0228,0.0287,119.0,81.89,0.5138716272204716,common,51.387162722047165,,peak_abundance_with_occupancy_days_modifiers,0.8189
amegfi,US-WI,1.2016801782660518,1.5850749999999998,2.3257,postbreeding_migration,0.9949,0.0231,0.0414,112.0,99.49,0.5011395584694062,common,50.11395584694062,,peak_abundance_with_occupancy_days_modifiers,0.9949
doccor,US-WI,1.1490835786359117,0.81675,2.1553,postbreeding_migration,0.0618,0.0096,0.0777,140.0,6.18,0.47920507274486523,common,47.920507274486525,,peak_abundance_with_occupancy_days_modifiers,0.0618
