species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
amecro,US-WV,1.5114942681039738,2.41105,3.5335,nonbreeding,1.0,0.0133,0.0173,147.0,100.0,0.630342069251441,common,63.0342069251441,,peak_abundance_with_occupancy_days_modifiers,1.0
daejun,US-WV,1.4705435935647906,1.452175,3.3516,nonbreeding,0.9854,0.0098,0.0117,105.0,98.54,0.6132643115179295,common,61.326431151792946,,peak_abundance_with_occupancy_days_modifiers,0.9854
blujay,US-WV,1.31450293447075,1.7664,2.7229,postbreeding_migration,1.0,0.0112,0.0154,112.0,100.0,0.5481903022965262,common,54.81903022965262,,peak_abundance_with_occupancy_days_modifiers,1.0
amerob,US-WV,1.313831189386175,2.060075,2.7204,prebreeding_migration,1.0,0.0101,0.0063,98.0,100.0,0.5479101628374784,common,54.79101628374784,,peak_abundance_with_occupancy_days_modifiers,1.0
cedwax,US-WV,1.2121195294617044,1.005875,2.3606,postbreeding_migration,1.0,0.0154,0.0253,126.0,100.0,0.5054931060634468,common,50.549310606344676,,peak_abundance_with_occupancy_days_modifiers,1.0
amegfi,US-WV,1.173410498743296,1.9012000000000002,2.233,postbreeding_migration,1.0,0.0106,0.023,112.0,100.0,0.4893501864132343,common,48.93501864132343,,peak_abundance_with_occupancy_days_modifiers,1.0
eursta,US-WV,1.1094533118459846,1.5025500000000003,2.0327,nonbreeding,0.3217,0.0017,0.001,140.0,32.17,0.46267796781268106,common,46.2677967812681,,peak_abundance_with_occupancy_days_modifiers,0.3217
reevir1,US-WV,1.0448950061621218,0.9730666666666666,1.8431,breeding,0.9961,0.0092,0.0291,91.0,99.61,0.43575506320704216,common,43.575506320704214,,peak_abundance_with_occupancy_days_modifiers,0.9961
norcar,US-WV,0.9802040576178078,1.665,1.665,resident,0.956,0.0141,0.0131,365.0,95.6,0.40877684223210414,common,40.877684223210416,,peak_abundance_with_occupancy_days_modifiers,0.956
turvul,US-WV,0.911519366995264,0.9946250000000001,1.4881,postbreeding_migration,1.0,0.0026,0.0046,126.0,100.0,0.3801331014475502,common,38.01331014475502,,peak_abundance_with_occupancy_days_modifiers,1.0
sonspa,US-WV,0.87204622055257,1.211025,1.3918,prebreeding_migration,0.9966,0.0116,0.0203,119.0,99.66000000000001,0.363671520789514,common,36.3671520789514,,peak_abundance_with_occupancy_days_modifiers,0.9966
tuftit,US-WV,0.8690733302650396,1.3847,1.3847,resident,0.9816,0.0256,0.0309,365.0,98.16,0.3624317292434633,common,36.243172924346325,,peak_abundance_with_occupancy_days_modifiers,0.9816
eastow,US-WV,0.8117298963868931,0.8547500000000001,1.2518,breeding,0.9992,0.0284,0.0658,105.0,99.92,0.33851765988078175,common,33.85176598807818,,peak_abundance_with_occupancy_days_modifiers,0.9992
comgra,US-WV,0.7979575449122904,0.481375,1.221,postbreeding_migration,0.6303,0.0082,0.0027,112.0,63.029999999999994,0.3327741432097929,common,33.27741432097929,,peak_abundance_with_occupancy_days_modifiers,0.6303
carwre,US-WV,0.7420801916691245,1.1003,1.1003,resident,0.9771,0.0232,0.0226,365.0,97.71,0.309471476960338,common,30.9471476960338,,peak_abundance_with_occupancy_days_modifiers,0.9771
indbun,US-WV,0.7349606833733556,0.5286333333333333,1.0854,breeding,0.9973,0.0153,0.0181,84.0,99.72999999999999,0.3065024113899888,common,30.65024113899888,,peak_abundance_with_occupancy_days_modifiers,0.9973
moudov,US-WV,0.6892395557289283,0.7964,0.9922,prebreeding_migration,0.9874,0.0093,0.006,119.0,98.74000000000001,0.28743522018982,fairly_common,28.743522018982,,peak_abundance_with_occupancy_days_modifiers,0.9874
whtspa,US-WV,0.6890889570990911,0.6615333333333333,0.9919,nonbreeding,0.8969,0.0215,0.0157,98.0,89.69,0.28737241568307387,fairly_common,28.737241568307386,,peak_abundance_with_occupancy_days_modifiers,0.8969
rewbla,US-WV,0.659280111048368,0.677775,0.9334,prebreeding_migration,0.6621,0.0055,0.0018,126.0,66.21000000000001,0.2749411613289436,fairly_common,27.49411613289436,,peak_abundance_with_occupancy_days_modifiers,0.6621
cangoo,US-WV,0.6549779144424422,0.610075,0.9251,prebreeding_migration,0.4194,0.0029,0.0011,119.0,41.94,0.27314700598999714,fairly_common,27.314700598999714,,peak_abundance_with_occupancy_days_modifiers,0.4194
carchi,US-WV,0.5868973807172349,0.7984,0.7984,resident,0.7394,0.0229,0.019,365.0,73.94,0.24475521820113477,common,24.475521820113478,,peak_abundance_with_occupancy_days_modifiers,0.7394
chispa,US-WV,0.5691133996364978,0.47009999999999996,0.7667,breeding,0.9804,0.0121,0.0093,147.0,98.04,0.23733872204199147,fairly_common,23.733872204199148,,peak_abundance_with_occupancy_days_modifiers,0.9804
easblu,US-WV,0.5641767992629853,0.57455,0.758,nonbreeding,0.9545,0.0165,0.0186,105.0,95.45,0.23527999978271968,fairly_common,23.527999978271968,,peak_abundance_with_occupancy_days_modifiers,0.9545
whbnut,US-WV,0.5565253030169811,0.7446,0.7446,resident,0.9805,0.0192,0.0347,365.0,98.05,0.23208907800527498,common,23.2089078005275,,peak_abundance_with_occupancy_days_modifiers,0.9805
woothr,US-WV,0.5459224608034201,0.3688666666666667,0.7262,breeding,0.9906,0.0315,0.0746,91.0,99.06,0.22766734936105965,fairly_common,22.766734936105966,,peak_abundance_with_occupancy_days_modifiers,0.9906
grycat,US-WV,0.5386547756846665,0.34375,0.7137,breeding,0.9988,0.0137,0.0206,126.0,99.88,0.2246364892558674,fairly_common,22.46364892558674,,peak_abundance_with_occupancy_days_modifiers,0.9988
rebwoo,US-WV,0.5080818630949274,0.6621,0.6621,resident,0.9672,0.0191,0.0169,365.0,96.72,0.2118865944057641,common,21.18865944057641,,peak_abundance_with_occupancy_days_modifiers,0.9672
eawpew,US-WV,0.4669991202254368,0.3306,0.5952,breeding,0.985,0.0158,0.0255,84.0,98.5,0.194753759900633,fairly_common,19.475375990063302,,peak_abundance_with_occupancy_days_modifiers,0.985
