species_code,country_code,abundance,abundance_mean_avg,abundance_mean_max,peak_season,range_occupied_percent,range_total_percent,total_pop_percent,range_days_occupation,occupancy,score,frequency,frequency_pct,rarity_cap,commonness_basis,debug_range_occupied_max
cangoo,US-WY,1.5576813528610656,2.479725,3.7478,prebreeding_migration,0.7376,0.0208,0.022,119.0,73.76,0.6496035796606053,common,64.96035796606053,,peak_abundance_with_occupancy_days_modifiers,0.7376
eursta,US-WY,1.3604379465746632,1.63335,2.8979,postbreeding_migration,0.448,0.007,0.0034,140.0,44.800000000000004,0.5673466902443228,common,56.734669024432286,,peak_abundance_with_occupancy_days_modifiers,0.448
mallar3,US-WY,1.3111127358838381,1.7287,2.7103,nonbreeding,0.2952,0.0075,0.0049,126.0,29.520000000000003,0.5467764796724233,common,54.67764796724233,,peak_abundance_with_occupancy_days_modifiers,0.2952
horlar,US-WY,1.1526900361987737,1.646525,2.1667,nonbreeding,0.4973,,,,49.730000000000004,0.4807090823668756,common,48.07090823668756,,peak_abundance_with_occupancy_days_modifiers,0.4973
gcrfin,US-WY,1.1002775679871708,0.7847500000000001,2.005,nonbreeding,0.4216,0.1504,0.2779,77.0,42.16,0.45885138540814363,common,45.88513854081436,,peak_abundance_with_occupancy_days_modifiers,0.4216
wesmea,US-WY,0.9913239901043678,0.76025,1.6948,breeding,0.8005,0.0551,0.0867,112.0,80.05,0.41341421426945035,common,41.34142142694503,,peak_abundance_with_occupancy_days_modifiers,0.8005
cliswa,US-WY,0.9636322281832047,0.7724666666666667,1.6212,breeding,0.7566,0.0346,0.0387,84.0,75.66000000000001,0.40186585257271684,common,40.18658525727169,,peak_abundance_with_occupancy_days_modifiers,0.7566
amerob,US-WY,0.9218751101680557,1.1439,1.514,breeding,0.9513,0.0185,0.02,98.0,95.13000000000001,0.3844517817878748,common,38.44517817878748,,peak_abundance_with_occupancy_days_modifiers,0.9513
rewbla,US-WY,0.8719207841382145,0.93655,1.3915,breeding,0.6687,0.0207,0.0132,126.0,66.86999999999999,0.3636192097416636,common,36.36192097416636,,peak_abundance_with_occupancy_days_modifiers,0.6687
y00475,US-WY,0.7345769903230849,0.39525,1.0846,postbreeding_migration,0.0666,0.0182,0.0246,112.0,6.660000000000001,0.3063423989596615,common,30.634239895966147,,peak_abundance_with_occupancy_days_modifiers,0.0666
comnig,US-WY,0.6631002592076486,0.5196999999999999,0.9408,breeding,0.8554,0.029,0.0717,84.0,85.54,0.2765342868514033,fairly_common,27.65342868514033,,peak_abundance_with_occupancy_days_modifiers,0.8554
moudov,US-WY,0.6587110032388177,0.315575,0.9323,breeding,0.8097,0.0217,0.0123,119.0,80.97,0.2747038249381486,fairly_common,27.47038249381486,,peak_abundance_with_occupancy_days_modifiers,0.8097
bnhcow,US-WY,0.6125876727015284,0.4009666666666667,0.8452,breeding,0.9109,0.0238,0.0216,105.0,91.09,0.25546890210373185,fairly_common,25.546890210373185,,peak_abundance_with_occupancy_days_modifiers,0.9109
brespa,US-WY,0.53321314264362,0.4517,0.7044,breeding,0.8917,0.1491,0.2301,91.0,89.17,0.2223671520155066,fairly_common,22.23671520155066,,peak_abundance_with_occupancy_days_modifiers,0.8917
comgol,US-WY,0.531627751395254,0.277975,0.7017,nonbreeding,0.1508,0.0001,0.0,42.0,15.079999999999998,0.22170599251185744,fairly_common,22.170599251185745,,peak_abundance_with_occupancy_days_modifiers,0.1508
comrav,US-WY,0.529922119456979,0.6988,0.6988,resident,0.9184,0.0057,0.0052,365.0,91.84,0.22099468874574904,common,22.099468874574903,,peak_abundance_with_occupancy_days_modifiers,0.9184
larbun,US-WY,0.5278007279719523,0.41183333333333333,0.6952,breeding,0.4937,0.1683,0.2161,98.0,49.370000000000005,0.22010999978160137,fairly_common,22.010999978160136,,peak_abundance_with_occupancy_days_modifiers,0.4937
brebla,US-WY,0.5019866750987864,0.33109999999999995,0.652,breeding,0.8368,0.0827,0.081,98.0,83.67999999999999,0.20934470357955304,fairly_common,20.934470357955306,,peak_abundance_with_occupancy_days_modifiers,0.8368
treswa,US-WY,0.4915204727079852,0.37270000000000003,0.6348,breeding,0.7584,0.0247,0.0278,91.0,75.84,0.20497995816738707,fairly_common,20.497995816738708,,peak_abundance_with_occupancy_days_modifiers,0.7584
vesspa,US-WY,0.48900937048509446,0.37939999999999996,0.6307,breeding,0.8811,0.0703,0.1163,84.0,88.11,0.2039327472022642,fairly_common,20.39327472022642,,peak_abundance_with_occupancy_days_modifiers,0.8811
sancra,US-WY,0.4854462754265935,0.2552,0.6249,postbreeding_migration,0.4871,0.0225,0.0093,112.0,48.71,0.20244682114914564,fairly_common,20.244682114914564,,peak_abundance_with_occupancy_days_modifiers,0.4871
whcspa,US-WY,0.48094356928406995,0.23800000000000002,0.6176,postbreeding_migration,0.9983,0.02,0.0198,112.0,99.83,0.20056904683864835,fairly_common,20.056904683864836,,peak_abundance_with_occupancy_days_modifiers,0.9983
daejun,US-WY,0.4667483365250629,0.427275,0.5948,prebreeding_migration,0.7454,0.0168,0.0109,105.0,74.53999999999999,0.19464917497433584,fairly_common,19.464917497433586,,peak_abundance_with_occupancy_days_modifiers,0.7454
bkbmag1,US-WY,0.4181180542314799,0.5191,0.5191,resident,0.7491,0.0692,0.0807,365.0,74.91,0.17436877205380674,common,17.436877205380675,,peak_abundance_with_occupancy_days_modifiers,0.7491
